# name: ACS25-44
# attribute -- name: Gender, editable: true
# attribute -- name: Age, type: numeric, unit: years, precision: 2, editable: true
# attribute -- name: Marital, description: marital status, type: categorical, precision: 2, editable: false
# attribute -- name: Education, description: highest grade, type: categorical, precision: 2, editable: true
# attribute -- name: TotalIncome, description: total income, type: numeric, precision: 0, editable: true
# attribute -- name: Race, editable: true
# attribute -- name: Hispanic, description: Hispanic/Latin@ status, type: categorical, precision: 2, editable: true
# attribute -- name: EmplStatus, description: employment status, type: categorical, precision: 2, editable: true
Gender,Age,Marital,Education,TotalIncome,Race,Hispanic,EmplStatus
Female,25,Married,some college,30000,Other,Guatemalan,Civ Employed
Female,25,Divorced,some college,17000,Other,Mexican,Civ Employed
Female,25,Married,HS Grad,24600,White,Mexican,Civ Employed
Male,25,Married,some college,22000,White,Mexican,Civ Employed
Female,25,Never,some college,27000,Other,Mexican,Civ Employed
Female,25,Never,some HS,16000,Other,Mexican,Civ Employed
Female,25,Never,some college,18000,Other,Mexican,Civ Employed
Female,25,Never,some college,35000,Other,Mexican,Civ Employed
Female,25,Never,bachelor's,80000,Other,Mexican,Civ Employed
Male,25,Never,HS Grad,10700,Other,Mexican,Civ Employed
Male,25,Never,some college,7500,Other,Mexican,Civ Employed
Female,25,Never,HS Grad,1120,White,Mexican,Civ Employed
Female,25,Never,some college,14000,White,Mexican,Civ Employed
Female,25,Never,HS Grad,15000,White,Mexican,Civ Employed
Male,25,Never,some college,25000,White,Mexican,Civ Employed
Male,25,Separated,HS Grad,25000,White,Mexican,Civ Employed
Female,25,Divorced,some college,30400,Multi,Not Hisp,Civ Employed
Female,25,Married,HS Grad,22500,White,Not Hisp,Civ Employed
Male,25,Married,bachelor's,17000,White,Not Hisp,Civ Employed
Female,25,Never,bachelor's,94000,Asian,Not Hisp,Civ Employed
Female,25,Never,HS Grad,18900,Asian,Not Hisp,Civ Employed
Female,25,Never,HS Grad,10000,Asian,Not Hisp,Civ Employed
Male,25,Never,some college,30000,Asian,Not Hisp,Civ Employed
