Timestamp,SpeakingFreq,LogisticalConvComfort,QuestionComfort,BeliefComfort,DisagreeComfort,DisagreeLeaderComfort,FeelMostReadytoDicuss,LeastReadytoDiscuss,ReasonsDontSpeak,GenderIdentity
2/4/2025 9:51:03,1,2,2,1,1,1,I prefer speaking in small groups.,I hesitate to speak in a larger group setting because I worry about what other members in the department will have to say about my thoughts/opinions. It feels like we sometimes don't listen to what people have to say because of our assumptions about that person.,"I just don't like speaking in a large group setting. I also don't love when we sit in a big circle. Not sure why, but the circle arrangement makes me less willing to participate.",Female
2/4/2025 10:40:32,3,3,4,3,3,3,"If I have thoughts on the curriculum, or if I have thoughts on the workload being asked of us.",If there is an implication that the group I identify in is being shamed or ridiculed.,"If I feel that I have already spoken enough during the meeting, or if someone else has already made the point I was trying to make.",Male
2/4/2025 11:31:12,3,4,3,3,3,2,I almost always feel comfortable speaking.  I have to conscientiously force myself to listen. ,"As a person who often shares their thoughts,  I like the reminder to be aware of others who are not as comfortable speaking and given them priority. ", I'm also aware of the power dynamics and I'm less likely to share my contradictory thoughts with others. ,Male
2/4/2025 12:26:43,1,2,2,1,1,1,I feel most comfortable talking about curriculum that I directly teach,I fell very uncomfortable speaking about how my courses directly relate to other peoples courses etc. or what kids should be in my courses.,I don't really want to upset or offend anyone with what I might say.  I also wonder if what I say might have already been talked about then I don't want it to be redundant.,Male
2/4/2025 12:42:45,2,2,3,1,1,1,"I am much more willing to share my thoughts (and typically do) when we are working with our teams because I know all the players on my teams, and it feels like a safe space for me. I am not always willing to share my opinions in small groups depending on who is in my group (there are certain people in this department I am not comfortable working with when it comes to sharing my honest perspectives). I really don't feel comfortable sharing my opinions in front of the entire department ever.","I am definitely not going to share my perspectives in front of the entire department when the speaking environment has become heated, accusatory, or aggressive in tone.",I am afraid that certain members of our department will unfairly attack me for being racist or small-minded.,Female
2/4/2025 18:10:55,2,4,4,3,1,2,"Content, pedagogy, curriculum, standards, school and department structures and experiences. ","Discussions that relate to race, bias, SES, achievement gap, etc. I am comfortable talking about these topics in general from a learning/growing perspective but discussions where opinions or perspectives are shared can stir up a lot of emotions and enter an uncomfortable territory. I am especially  uncomfortable having these discussions at full department meetings because they are on stage and I risk being put down publicly, even if that is not the intention. ","There are certain people I am not comfortable responding to and will never respond to because I feel like their responses/pushback to me or others frequently leads to feeling shamed, singled out, judged, wrong, racist, or single minded among other feelings. So it is just not worth it. ",Female
2/5/2025 9:38:37,1,2,2,1,1,1,"I am still trying to figure out my role here, and I definitely am trying to figure out what my opinions and thoughts are as a whole while I work my way through my first year. So, not very ready to talk about my thoughts at this moment.",Same as answer above,"Again, same as answer above.",Male
2/5/2025 10:01:45,3,4,4,4,3,2,When we do activities that prime us before a group discussion (e.g. sticky note comments) I feel ready to speak and contribute. ,"When there are comments made about hearing too many white male voices I get the hint that I should be stepping back. I also feel like accusations of ""holding back"" or ""gate-keeping"" makes me not speak because my intention is not to be racist, but I realize that as a tall white male in the department I have more privilege than others and I should probably step back.","I'm either trying to step back and share air time, or I'm worried about abusing my privilege.",Male
2/10/2025 12:44:25,1,1,2,1,1,1,I feel the most ready and able when we break up into small groups or writing our ideas on sticky notes for everyone to read. ,I feel the least able to speak when we have whole group discussions. ,"It seems like some of the whole group discussions are under tight time constraints.  I also do not speak since it seems like multiple times people will get agitated when speaking back to others. I feel like if someone disagrees, it can turn into an argument that people feel like we do not have ""good"" intentions in mind rather than discussing different methods of ""good"" intentions/impact. I like hearing different perspectives but I feel like once you speak people can put you in a certain box that are not always true and can change. Generally, It does not feel like productive conversation.",Female
2/5/2025 14:01:42,1,1,2,1,1,1,"I have only shared my opinions during small team meetings, and even then I am quiet.",I don't speak in large group situations. ,It's just my personality. I also don't really have strong opinions because I am figuring out my role as a new teacher here. ,Female
