Project ID,Project Name,Number,Street,Borough,Postcode,Community Board,Council District,Latitude,Longitude,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
66986,CONFIDENTIAL,----,----,Brooklyn,,BK-14,48,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
66983,CONFIDENTIAL,----,----,Queens,,QN-12,27,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
66987,CONFIDENTIAL,----,----,Bronx,,BX-12,12,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
66981,CONFIDENTIAL,----,----,Staten Island,,SI-01,49,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
66979,CONFIDENTIAL,----,----,Bronx,,BX-03,16,,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
66268,1134 FULTON STREET,1134,FULTON STREET,Brooklyn,11216,BK-03,36,40.68108723,-73.95548016,0,0,37,0,0,0,7,27,1,2,0,0,0,0,37,0,37,182
66977,CONFIDENTIAL,----,----,Staten Island,,SI-01,49,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
66974,CONFIDENTIAL,----,----,Bronx,,BX-05,14,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
65774,260 KENT AVENUE,260,KENT AVENUE,Brooklyn,11249,BK-01,33,40.71637478,-73.96593951,0,0,66,0,0,0,21,27,18,0,0,0,0,0,66,0,66,332
66889,CONFIDENTIAL,----,----,Brooklyn,,BK-16,42,,,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,4,4
65541,TANYA TOWERS,620,EAST 13 STREET,Manhattan,10009,MN-03,2,40.72845737,-73.97786497,0,0,137,0,0,0,86,51,0,0,0,0,0,0,137,0,137,138
