State,HouseholdIncome,IQ,Region,Population,EighthGradeMath,HighSchool,GSP,FiveVegetables,Smokers,PhysicalActivity,Obese,College,NonWhite,HeavyDrinkers,Pres08,TrumpVote16,TrumpVote20,BidenVote20
Alabama,38160,95.7,S,5.024279,262.21,82.4,33264,20.1,24.8,70.3,28.9,24.6,0.294,4.5,McCain,62.08,62.03,36.57
Alaska,57071,99,W,0.733391,278.96,90.2,59238,24.8,24.9,79.4,27.4,29.2,0.262,5.1,McCain,51.28,52.83,42.77
Arizona,46693,97.4,W,7.151502,274.31,84.4,36457,23.7,20.2,75.7,21.1,30.8,0.311,6.3,McCain,48.67,49.06,49.36
Arkansas,37458,97.5,S,3.011524,271.64,79.2,31215,21,23.5,73.4,28,26.7,0.178,3.2,McCain,60.57,62.4,34.78
California,54385,95.5,W,39.538223,268.56,81.3,44894,28.9,15.2,77.2,22.7,31.1,0.53,6.2,Obama,31.62,34.32,63.48
Colorado,53900,101.6,W,5.773714,280.82,88.3,46416,24.5,19.8,81.2,17.8,38,0.225,5.1,Obama,43.25,41.9,55.4
Connecticut,60551,103.1,NE,3.605944,281.07,88.8,55193,27.4,16.5,81.1,20.1,43.4,0.164,5.7,Obama,40.93,39.19,59.26
Delaware,52676,100.4,NE,0.989948,280.95,86.5,66961,21.3,20.6,78.1,23.5,37.7,0.221,5.4,Obama,41.72,39.77,58.74
Florida,45038,98.4,S,21.538187,274.05,85.9,37846,26.2,21.7,76.3,22.8,31,0.357,6.9,Obama,49.02,51.22,47.86
Georgia,48388,98,S,10.711908,272.19,85.2,40103,23.2,22.1,74.2,26.5,30.7,0.368,4,McCain,50.77,49.24,49.47
Hawaii,61005,95.6,W,1.455271,265.63,88,42361,24.5,17,NA,19.7,36,0.733,7.4,Obama,30.03,34.27,63.73
Idaho,45919,101.4,W,1.839106,280.97,87.9,33020,23.2,17.9,80.9,24.5,27.7,0.135,4.2,McCain,59.26,63.84,33.07
Illinois,49328,99.9,MW,12.812508,277.67,86.8,43878,24,19.9,75.1,25.1,33.4,0.32,5.7,Obama,38.76,40.55,57.54
Indiana,44618,101.7,MW,6.785528,281.71,87.2,38037,22,27.3,74.6,27.2,26.7,0.141,4.1,Obama,56.82,57.02,40.96
Iowa,48075,103.2,MW,3.190369,283.81,89.8,38280,19.5,20.4,78.6,25.4,28.4,0.068,5.6,Obama,51.15,53.09,44.89
Kansas,44478,102.8,MW,2.93788,284.03,89.6,38465,19.9,17.8,76.7,23.9,32.7,0.136,3.2,McCain,56.65,56.21,41.56
Kentucky,38694,99.4,MW,4.505836,273.98,81.8,33666,16.8,28.7,70.1,28.6,22.6,0.094,2.7,McCain,62.52,62.09,36.15
