WaterCostInDollars,FireHazardFloodInsuranceYearlyCostInDollars,GrossRentAsPercentOfIncome,NumberOfChildrenInHousehold,NumberOfPeopleInHousehold
1200.0,850.0,,0.0,2
60.0,,19.0,2.0,5
1200.0,0.0,,3.0,6
10.0,0.0,,0.0,1
,,49.0,0.0,1
170.0,2000.0,,0.0,2
,500.0,,0.0,1
,,47.0,0.0,1
600.0,1200.0,,0.0,3
,,82.0,0.0,1
2400.0,790.0,,0.0,2
2100.0,2100.0,,0.0,3
1300.0,1200.0,,0.0,2
60.0,1500.0,,0.0,2
70.0,710.0,,0.0,1
2000.0,1000.0,,2.0,4
,,25.0,0.0,2
,,,,1
,,,,1
790.0,810.0,,0.0,2
,,17.0,0.0,3
,,17.0,0.0,3
800.0,940.0,,3.0,5
420.0,2000.0,,4.0,6
980.0,700.0,,0.0,2
100.0,1000.0,,2.0,7
100.0,,49.0,0.0,4
,,,,1
110.0,1000.0,,0.0,1
3000.0,2000.0,,0.0,3
,,37.0,0.0,1
160.0,1100.0,,0.0,2
,,37.0,1.0,3
50.0,300.0,,1.0,3
1200.0,,39.0,0.0,1
,,101.0,2.0,4
260.0,0.0,,0.0,2
,,,,0
,,,,1
,,21.0,1.0,3
700.0,500.0,,0.0,3
100.0,600.0,,2.0,4
,,12.0,0.0,2
40.0,700.0,,0.0,2
2000.0,1200.0,,1.0,3
2500.0,2500.0,,3.0,5
360.0,,10.0,0.0,4
90.0,480.0,,0.0,2
840.0,640.0,,0.0,3
,1200.0,,2.0,4
,1800.0,,3.0,7
230.0,600.0,,0.0,2
,,,,0
,,,0.0,1
2300.0,1400.0,,5.0,7
,,13.0,0.0,4
3000.0,2300.0,,0.0,1
200.0,1000.0,,0.0,10
130.0,230.0,,0.0,3
,,101.0,0.0,2
470.0,1200.0,,0.0,1
,3000.0,,0.0,1
10.0,1500.0,,0.0,2
,,51.0,0.0,3
,,101.0,0.0,4
3000.0,700.0,,0.0,2
,,7.0,0.0,1
600.0,80.0,,0.0,1
1100.0,1600.0,,0.0,4
,,101.0,0.0,2
50.0,,24.0,2.0,4
800.0,5000.0,,0.0,1
80.0,1800.0,,0.0,7
700.0,,29.0,0.0,4
1200.0,,44.0,0.0,2
80.0,2000.0,,1.0,3
,,14.0,0.0,1
600.0,0.0,,0.0,2
,,43.0,0.0,4
60.0,1000.0,,0.0,1
250.0,,36.0,0.0,1
1800.0,860.0,,3.0,5
,0.0,,0.0,3
,,,,1
1700.0,1200.0,,0.0,3
,,,,1
200.0,2000.0,,1.0,3
360.0,0.0,,0.0,2
1100.0,2400.0,,0.0,2
80.0,0.0,,0.0,6
,,,,0
600.0,,101.0,2.0,3
900.0,1200.0,,0.0,1
,,26.0,2.0,4
,,24.0,0.0,2
390.0,0.0,,0.0,2
1500.0,1800.0,,0.0,2
,,13.0,0.0,2
,5000.0,,0.0,2
180.0,0.0,,0.0,4
,,,,1
,,,,1
,1000.0,,2.0,7
,,,,0
90.0,,22.0,0.0,1
1700.0,0.0,,2.0,5
1000.0,0.0,,0.0,2
,,21.0,0.0,2
,,,,1
,,,,1
900.0,750.0,,0.0,2
1200.0,200.0,,0.0,5
300.0,,12.0,0.0,1
840.0,,40.0,0.0,1
800.0,500.0,,1.0,4
,,,,1
,,,,1
70.0,910.0,,0.0,1
120.0,2500.0,,2.0,4
4100.0,2000.0,,0.0,2
1000.0,0.0,,0.0,3
,900.0,,0.0,1
,,,,1
,0.0,,0.0,3
,,12.0,0.0,2
,,,,0
3000.0,3600.0,,0.0,2
,,,,1
380.0,,24.0,2.0,4
670.0,700.0,,0.0,1
1200.0,,58.0,0.0,2
,,17.0,0.0,2
,,4.0,0.0,1
390.0,,15.0,2.0,4
840.0,1200.0,,3.0,5
600.0,850.0,,0.0,4
1200.0,800.0,,2.0,4
200.0,,20.0,2.0,4
830.0,3600.0,,0.0,2
,,,,1
480.0,990.0,,2.0,3
700.0,1200.0,,0.0,2
140.0,800.0,,0.0,1
,,,,0
1400.0,700.0,,0.0,3
,,,,1
,,11.0,0.0,1
600.0,500.0,,0.0,2
,,101.0,0.0,1
910.0,670.0,,0.0,1
1800.0,,25.0,2.0,4
210.0,1000.0,,0.0,3
1500.0,1200.0,,0.0,2
360.0,1000.0,,0.0,4
900.0,590.0,,0.0,3
4100.0,1500.0,,0.0,2
100.0,0.0,,2.0,10
,,22.0,0.0,4
750.0,1500.0,,0.0,2
,,63.0,0.0,2
1200.0,1000.0,,3.0,6
190.0,900.0,,0.0,4
,,43.0,0.0,1
1100.0,490.0,,0.0,1
,,26.0,0.0,1
150.0,600.0,,0.0,3
900.0,1700.0,,1.0,4
,1800.0,,0.0,4
,900.0,,0.0,1
1500.0,,58.0,0.0,4
1200.0,0.0,,1.0,3
670.0,550.0,,0.0,2
4100.0,,9.0,0.0,2
,500.0,,0.0,1
1200.0,1800.0,,3.0,5
760.0,2100.0,,3.0,5
,,48.0,0.0,3
,700.0,,0.0,1
,,20.0,2.0,6
960.0,1100.0,,0.0,3
,,101.0,0.0,2
40.0,1100.0,,0.0,2
660.0,180.0,,0.0,2
360.0,100.0,,1.0,3
1200.0,1200.0,,0.0,3
600.0,940.0,,0.0,2
1500.0,,45.0,1.0,3
,,,,1
,,28.0,0.0,4
,640.0,,0.0,2
2500.0,1200.0,,0.0,4
600.0,1400.0,,0.0,2
,,15.0,1.0,6
,,,,0
20.0,650.0,,0.0,1
990.0,1300.0,,0.0,2
500.0,2200.0,,0.0,2
,,,,1
1500.0,3500.0,,0.0,3
,,,,1
700.0,450.0,,1.0,3
3400.0,2300.0,,0.0,1
,,,,1
,750.0,,0.0,3
80.0,800.0,,0.0,5
40.0,2000.0,,0.0,2
420.0,1100.0,,0.0,2
100.0,1200.0,,0.0,4
100.0,3000.0,,0.0,5
,,,,0
4100.0,3000.0,,4.0,6
,,99.0,0.0,1
,,,,1
