boro_ct,ntaname,ALAND,pop2020,pop2010,pop2000,trees15,trees05,trees95,geometry,ppt_2020,ppt_2010,ppt_2000,blocks,trees_per_block15,trees_per_block05,trees_per_block95,trees_per_block15_bins,trees_per_block05_bins,trees_per_block95_bins
2000200,Soundview-Castle Hill-Clason Point-Harding Park,452832.0,4779,4334.0,3545.0,377,211.0,176.0,"POLYGON ((-73.85652999904222 40.80479400044018, -73.85673399999 40.80489599984649, -73.85768600027288 40.805269999787754, -73.85802500068394 40.80540599953858, -73.858025999832 40.805650000011155, -73.85811900030957 40.805756999471214, -73.85828299989825 40.806023000613614, -73.85839499983173 40.80621900031476, -73.85848299952372 40.80643300055483, -73.8585559988873 40.806646000502504, -73.85866499982097 40.80683300020204, -73.85911100013392 40.806365999680445, -73.85933099996784 40.806666999879006, -73.8594399997294 40.80724299951352, -73.85933099984103 40.807571999892545, -73.85919399964538 40.8073799997324, -73.85911099959239 40.80691399947112, -73.85889199990129 40.80705099981747, -73.85866799984987 40.80738000015895, -73.85848099949439 40.8080650002654, -73.85872200044813 40.80857199987782, -73.8589189997559 40.808996999729416, -73.85903299993336 40.809947000000385, -73.8599059993079 40.80957300027685, -73.85949499967602 40.80896999993598, -73.85941300056241 40.80850399939991, -73.85944000048083 40.80803799951032, -73.85952199935063 40.808311999940855, -73.85957700037741 40.80872299987298, -73.85990600037898 40.80910700015506, -73.86035400006939 40.80940599975233, -73.86048199992031 40.8094909998764, -73.86111199992179 40.809765000063635, -73.86163299956935 40.809902000493665, -73.8622239992874 40.810030999731005, -73.86114999960844 40.81142099988682, -73.86164199917035 40.81170200048891, -73.86278500046905 40.81231799985041, -73.86337499967077 40.812647999604415, -73.86443099982525 40.81326899990488, -73.86462599969575 40.8142139999561, -73.86512799971618 40.81414399967304, -73.86521799989177 40.814529000487774, -73.86425500002565 40.81465800000032, -73.86332899981092 40.81478199995323, -73.86240400045739 40.81490599952837, -73.86148199968603 40.81502900010987, -73.86055399948758 40.81515499944731, -73.85971699987034 40.815269000591016, -73.8595549994489 40.81511399999946, -73.8583830001025 40.813996999905356, -73.85818900009666 40.81381199947577, -73.85771999984388 40.81336199938052, -73.85715599977766 40.8128239997837, -73.85613300074571 40.8114149996312, -73.85561799938449 40.8106080002347, -73.85545599964959 40.80994699918166, -73.85531200070392 40.80932899989298, -73.85529500050643 40.80889900021761, -73.85515900022872 40.80831800038564, -73.854984000235 40.80771600045082, -73.85480700026311 40.807258999876396, -73.85460399951428 40.80652699973476, -73.85441699967664 40.80578000015621, -73.85586099977621 40.80567100015224, -73.85649799973683 40.80568199960404, -73.85648700081413 40.80547000031836, -73.85647800010484 40.80540899975401, -73.85652999904222 40.80479400044018))",12.676392572944296,20.540284360189574,20.142045454545453,24.61738930211867,15.314377790968837,8.57117695993216,7.149417748569006, 11 to 20, 1 to 10, 1 to 10
2000400,Soundview-Castle Hill-Clason Point-Harding Park,770689.0,6272,5503.0,3314.0,455,190.0,96.0,"MULTIPOLYGON (((-73.8555169993359 40.815833000327295, -73.85575099958126 40.81556100041314, -73.8557529996947 40.815390999853136, -73.85560199986821 40.81495299999201, -73.85547899939087 40.81472699933023, -73.85537600002502 40.81450100031588, -73.8553279996248 40.814268000051634, -73.85530800022583 40.81413700048941, -73.8549989996917 40.813931999642605, -73.85433499948329 40.81365100054021, -73.85376600001976 40.81351400074734, -73.85320400037628 40.81349999983297, -73.8530020001092 40.81369399966348, -73.8521690002976 40.813794999639825, -73.85138399981867 40.8136460000619, -73.8509349996973 40.81352100004215, -73.8507569999662 40.81336999987874, -73.85039699981603 40.81309099991797, -73.84980299981582 40.81275699989457, -73.8493590003229 40.81231399989188, -73.84926300016012 40.81210900012048, -73.84923599961483 40.811793999743976, -73.84939999963058 40.81146500009894, -73.84952400012057 40.81132800031996, -73.84944099986659 40.81114899983049, -73.84920799987559 40.810957000360816, -73.84926300053688 40.810861000087186, -73.8494830004351 40.8106149996339, -73.84953700030192 40.81038200018442, -73.84970200062523 40.81021700050569, -73.85001800028844 40.81000699951945, -73.85025800017182 40.80960899973818, -73.85028699978649 40.80847500034349, -73.8493130000123 40.80804699995366, -73.84923400017088 40.807798000641014, -73.84871199991815 40.80750200012486, -73.84848500041387 40.80712800009938, -73.8484510005614 40.806832999595834, -73.84854199955451 40.806548999903235, -73.84857600004331 40.80636699964763, -73.84843999978786 40.80612899987321, -73.84801999986024 40.80599300001605, -73.84768899982329 40.80606500011058, -73.84764200001331 40.80575000058814, -73.8476419995844 40.80513000079042, -73.84843200056845 40.80499000000462, -73.84932499965828 40.80516800056162, -73.84976700035932 40.80530400008029, -73.84995400046226 40.805286999991296, -73.85002199982834 40.805185000695396, -73.85002200003399 40.804997999334496, -73.85017499958457 40.8044889994378, -73.85058299999436 40.804420999801614, -73.85132999955799 40.80460799983864, -73.85170400029975 40.80472600006996, -73.85286000083907 40.80462499952969, -73.85431099990663 40.80443399984173, -73.85440599985705 40.80459099981945, -73.85525599964345 40.804607999970905, -73.85542599980447 40.80450599972399, -73.85652999904222 40.80479400044018, -73.85647800010484 40.80540899975401, -73.85648700081413 40.80547000031836, -73.85649799973683 40.80568199960404, -73.85586099977621 40.80567100015224, -73.85441699967664 40.80578000015621, -73.85460399951428 40.80652699973476, -73.85480700026311 40.807258999876396, -73.854984000235 40.80771600045082, -73.85515900022872 40.80831800038564, -73.85529500050643 40.80889900021761, -73.85531200070392 40.80932899989298, -73.85545599964959 40.80994699918166, -73.85561799938449 40.8106080002347, -73.85613300074571 40.8114149996312, -73.85715599977766 40.8128239997837, -73.85771999984388 40.81336199938052, -73.85818900009666 40.81381199947577, -73.8583830001025 40.813996999905356, -73.8595549994489 40.81511399999946, -73.85971699987034 40.815269000591016, -73.85959699986542 40.8152830003178, -73.85870300065007 40.81540500014658, -73.85777999953687 40.81552999962417, -73.85678299939036 40.81566199918207, -73.8555169993359 40.815833000327295)), ((-73.8555169993359 40.815833000327295, -73.85471799959842 40.81594200011237, -73.85362000033992 40.81608800073303, -73.85162900074437 40.81635399970735, -73.85114500012422 40.814395999612074, -73.85089899975686 40.81434399972597, -73.85011499985563 40.81441899952143, -73.84909700034714 40.81455099921796, -73.84811199964304 40.814686999390105, -73.84705399953556 40.8148259992523, -73.84663200021663 40.81301299943512, -73.84609699998657 40.81307900039699, -73.8464669997302 40.81230600052299, -73.84638699957569 40.81162499990485, -73.84622900058419 40.81141899965373, -73.84625599963213 40.811310000668634, -73.84636299976539 40.81120499981912, -73.84653400033042 40.8110799998919, -73.84656100022022 40.8109710002074, -73.84667900065993 40.81085099957738, -73.84684900033719 40.81071399944787, -73.84703600009011 40.81073199945121, -73.84722300020617 40.8110770007197, -73.84743999944548 40.81119000036519, -73.84768700038087 40.81149200020748, -73.84797500048658 40.81190299955082, -73.8480299994968 40.81221800027614, -73.84816699935355 40.81252000038671, -73.84843599933141 40.81275999932496, -73.84889299964368 40.81305499951129, -73.84944100013028 40.813246000035605, -73.85005800008761 40.81349300011814, -73.85045600049726 40.81356199978786, -73.8506029994702 40.81392999995959, -73.85140100000726 40.814110000074585, -73.85151100052776 40.814254000015254, -73.8517030000056 40.81431500068966, -73.85195700039554 40.81433600000804, -73.85219600028279 40.81437000015257, -73.85245000092577 40.81425400024528, -73.852484000453 40.81430900002779, -73.85236099933782 40.81442500039728, -73.85255999997176 40.81449399931868, -73.85265600012438 40.81445299965501, -73.8528540001819 40.81445299990787, -73.85286799944166 40.814411000110674, -73.85279899974434 40.81430900051568, -73.85267599959947 40.81432899968324, -73.85269699975618 40.814225999877465, -73.852696999734 40.81409999999669, -73.85264899942624 40.81400700001469, -73.85294299983154 40.81388400042097, -73.85310099946156 40.81370600003589, -73.85314900057679 40.81363000027737, -73.85333399967358 40.81360300025413, -73.85351899982314 40.813615999962884, -73.85396499991627 40.813732999533784, -73.85454699984899 40.81398699954275, -73.8550679993387 40.814260999314406, -73.85521900071588 40.81444600028521, -73.8553560000459 40.814671999958485, -73.85553399923002 40.815008000140985, -73.8556779997951 40.81527499965718, -73.85567799947128 40.81551500011796, -73.8555169993359 40.815833000327295)))",13.784615384615385,28.96315789473684,34.520833333333336,41.8971078542606,10.859938150927288,4.5349192278597465,2.291327609865977, 11 to 20, 1 to 10, 1 to 10
2001600,Soundview-Castle Hill-Clason Point-Harding Park,485079.0,5795,5643.0,5237.0,523,234.0,220.0,"POLYGON ((-73.8551360001358 40.82243600020837, -73.85496700047064 40.82167999978592, -73.8548080002336 40.82102899958929, -73.85463699897426 40.820300000495045, -73.85414199978929 40.81823799936838, -73.85394900077277 40.81746699994079, -73.85378699936724 40.816814999798126, -73.85362000033992 40.81608800073303, -73.85471799959842 40.81594200011237, -73.8555169993359 40.815833000327295, -73.85678299939036 40.81566199918207, -73.85777999953687 40.81552999962417, -73.85870300065007 40.81540500014658, -73.85959699986542 40.8152830003178, -73.85971699987034 40.815269000591016, -73.86055399948758 40.81515499944731, -73.86148199968603 40.81502900010987, -73.86198199975969 40.81713500007539, -73.86207799963391 40.81752099995315, -73.86246399951936 40.819247000695015, -73.86153099948515 40.819379000102565, -73.86202899959565 40.821509000423994, -73.86111399990374 40.82163199959279, -73.86019300014347 40.821757000025734, -73.85926199951373 40.821881999386484, -73.85826399929344 40.82201300034187, -73.85844499945492 40.82277399995591, -73.85531199967187 40.82319199942125, -73.8551360001358 40.82243600020837))",11.080305927342256,24.115384615384617,23.804545454545455,26.37043889407644,19.832813632748483,8.873572447539473,8.342674950678138, 11 to 20, 1 to 10, 1 to 10
2002300,Mott Haven-Port Morris,104645.0,4742,4933.0,4338.0,54,41.0,24.0,"POLYGON ((-73.92288600011062 40.80910600073836, -73.92337500023129 40.80843200022223, -73.92383699964296 40.80780899971486, -73.92426500005016 40.807175000362605, -73.92471299997581 40.8073700007611, -73.92550699950314 40.80771800004177, -73.92652399933021 40.80816200022791, -73.92741999924317 40.80855200013915, -73.92761800030453 40.80863800006229, -73.92855599953282 40.80904600046527, -73.92921899984906 40.8095640002998, -73.92880600046959 40.8098989997371, -73.92813500044444 40.8096220001394, -73.92777299939837 40.810108000039946, -73.92767299991048 40.81023500072266, -73.92712100024139 40.81094899977611, -73.92632100041176 40.810585999930176, -73.92613999987162 40.81050300013527, -73.92514200008364 40.81004999972911, -73.92288600011062 40.80910600073836))",87.81481481481481,120.3170731707317,180.75,5.688835381598933,9.492276780352622,7.207099036934398,4.218789680156721, 1 to 10, 1 to 10, 1 to 10
2002400,park-cemetery-etc-Bronx,691445.0,6,,0.0,121,46.0,,"POLYGON ((-73.87050099954779 40.82036400004515, -73.86999799965861 40.81824199978963, -73.86966900061823 40.81670599969058, -73.86961999941126 40.81648099961362, -73.86956600063706 40.8162069995806, -73.86954499992977 40.81614100037916, -73.86952399956441 40.81611599979807, -73.86949500046907 40.816102000429, -73.86865300003642 40.81621800039346, -73.86893599960018 40.81514199952887, -73.8677269998837 40.81422099976831, -73.86675599945788 40.81431100028912, -73.86645599981027 40.814349999884996, -73.86636099946904 40.814353999957696, -73.86604499920789 40.814395999881086, -73.86521799989177 40.814529000487774, -73.86512799971618 40.81414399967304, -73.86462599969575 40.8142139999561, -73.86443099982525 40.81326899990488, -73.86337499967077 40.812647999604415, -73.86278500046905 40.81231799985041, -73.86164199917035 40.81170200048891, -73.86114999960844 40.81142099988682, -73.8622239992874 40.810030999731005, -73.86253799950558 40.810082000085494, -73.86304499989038 40.810151999692515, -73.86365600014828 40.81025100034987, -73.86434500006106 40.8103279999065, -73.86573700038956 40.81044699990052, -73.86671500024337 40.81054600016471, -73.86738299993833 40.81058799985234, -73.86758699986953 40.81060900061939, -73.86766399898214 40.810650999748916, -73.8678049999496 40.810764000405165, -73.86805100042162 40.81105899922255, -73.86815599975711 40.81117899989803, -73.8683459995727 40.81149500021162, -73.86848999981117 40.811765999489154, -73.86888700085547 40.81235999986631, -73.8692390005378 40.81282399987748, -73.8700469994627 40.81382899955049, -73.87038499964862 40.81420199950298, -73.87058200034755 40.81439200028448, -73.87074299985785 40.81450400009099, -73.87109500029605 40.814700999991246, -73.87130600011845 40.814800000343844, -73.87160100063825 40.814904999662275, -73.87176999989018 40.81496099991676, -73.87311299982117 40.8152989995051, -73.8765050003238 40.81628000063181, -73.87697600037731 40.81642199983811, -73.87751300013873 40.81658600011739, -73.87832000047 40.81708699942605, -73.88054600066431 40.818468000108844, -73.87976900065894 40.81918100051607, -73.87784399963601 40.81941799973783, -73.87612600037247 40.819630000161304, -73.87564599977581 40.819697999833146, -73.87305699992463 40.82006600027458, -73.87246800007111 40.82015099999451, -73.87299099953292 40.82230199980502, -73.87338299968923 40.824031999536565, -73.8734130002184 40.82422499946039, -73.87343200069378 40.82434299991813, -73.87355399948088 40.824410000412996, -73.87282300032449 40.82453500002374, -73.87262199927754 40.824571000509394, -73.8725059996087 40.82459100024351, -73.87212500023567 40.824630000165136, -73.87151500020617 40.8247149995085, -73.87148900030436 40.824623999862126, -73.87145800041334 40.824494000227205, -73.87141899980939 40.82432899976966, -73.87100199960176 40.82256300034017, -73.87050099954779 40.82036400004515))",0.049586776859504134,,,37.589151707484106,3.21901385116676,1.2237573318485202,, 1 to 10, 1 to 10,nan
2002500,Mott Haven-Port Morris,127492.0,5442,5491.0,5109.0,171,69.0,8.0,"POLYGON ((-73.91747899995686 40.80682300059972, -73.91796399993008 40.80611600019006, -73.91881900000558 40.80490500011116, -73.9206150000498 40.80565100015201, -73.92144799987794 40.80598899990085, -73.92263800085566 40.80647900004297, -73.92426500005016 40.807175000362605, -73.92383699964296 40.80780899971486, -73.92337500023129 40.80843200022223, -73.92288600011062 40.80910600073836, -73.92004599928752 40.80790699989724, -73.91922400042077 40.8075580000971, -73.91747899995686 40.80682300059972))",31.82456140350877,79.57971014492753,638.625,6.930871044682605,24.6722235773225,9.955458636463465,1.1542560737928655, 21 to 30, 1 to 10, 1 to 10
2002701,Mott Haven-Port Morris,81584.0,3080,3113.0,3033.0,70,,,"POLYGON ((-73.91347799944528 40.80426300022451, -73.91405999978666 40.80398999971554, -73.91417199984735 40.803940000086364, -73.91426200065276 40.803901999254634, -73.91442899977092 40.80384499924995, -73.91458900010237 40.803796999995214, -73.91477600029158 40.80376200031287, -73.91490500054648 40.80374200016107, -73.91504600003594 40.80372699927732, -73.91516599983059 40.803716000053235, -73.91532399977604 40.803705000619686, -73.91549800012767 40.8036980002032, -73.9156309995629 40.8037000001926, -73.9157890006625 40.80371099969046, -73.91586800025202 40.80371399967062, -73.91731499914377 40.80429799999024, -73.91881900000558 40.80490500011116, -73.91796399993008 40.80611600019006, -73.91747899995686 40.80682300059972, -73.9144949997813 40.80556100000632, -73.91499700017025 40.804872000208015, -73.91347799944528 40.80426300022451))",44.0,,,4.435165997155788,15.782949284173368,,, 11 to 20,nan,nan
2002702,Mott Haven-Port Morris,155461.0,4995,4475.0,4736.0,167,,,"POLYGON ((-73.90912699943439 40.80616599929095, -73.90967199969768 40.80599400020995, -73.91055500019183 40.80559400009462, -73.91147600028762 40.805170999556374, -73.91228499974117 40.8047980002057, -73.91244999951883 40.80470700009471, -73.91294699940843 40.80449800022293, -73.91347799944528 40.80426300022451, -73.91499700017025 40.804872000208015, -73.9144949997813 40.80556100000632, -73.91747899995686 40.80682300059972, -73.91701499994062 40.80750600006064, -73.91658900066321 40.80813300094944, -73.91618399955722 40.80879000010713, -73.91539200005793 40.80845300021626, -73.91433199932233 40.808006999546976, -73.91339599972382 40.80760900007595, -73.91254299998646 40.807242999649844, -73.91166800012996 40.806965999611975, -73.91078199985562 40.80669999983353, -73.90958600019907 40.806325999870374, -73.90912699943439 40.80616599929095))",29.910179640718564,,,8.451354935818737,19.760145120898493,,, 11 to 20,nan,nan
2002800,Soundview-Castle Hill-Clason Point-Harding Park,414588.0,5853,5586.0,5718.0,233,228.0,103.0,"POLYGON ((-73.88054600066431 40.818468000108844, -73.88290199987071 40.8208949999282, -73.88337599963668 40.8219859997305, -73.88432799963901 40.82261399964867, -73.88435799907361 40.82273900067675, -73.88439599922113 40.82290199951215, -73.88441100019811 40.822970000337335, -73.88276100002975 40.823247999818996, -73.88257699999775 40.82327699973789, -73.88178700015636 40.8234020006829, -73.87992999987446 40.82364099958223, -73.87898900052997 40.823711000128725, -73.87806399952562 40.8238339992785, -73.87713600056324 40.823958000331594, -73.87621299977783 40.82408399998494, -73.87528500030992 40.82420799963457, -73.87469300030276 40.824286999997085, -73.87437000085423 40.82432999987298, -73.87421400054596 40.82434500027385, -73.87355399948088 40.824410000412996, -73.87343200069378 40.82434299991813, -73.8734130002184 40.82422499946039, -73.87338299968923 40.824031999536565, -73.87299099953292 40.82230199980502, -73.87246800007111 40.82015099999451, -73.87305699992463 40.82006600027458, -73.87564599977581 40.819697999833146, -73.87612600037247 40.819630000161304, -73.87784399963601 40.81941799973783, -73.87976900065894 40.81918100051607, -73.88054600066431 40.818468000108844))",25.120171673819744,24.5,55.51456310679612,22.53832369617601,10.337947184578425,10.11610282439434,4.569993819792179, 11 to 20, 11 to 20, 1 to 10
2003100,Mott Haven-Port Morris,154703.0,2964,1597.0,1478.0,91,16.0,36.0,"POLYGON ((-73.90446599992995 40.81228200049602, -73.90417999994068 40.81212499997599, -73.90341699986607 40.81150700038804, -73.90324299985305 40.810713000033346, -73.90307400050739 40.80988000021332, -73.90495999963815 40.80853100026143, -73.90561599973645 40.80809699978899, -73.9060890003805 40.80774399965995, -73.90635000044732 40.807499000455934, -73.9066550000916 40.80731200071463, -73.90783300052927 40.806762000357224, -73.90844299951233 40.806476999715656, -73.90820700009975 40.80715199981613, -73.90783899918675 40.808206000401334, -73.90753700061825 40.80905999972169, -73.90725999996064 40.80993699982533, -73.90685200002359 40.81120900057504, -73.9063299996373 40.81266700030377, -73.90541300012435 40.812476000047944, -73.90446599992995 40.81228200049602))",32.57142857142857,99.8125,41.05555555555556,8.410147642405272,10.820261887099798,1.9024636285010637,4.280543164127393, 11 to 20, 1 to 10, 1 to 10
