,tree_id,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,steward,guards,sidewalk,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other
325706,528610,17,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
220622,435713,21,0,OnCurb,Alive,Good,Acer rubrum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
86440,292116,18,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
173335,356752,5,0,OnCurb,Alive,Good,Koelreuteria paniculata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
309051,517028,2,0,OnCurb,Alive,Good,Quercus robur,1or2,None,Damage,None,No,No,No,No,No,No,No,No,No
145256,338476,25,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
55371,239766,11,0,OffsetFromCurb,Alive,Good,Gleditsia triacanthos var. inermis,3or4,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
423137,606270,27,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
544384,44310,25,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
215385,412366,16,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,1or2,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
286879,498419,8,0,OnCurb,Alive,Good,Acer rubrum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
560315,69613,4,0,OnCurb,Alive,Good,Ginkgo biloba,None,None,NoDamage,"Stones,TrunkOther",Yes,No,No,No,No,Yes,No,No,No
179255,366898,18,0,OnCurb,Alive,Good,Liquidambar styraciflua,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
26801,197682,11,0,OnCurb,Alive,Good,Liquidambar styraciflua,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
270943,488666,1,0,OnCurb,Alive,Good,Chamaecyparis thyoides,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
588219,54757,10,0,OnCurb,Alive,Fair,Fraxinus americana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
263476,478545,9,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
219079,437371,33,0,OnCurb,Alive,Good,Quercus rubra,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
616656,108617,9,0,OnCurb,Alive,Good,Tilia tomentosa,3or4,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
670621,194955,5,0,OnCurb,Alive,Fair,Acer rubrum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
478038,668060,6,0,OnCurb,Alive,Good,Prunus,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
253859,442040,6,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
330221,535107,14,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,Damage,None,No,No,No,No,No,No,No,No,No
226207,427734,37,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
494740,706402,23,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
477972,697815,25,0,OnCurb,Alive,Good,Liquidambar styraciflua,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
502810,711851,26,0,OnCurb,Alive,Good,Acer saccharinum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
392631,600837,3,0,OnCurb,Alive,Good,Tilia cordata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
388523,584160,13,0,OnCurb,Alive,Poor,Acer platanoides,None,None,Damage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
409113,627398,9,0,OnCurb,Alive,Good,Ginkgo biloba,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
328936,503969,16,0,OnCurb,Alive,Good,Fraxinus pennsylvanica,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
387901,604460,6,0,OnCurb,Alive,Good,Pyrus calleryana,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
405520,629813,19,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
123416,314727,11,0,OnCurb,Alive,Good,Pyrus calleryana,1or2,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
428800,647194,19,0,OnCurb,Alive,Good,Pyrus calleryana,1or2,Helpful,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
423279,634810,14,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
569255,49459,11,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,1or2,Harmful,Damage,RootOther,No,No,Yes,No,No,No,No,No,No
260961,476235,12,0,OnCurb,Alive,Good,Gleditsia triacanthos var. inermis,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
304896,513867,19,0,OnCurb,Alive,Good,Ginkgo biloba,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
669834,121620,6,0,OnCurb,Alive,Good,Ulmus americana,1or2,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
151055,362061,31,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
177394,374120,35,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
629550,153343,12,0,OnCurb,Alive,Good,Platanus x acerifolia,3or4,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
26052,160159,31,0,OnCurb,Alive,Good,Acer saccharinum,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
509360,654111,3,0,OnCurb,Alive,Good,Ulmus pumila,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
497203,720763,18,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
506166,715132,13,0,OnCurb,Alive,Good,Acer platanoides,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
389758,584161,16,0,OnCurb,Alive,Poor,Acer platanoides,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
505713,701931,0,12,OnCurb,Stump,Good,No Observation,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
162796,378441,5,0,OnCurb,Alive,Good,Cercidiphyllum japonicum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
628811,117895,5,0,OnCurb,Alive,Good,Styphnolobium japonicum,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
343751,564147,11,0,OnCurb,Alive,Good,Acer ginnala,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
570789,4004,3,0,OnCurb,Alive,Good,Tilia cordata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
631081,111866,2,0,OnCurb,Alive,Poor,Zelkova serrata,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
45127,249949,8,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
144754,342858,18,0,OnCurb,Alive,Good,Acer,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
80605,223722,14,0,OnCurb,Alive,Good,Styphnolobium japonicum,1or2,Harmful,NoDamage,None,No,No,No,No,No,No,No,No,No
107689,321170,32,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
168726,381152,24,0,OnCurb,Alive,Good,Quercus palustris,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
391890,608862,9,0,OnCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
646412,148101,9,0,OnCurb,Alive,Good,Prunus cerasifera,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
502519,693847,2,0,OnCurb,Alive,Good,Quercus alba,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
246331,432848,9,0,OnCurb,Alive,Good,Pyrus calleryana,3or4,Helpful,NoDamage,Stones,Yes,No,No,No,No,No,No,No,No
410164,593922,18,0,OnCurb,Alive,Good,Tilia cordata,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
218630,435992,2,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,1or2,None,NoDamage,BranchOther,No,No,No,No,No,No,No,No,Yes
374142,579872,24,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
385815,572252,23,0,OnCurb,Alive,Good,Prunus serotina,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
209664,419658,5,0,OnCurb,Alive,Fair,Prunus cerasifera,None,None,NoDamage,TrunkOther,No,No,No,No,No,Yes,No,No,No
238463,385112,28,0,OnCurb,Alive,Good,Prunus virginiana,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
151587,333504,20,0,OnCurb,Alive,Poor,Acer platanoides,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
28300,214473,2,0,OnCurb,Alive,Good,Tilia cordata,3or4,None,NoDamage,None,No,No,No,No,No,No,No,No,No
296883,523509,30,0,OffsetFromCurb,Alive,Good,Ulmus americana,1or2,Helpful,NoDamage,None,No,No,No,No,No,No,No,No,No
132179,327654,8,0,OffsetFromCurb,Alive,Good,Pyrus calleryana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
