,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,precipitation
0,-1.8,-3.9,86,4,8.0,101.24,0
1,-1.8,-3.7,87,4,8.0,101.24,0
2,-1.8,-3.4,89,7,4.0,101.26,1
3,-1.5,-3.2,88,6,4.0,101.27,1
4,-1.5,-3.3,88,7,4.8,101.23,0
5,-1.4,-3.3,87,9,6.4,101.27,0
6,-1.5,-3.1,89,7,6.4,101.29,0
7,-1.4,-3.6,85,7,8.0,101.26,0
8,-1.4,-3.6,85,9,8.0,101.23,0
9,-1.3,-3.1,88,15,4.0,101.2,0
10,-1.0,-2.3,91,9,1.2,101.15,0
11,-0.5,-2.1,89,7,4.0,100.98,0
12,-0.2,-2.0,88,9,4.8,100.79,0
13,0.2,-1.7,87,13,4.8,100.58,0
14,0.8,-1.1,87,20,4.8,100.31,0
15,1.8,-0.4,85,22,6.4,100.07,0
16,2.6,-0.2,82,13,12.9,99.93,0
17,3.0,0.0,81,13,16.1,99.81,0
18,3.8,1.0,82,15,12.9,99.74,1
19,3.1,1.3,88,15,12.9,99.68,1
20,3.2,1.3,87,19,25.0,99.5,0
21,4.0,1.7,85,20,25.0,99.39,0
22,4.4,1.9,84,24,19.3,99.32,1
23,5.3,2.0,79,30,25.0,99.31,0
24,5.2,1.5,77,35,25.0,99.26,1
25,4.6,0.0,72,39,25.0,99.26,0
26,3.9,-0.9,71,32,25.0,99.26,0
27,3.7,-1.5,69,33,25.0,99.3,0
28,2.9,-2.3,69,32,25.0,99.26,0
29,2.6,-2.3,70,32,25.0,99.21,0
30,2.3,-2.6,70,26,25.0,99.18,0
31,2.0,-2.9,70,33,25.0,99.14,0
32,1.9,-3.3,68,39,24.1,99.14,0
33,1.8,-3.7,67,44,24.1,99.14,0
34,1.5,-4.1,66,43,24.1,99.18,0
35,2.2,-3.5,66,30,24.1,99.19,0
36,1.7,-6.2,56,48,24.1,99.21,0
37,1.1,-6.5,57,37,24.1,99.27,0
38,1.1,-6.8,56,33,24.1,99.33,0
39,0.0,-7.0,59,33,24.1,99.41,0
40,-0.7,-8.7,55,24,24.1,99.5,0
41,-2.1,-9.5,57,22,25.0,99.66,1
42,-4.1,-11.4,57,28,25.0,99.86,0
43,-4.8,-12.1,57,24,25.0,100.0,0
44,-5.6,-13.4,54,24,25.0,100.07,1
45,-5.8,-12.8,58,26,25.0,100.15,1
46,-7.0,-14.7,54,20,25.0,100.26,0
47,-7.4,-14.1,59,17,19.3,100.27,1
48,-9.0,-16.0,57,28,25.0,100.35,1
49,-9.7,-17.2,54,20,25.0,100.43,0
50,-10.5,-15.8,65,22,12.9,100.53,1
51,-11.3,-18.7,54,33,25.0,100.61,1
52,-12.6,-20.1,53,24,25.0,100.68,0
53,-12.9,-19.1,60,22,25.0,100.76,1
54,-13.3,-19.3,61,19,25.0,100.85,1
55,-14.0,-19.5,63,19,25.0,100.95,1
56,-14.8,-21.3,58,26,24.1,101.07,0
57,-15.0,-21.9,56,19,24.1,101.2,0
58,-15.3,-22.2,56,24,24.1,101.29,0
59,-14.9,-22.2,54,22,24.1,101.33,0
60,-14.9,-22.6,52,20,24.1,101.34,0
61,-15.1,-22.4,54,22,24.1,101.34,0
62,-14.9,-22.9,50,22,24.1,101.38,0
63,-14.8,-22.2,53,19,24.1,101.44,0
64,-15.3,-22.9,52,22,24.1,101.51,0
65,-15.8,-23.2,53,22,24.1,101.58,0
66,-16.3,-23.8,52,24,25.0,101.64,0
67,-16.9,-24.8,50,24,25.0,101.74,0
68,-17.3,-25.4,49,24,25.0,101.82,0
69,-17.0,-24.6,52,15,25.0,101.86,0
70,-17.1,-24.6,52,20,25.0,101.86,0
71,-17.3,-24.2,55,17,25.0,101.87,0
72,-17.5,-24.2,56,13,25.0,101.88,0
73,-17.9,-24.1,58,11,25.0,101.86,0
74,-18.1,-23.8,61,15,25.0,101.89,0
75,-18.5,-24.6,59,13,25.0,101.88,0
76,-18.5,-24.6,59,13,25.0,101.82,0
77,-18.6,-24.0,62,9,25.0,101.77,0
78,-18.5,-24.1,61,11,25.0,101.74,0
79,-18.2,-24.1,60,11,25.0,101.75,0
80,-17.8,-24.2,57,17,24.1,101.73,0
81,-16.8,-22.5,61,9,24.1,101.68,0
82,-15.2,-20.6,63,7,24.1,101.54,0
83,-14.2,-21.1,56,13,24.1,101.41,0
84,-13.7,-21.7,51,11,24.1,101.25,1
85,-12.4,-20.1,53,11,24.1,101.07,0
86,-11.3,-19.0,53,7,19.3,100.97,1
87,-10.2,-16.3,61,11,9.7,100.89,1
88,-9.4,-15.5,61,13,19.3,100.79,1
89,-8.9,-13.2,71,9,4.8,100.76,1
90,-8.9,-12.6,75,11,9.7,100.69,1
91,-8.4,-12.7,71,9,16.1,100.65,1
92,-7.8,-12.1,71,9,16.1,100.61,1
93,-7.6,-11.6,73,7,11.3,100.54,1
94,-9.5,-12.7,77,6,9.7,100.5,1
95,-9.6,-12.6,79,6,9.7,100.42,1
96,-8.8,-11.7,79,4,9.7,100.32,1
97,-7.5,-10.2,81,0,9.7,100.29,1
98,-5.4,-8.3,80,9,8.0,100.28,1
99,-5.0,-7.7,81,11,9.7,100.24,1
100,-4.1,-6.5,83,9,4.8,100.21,1
101,-7.0,-9.5,82,4,4.0,100.19,1
102,-8.2,-10.7,82,6,6.4,100.26,1
103,-7.1,-9.7,82,9,9.7,100.31,1
104,-6.1,-9.1,79,11,9.7,100.39,1
105,-6.6,-10.1,76,9,24.1,100.42,0
106,-6.0,-10.0,73,17,48.3,100.45,0
107,-5.6,-10.2,70,22,48.3,100.41,0
108,-4.7,-9.6,69,20,48.3,100.38,0
109,-4.4,-9.7,66,26,48.3,100.4,0
110,-5.1,-10.7,65,22,48.3,100.46,0
111,-4.3,-12.0,55,26,48.3,100.52,0
112,-5.0,-12.7,55,19,24.1,100.6,0
113,-6.7,-14.1,56,11,25.0,100.65,0
114,-7.1,-14.4,56,11,25.0,100.71,0
115,-9.2,-15.4,61,7,25.0,100.8,0
116,-9.8,-15.7,62,9,25.0,100.83,0
117,-9.0,-14.8,63,13,25.0,100.83,0
118,-9.9,-15.7,63,7,25.0,100.85,0
119,-9.4,-15.5,61,9,25.0,100.83,0
120,-9.6,-16.8,56,13,25.0,100.81,0
121,-10.0,-17.3,55,17,25.0,100.81,0
122,-10.5,-16.5,61,9,25.0,100.84,0
123,-10.6,-16.0,64,0,9.7,100.76,1
124,-11.3,-16.1,68,15,3.2,100.7,1
125,-11.8,-16.0,71,19,2.8,100.61,1
126,-12.0,-16.2,71,22,4.8,100.58,1
127,-14.4,-16.3,85,22,2.4,100.52,1
128,-12.3,-16.2,73,24,11.3,100.51,1
129,-12.5,-16.7,71,26,19.3,100.53,1
130,-12.3,-16.3,72,28,16.1,100.47,1
131,-12.0,-16.0,72,17,24.1,100.36,1
132,-11.7,-15.4,74,28,19.3,100.23,1
133,-11.9,-15.6,74,20,24.1,100.13,1
134,-11.2,-14.8,75,19,19.3,100.07,1
135,-11.5,-14.4,79,19,12.9,100.06,1
136,-11.6,-14.7,78,19,19.3,100.1,1
137,-11.2,-14.3,78,17,25.0,100.15,1
138,-10.5,-13.6,78,17,19.3,100.12,0
139,-10.5,-13.4,79,15,25.0,100.13,0
140,-10.2,-13.0,80,11,25.0,100.15,0
141,-9.5,-12.5,79,9,25.0,100.13,0
142,-9.3,-12.2,79,11,19.3,100.16,0
143,-9.0,-12.0,79,7,16.1,100.15,0
144,-8.7,-11.7,79,6,16.1,100.13,0
145,-8.5,-11.4,80,0,19.3,100.11,0
146,-8.1,-11.1,79,4,19.3,100.15,0
147,-7.8,-10.8,79,4,19.3,100.12,0
148,-7.5,-10.5,79,6,19.3,100.1,0
149,-6.9,-9.7,80,4,19.3,100.12,0
150,-6.7,-9.5,80,7,16.1,100.12,0
151,-7.0,-9.7,81,7,16.1,100.16,0
152,-6.4,-9.0,82,9,8.0,100.1,1
153,-6.1,-8.7,82,7,9.7,100.15,1
154,-5.7,-8.0,84,7,8.0,100.13,1
155,-5.4,-7.7,84,9,9.7,100.08,1
156,-5.5,-7.8,84,13,9.7,100.05,1
157,-4.8,-7.2,83,15,9.7,100.07,1
158,-4.4,-6.9,83,6,8.0,100.09,1
159,-3.7,-6.1,83,11,8.0,100.09,1
160,-3.6,-5.9,84,0,8.0,100.15,1
161,-3.1,-5.4,84,13,8.0,100.27,1
162,-3.2,-5.3,85,6,9.7,100.33,1
163,-3.0,-5.0,86,6,8.0,100.41,1
164,-1.8,-3.7,87,4,9.7,100.48,1
165,-1.3,-3.1,88,0,6.4,100.5,1
166,-1.5,-3.0,89,4,4.0,100.54,0
167,0.4,-1.5,87,22,9.7,100.62,1
168,0.6,-3.2,76,32,25.0,100.72,0
169,-0.6,-4.6,74,32,25.0,100.8,0
170,-1.7,-6.2,71,30,25.0,100.98,0
171,-3.5,-8.3,69,32,25.0,101.13,0
172,-4.4,-9.2,69,22,25.0,101.21,0
173,-5.9,-10.5,70,13,25.0,101.33,0
174,-5.8,-10.8,68,13,25.0,101.47,0
175,-5.6,-10.3,69,11,25.0,101.59,0
176,-5.9,-10.7,69,11,24.1,101.7,1
177,-6.4,-11.9,65,17,24.1,101.81,1
178,-6.5,-11.6,67,17,9.7,101.89,1
179,-7.1,-12.6,65,22,24.1,101.92,1
180,-6.7,-11.9,66,15,24.1,101.9,1
181,-6.5,-12.4,63,15,24.1,101.94,0
182,-6.5,-12.0,65,19,24.1,101.97,0
183,-6.6,-12.9,61,20,48.3,102.04,0
184,-6.6,-13.3,59,20,24.1,102.09,0
185,-7.2,-13.8,59,17,25.0,102.17,0
186,-8.1,-14.1,62,17,25.0,102.23,0
187,-8.0,-13.9,62,15,25.0,102.26,0
188,-8.3,-13.7,65,15,25.0,102.28,0
189,-8.3,-13.9,64,11,25.0,102.26,0
190,-8.7,-14.0,65,7,25.0,102.22,0
191,-9.0,-13.9,68,7,25.0,102.22,0
192,-9.2,-14.3,66,6,25.0,102.17,0
193,-9.8,-14.5,68,0,25.0,102.13,0
194,-9.0,-14.1,66,4,25.0,102.15,0
195,-8.8,-13.2,70,0,25.0,102.11,0
196,-8.5,-13.2,69,9,25.0,102.02,0
