,fips,state,county,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2013,POP_ESTIMATE_2018,Unemployment_rate_2018,Median_Household_Income_2018,PCTPOVALL_2018,log_pop,BAC_PCT,WAC_PCT
0,1001,AL,Autauga County,2,2,55601,3.6,59338,13.8,4.75,21.09219782,77.97347366
1,1003,AL,Baldwin County,3,2,218022,3.6,57588,9.8,5.34,9.565747153,89.19026672
2,1005,AL,Barbour County,6,6,24881,5.2,34382,30.9,4.4,49.08450134,50.14988252
3,1007,AL,Bibb County,1,1,22400,4,46064,21.8,4.35,21.91211932,77.7886934
4,1009,AL,Blount County,1,1,57840,3.5,50412,13.2,4.76,2.20661986,97.13104832
5,1011,AL,Bullock County,6,6,10138,4.7,29267,42.5,4.01,70.99297099,27.77942778
6,1013,AL,Butler County,6,6,19680,4.8,37365,24.5,4.29,45.58309338,53.02858906
7,1015,AL,Calhoun County,3,2,114277,4.7,45400,19.5,5.06,22.43123102,76.95611989
8,1017,AL,Chambers County,6,5,33615,3.9,39917,18.7,4.53,40.9785289,58.19450292
9,1019,AL,Cherokee County,6,6,26032,3.6,42132,16.3,4.42,4.756451367,94.69766377
10,1021,AL,Chilton County,1,1,44153,3.6,47547,17.3,4.64,11.13261907,88.32718106
11,1023,AL,Choctaw County,9,10,12841,5.5,39907,22.1,4.11,42.13996346,57.75677178
12,1025,AL,Clarke County,7,11,23920,7.5,40741,22.8,4.38,45.57192448,53.82694099
13,1027,AL,Clay County,9,10,13275,3.9,39201,17.6,4.12,15.0736683,85.21344919
14,1029,AL,Cleburne County,8,4,14987,4.2,46495,16,4.18,3.521126761,96.20389001
15,1031,AL,Coffee County,4,5,51909,3.9,55122,13.8,4.72,18.97138054,78.62519583
16,1033,AL,Colbert County,3,2,54762,4.6,49055,13.8,4.74,17.21728426,82.2342101
17,1035,AL,Conecuh County,7,11,12277,5.2,32613,24.4,4.09,46.81362393,53.02063479
18,1037,AL,Coosa County,8,3,10715,4.2,42423,18.9,4.03,31.53896652,68.02963519
19,1039,AL,Covington County,6,6,36986,4.6,40203,19.9,4.57,13.46325137,86.12378202
20,1041,AL,Crenshaw County,8,6,13824,4.1,39057,19.5,4.14,25.2323555,74.19401685
21,1043,AL,Cullman County,4,3,83442,3.3,45796,14.5,4.92,1.894518193,97.08122433
22,1045,AL,Dale County,4,5,48956,4.2,45309,16.2,4.69,22.36842105,76.24257708
23,1047,AL,Dallas County,4,5,38310,6.5,34035,31.4,4.58,71.27648134,28.39821486
24,1049,AL,DeKalb County,6,6,71385,3.8,39491,21.3,4.85,2.46109099,94.83870066
25,1051,AL,Elmore County,2,2,81887,3.4,60367,11.2,4.91,22.02465244,77.32147915
26,1053,AL,Escambia County,6,6,36748,4.6,38418,23.6,4.57,32.38064041,64.2262441
27,1055,AL,Etowah County,3,2,102501,4.1,44903,17.5,5.01,16.71686158,82.41874291
28,1057,AL,Fayette County,6,6,16433,4.1,39254,23.5,4.22,12.75917065,87.30217151
29,1059,AL,Franklin County,6,6,31363,3.7,39388,19.2,4.5,5.190995472,93.31356419
30,1061,AL,Geneva County,3,2,26314,3.9,37823,21.3,4.42,10.33839595,89.0297286
31,1063,AL,Greene County,8,6,8233,6.7,28524,30.1,3.92,80.48329429,19.33177167
32,1065,AL,Hale County,3,2,14726,5.1,34724,25.6,4.17,58.35779128,41.32823698
33,1067,AL,Henry County,3,2,17209,4.4,46027,17.9,4.24,26.81197326,73.10084278
34,1069,AL,Houston County,3,2,104722,4,47993,16.5,5.02,28.53270622,70.67679114
35,1071,AL,Jackson County,6,5,51736,4.1,41929,19.7,4.71,4.296284818,94.05338395
36,1073,AL,Jefferson County,1,1,659300,3.7,55013,16.1,5.82,44.21711792,54.22010924
37,1075,AL,Lamar County,8,7,13844,3.8,40936,17.4,4.14,11.24954727,89.14885911
38,1077,AL,Lauderdale County,3,2,92387,4.2,48707,14,4.97,10.93940407,88.53001758
39,1079,AL,Lawrence County,3,2,32957,4.2,43909,19.3,4.52,11.82116389,82.86356457
40,1081,AL,Lee County,3,2,163941,3.6,48937,19,5.21,23.7702228,72.2599701
41,1083,AL,Limestone County,2,2,96174,3.5,64863,11.4,4.98,15.03513117,83.20982662
42,1085,AL,Lowndes County,2,2,9974,7.3,33973,25.1,4,72.77400781,26.57824388
43,1087,AL,Macon County,6,6,18439,5.5,32495,30.2,4.27,81.20433916,18.40270091
44,1089,AL,Madison County,2,2,366519,3.5,63755,11.9,5.56,26.16134231,71.25277212
45,1091,AL,Marengo County,7,11,19066,5,37733,24,4.28,52.16561523,47.47389069
