Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500,178.78,0.0,178.78,178.78
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800,179.09,0.001691260758252655,178.935,178.935
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600,176.83,-0.012614046805530688,178.23333333333335,178.23333333333335
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100,172.58,-0.023991856045929794,176.82,176.82
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200,170.69,-0.01097631437136204,175.594,175.594
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300,170.86,0.0009898717162728499,174.80499999999998,174.80499999999998
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500,172.24,0.00806832246605027,174.43857142857146,174.43857142857146
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900,167.94,-0.024940477324241428,173.62625,173.62625
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600,170.7,0.016416665016080856,173.3011111111111,173.3011111111111
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400,167.03,-0.02146604070715341,172.674,172.674
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400,167.26,0.0013309897438882334,172.1818181818182,172.1818181818182
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800,165.11,-0.012815255401475212,171.5925,171.5925
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900,166.04,0.005602430643317113,171.16538461538462,171.16538461538462
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600,169.44,0.020515166068677093,171.04214285714286,171.04214285714286
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700,166.88,-0.015116756449995883,170.19214285714284,170.76466666666667
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800,169.16,0.013643167170011683,169.48285714285717,170.664375
2016-01-27,2016,1,27,Wednesday,04,2016-04,189.58,191.56,187.06,188.13,185681700,167.32,-0.010883143787192573,168.80357142857142,170.46764705882353
2016-01-28,2016,1,28,Thursday,04,2016-04,189.96,190.2,187.16,189.11,143798800,168.19,0.005209389687117483,168.48999999999998,170.3411111111111
2016-01-29,2016,1,29,Friday,04,2016-04,190.02,193.88,189.88,193.72,210529300,172.29,0.024377195222687442,168.6042857142857,170.4436842105263
2016-02-01,2016,2,1,Monday,05,2016-05,192.53,194.58,191.84,193.65,136061600,172.23,-0.00036134293100309467,168.70214285714286,170.533
2016-02-02,2016,2,2,Tuesday,05,2016-05,191.96,191.97,189.54,190.16,182564900,169.12,-0.01802229140030509,168.4792857142857,170.46571428571428
2016-02-03,2016,2,3,Wednesday,05,2016-05,191.41,191.78,187.1,191.3,205054900,170.14,0.005995102904595262,168.63642857142855,170.4509090909091
