,Year,Jobs,Index,Percent Change,Jobs Rate,GDP,GDP per Capita,Growth,year,amount,inflation rate,Date,House_Price_Index,Stock_Price_Index,Consumer_Price_Index,Population,Unemployment_Rate,Real_GDP,Mortgage_Rate,Real_Disposable_Income
0,1975,98900600,108.6,-1.21,0.46,"$1,684.90B","$7,801 ",-0.21%,1975,12.51,0.09,1975-01-01,61.09,67.14653,65.30488,0.98599,8.46667,5648.462,9.04712,19908.0
1,1976,101591200,111.6,2.72,0.47,"$1,873.41B","$8,592 ",5.39%,1976,13.23,0.06,1976-01-01,65.525,79.96264,69.05653,0.95022,7.71667,5952.809,8.86585,20346.0
2,1977,105042200,115.4,3.40,0.48,"$2,081.83B","$9,453 ",4.62%,1977,14.09,0.07,1977-01-01,73.435,78.8254,73.54636,1.00577,7.06667,6228.076,8.84519,20780.0
3,1978,109686600,120.5,4.42,0.49,"$2,351.60B","$10,565 ",5.54%,1978,15.16,0.08,1978-01-01,83.745,78.84679,79.15866,1.05957,6.06667,6572.819,9.64173,21497.0
4,1979,113147100,124.3,3.15,0.50,"$2,627.33B","$11,674 ",3.17%,1979,16.88,0.11,1979-01-01,95.1325,85.63207,88.06755,1.10358,5.83333,6780.924,11.20365,21672.0
5,1980,113983200,125.2,0.74,0.50,"$2,857.31B","$12,575 ",-0.26%,1980,19.16,0.13,1980-01-01,102.6675,100.0,100.0,0.95959,7.14167,6763.514,13.74212,21584.0
6,1981,114914000,126.2,0.82,0.50,"$3,207.04B","$13,976 ",2.54%,1981,21.14,0.1,1981-01-01,107.2375,108.67516,110.33472,0.98142,7.6,6935.153,16.64151,21891.0
7,1982,114163300,125.4,-0.65,0.49,"$3,343.79B","$14,434 ",-1.80%,1982,22.44,0.06,1982-01-01,108.46,101.20645,117.09981,0.95332,9.70833,6810.12,16.04365,22156.0
8,1983,115645700,127.0,1.30,0.49,"$3,634.04B","$15,544 ",4.58%,1983,23.16,0.03,1983-01-01,116.2425,136.01719,120.86156,0.91438,9.61667,7122.29,13.23538,22714.0
9,1984,120528100,132.4,4.22,0.51,"$4,037.61B","$17,121 ",7.24%,1984,24.16,0.04,1984-01-01,121.4575,135.7124,126.05926,0.86582,7.525,7637.704,13.87769,24062.0
10,1985,123796700,136.0,2.71,0.52,"$4,338.98B","$18,237 ",4.17%,1985,25.02,0.04,1985-01-01,127.6625,158.7128,130.52887,0.88613,7.19167,7956.17,12.43019,24565.0
11,1986,126232300,138.6,1.97,0.53,"$4,579.63B","$19,071 ",3.46%,1986,25.49,0.02,1986-01-01,136.375,199.68371,133.00637,0.92416,6.99167,8231.664,10.18731,25268.0
12,1987,129548400,142.3,2.63,0.53,"$4,855.22B","$20,039 ",3.46%,1987,26.42,0.04,1987-01-01,145.2025,237.42219,137.88047,0.89383,6.19167,8516.418,10.2134,25597.0
