"","State","Year","Month","Number_of_Deaths","Number_of_OD_Deaths"
"1","AK",2015,"April",4133,126
"2","AK",2015,"August",4222,124
"3","AK",2015,"December",4193,121
"4","AK",2015,"February",4084,127
"5","AK",2015,"January",4034,126
"6","AK",2015,"July",4220,117
"7","AK",2015,"June",4201,121
"8","AK",2015,"March",4101,125
"9","AK",2015,"May",4196,125
"10","AK",2015,"November",4219,115
"11","AK",2015,"October",4241,120
"12","AK",2015,"September",4242,125
"13","AK",2016,"April",4262,132
"14","AK",2016,"August",4276,138
"15","AK",2016,"December",4355,129
"16","AK",2016,"February",4198,128
"17","AK",2016,"January",4213,126
"18","AK",2016,"July",4269,143
"19","AK",2016,"June",4261,138
"20","AK",2016,"March",4230,125
"21","AK",2016,"May",4241,140
"22","AK",2016,"November",4289,133
"23","AK",2016,"October",4291,131
"24","AK",2016,"September",4256,131
"25","AK",2017,"April",4325,117
"26","AK",2017,"August",4234,137
"27","AK",2017,"December",4279,141
"28","AK",2017,"February",4347,124
"29","AK",2017,"January",4374,126
"30","AK",2017,"July",4236,128
"31","AK",2017,"June",4276,122
"32","AK",2017,"March",4359,126
"33","AK",2017,"May",4277,120
"34","AK",2017,"November",4308,138
"35","AK",2017,"October",4283,144
"36","AK",2017,"September",4299,148
"37","AK",2018,"April",4340,142
"38","AK",2018,"August",4383,110
"39","AK",2018,"December",4333,105
"40","AK",2018,"February",4303,139
"41","AK",2018,"January",4259,138
"42","AK",2018,"July",4337,116
"43","AK",2018,"June",4308,125
"44","AK",2018,"March",4285,136
"45","AK",2018,"May",4351,126
"46","AK",2018,"November",4333,106
"47","AK",2018,"October",4309,99
"48","AK",2018,"September",4324,100
"49","AK",2019,"April",4405,119
"50","AK",2019,"August",4457,130
"51","AK",2019,"December",4528,133
"52","AK",2019,"February",4386,115
"53","AK",2019,"January",4357,107
"54","AK",2019,"July",4475,135
"55","AK",2019,"June",4517,132
"56","AK",2019,"March",4441,124
"57","AK",2019,"May",4460,128
"58","AK",2019,"November",4503,139
"59","AK",2019,"October",4482,146
"60","AK",2019,"September",4473,136
"61","AK",2020,"April",4510,120
"62","AK",2020,"August",4661,139
"63","AK",2020,"December",5008,146
"64","AK",2020,"February",4546,125
"65","AK",2020,"January",4545,134
"66","AK",2020,"July",4604,135
"67","AK",2020,"June",4499,132
"68","AK",2020,"March",4495,117
"69","AK",2020,"May",4507,128
"70","AK",2020,"November",4910,141
"71","AK",2020,"October",4816,134
"72","AK",2020,"September",4723,140
"73","AK",2021,"February",5052,148
"74","AK",2021,"January",5053,143
"75","AK",2021,"March",5100,162
"76","AL",2015,"April",50565,738
"77","AL",2015,"August",50930,736
"78","AL",2015,"December",50870,720
"79","AL",2015,"February",50004,723
"80","AL",2015,"January",49543,715
"81","AL",2015,"July",50841,743
"82","AL",2015,"June",50658,756
"83","AL",2015,"March",50486,733
"84","AL",2015,"May",50516,755
"85","AL",2015,"November",51093,725
"86","AL",2015,"October",51091,730
"87","AL",2015,"September",51044,744
"88","AL",2016,"April",50391,676
"89","AL",2016,"August",50756,685
"90","AL",2016,"December",51431,740
"91","AL",2016,"February",50555,710
"92","AL",2016,"January",50534,706
"93","AL",2016,"July",50683,681
"94","AL",2016,"June",50613,674
"95","AL",2016,"March",50348,681
"96","AL",2016,"May",50511,654
"97","AL",2016,"November",51110,718
"98","AL",2016,"October",50869,704
"99","AL",2016,"September",50810,695
"100","AL",2017,"April",51794,795
"101","AL",2017,"August",52075,808
"102","AL",2017,"December",52307,807
"103","AL",2017,"February",51542,759
"104","AL",2017,"January",51652,763
"105","AL",2017,"July",52035,809
"106","AL",2017,"June",52000,804
"107","AL",2017,"March",51668,794
"108","AL",2017,"May",51943,812
"109","AL",2017,"November",52254,799
"110","AL",2017,"October",52267,801
"111","AL",2017,"September",52232,800
"112","AL",2018,"April",53252,785
"113","AL",2018,"August",53500,745
"114","AL",2018,"December",53296,740
"115","AL",2018,"February",53281,799
"116","AL",2018,"January",53108,785
"117","AL",2018,"July",53478,759
"118","AL",2018,"June",53375,764
"119","AL",2018,"March",53230,785
"120","AL",2018,"May",53290,787
"121","AL",2018,"November",53381,744
"122","AL",2018,"October",53406,751
"123","AL",2018,"September",53384,754
"124","AL",2019,"April",52576,699
"125","AL",2019,"August",53025,731
"126","AL",2019,"December",53210,739
