Have you ever hunted deer in Pennsylvania? (choose only one),How many years have you hunted deer in Pennsylvania?,During the last 5 years  how many years did you hunt deer in Pennsylvania?,Did you hunt deer in Pennsylvania during the 2016-17 hunting season? (choose only one),Did you harvest an antlered deer in Pennsylvania during the 2016-17 hunting season? (choose only one),Did you take your antlered deer to a taxidermist in Pennsylvania during the 2016-17 hunting seasons? (choose only one),Who processed your antlered deer from the 2016-17 hunting seasons? (choose only one),How many antlerless deer did you harvest in Pennsylvania during the 2016-17 seasons?,How many total deer did you pay someone to process during the 2016-17 seasons?,On what kind of land did you hunt deer in Pennsylvania during the 2016-17 seasons? (choose only one),During the 2016-17 seasons  did you pay a fee to access land for deer hunting? (choose only one),During the 2016-17 seasons  how many trail cameras did you use for deer scouting?,Did you hunt deer in another state during the 2016-17 hunting seasons? (choose only one),Which other state(s) did you hunt deer during the 2016-17 hunting seasons?,Did you hunt bears in Pennsylvania during the 2016 archery bear season? (choose only one),In the last year  did you hunt deer on a high-fenced facility in Pennsylvania that charged a fee? (choose only one),I hunt with the goal of harvesting an antlered deer only.,I do not care if I harvest an antlered or antlerless deer  as long as I get a deer.,How has your interest in deer hunting in Pennsylvania changed in the last 5 years? (choose only one),What is the most important factor affecting change in your interest in deer hunting? (choose only one),Did you hunt deer during the 2016-17 Fall Archery Season? (choose only one),In which Wildlife Management Unit (WMU) did you hunt deer the most during the 2016-17 FALL ARCHERY SEASON (i.e.  October to mid-November)?,During fall archery season  approximately how many days did you hunt in the WMU where you hunted the most during fall archery? (choose only one),Did you start or return to archery hunting because you could use a crossbow? (choose only one),Did you harvest an antlered deer in the WMU where you hunted most during the fall archery season? (choose only one),How many antlerless deer did you harvest in the WMU where you hunted the most during the fall archery season?,Based on your experience during the fall archery season  the deer population in the WMU where you hunted the most during the fall archery season is: (choose only one),Based on your experience during the fall archery season  the deer population in the WMU where you hunted the most during the fall archery season is: (choose only one),On what kind of land did you hunt deer during the fall archery season in the WMU where you hunted the most during the fall archery season? (choose only one),In the WMU where you hunted the most during the fall archery season  the number of antlered deer you saw last year when hunting during the fall archery season was: (choose only one),In the WMU where you hunted the most during the fall archery season  the number of antlerless deer you saw last year when hunting during the fall archery season was: (choose only one),Which statement best describes your use of a crossbow during the fall archery season in the WMU where you hunted the most during the fall archery season? (choose only one),Did you hunt as part of a hunting camp?,Did you hunt with a portable treestand?,Did you hunt from a permanent treestand?,Did you hunt using natural deer urine-based lures?,Is your primary residence in the WMU hunted most?,How many miles do you travel one-way to hunt in the WMU hunted most?,Did you hunt deer on opening day (Monday  November 28th) of the 2016 Regular Firearms Season? (choose only one),Did you hunt deer during the 2016-17 Regular Firearms Season? (choose only one),In which Wildlife Management Unit (WMU) did you hunt deer the most during the 2016 REGULAR FIREARMS hunting season (i.e.  the firearms season after Thanksgiving)?,Did you harvest an antlered deer in the WMU where you hunted the most during the firearms season? (choose only one),How many antlerless deer did you harvest in the WMU where you hunted the most during the firearms season?,The deer population in the WMU where you hunt the most during the firearms season is: (choose only one),The deer population in the WMU where you hunt the most during the firearms season is: (choose only one),In the WMU where you hunted the most during the firearms season  antlerless allocations should: (choose only one),In the WMU where you hunted the most during the firearms season  how many days did you spend in the woods scouting for deer before the season?,On what kind of land did you hunt deer in the WMU where you hunted the most during the firearms season? (choose only one),In the WMU where you hunted the most during the firearms season  the number of antlered deer you saw last year during the firearms season was: (choose only one),In the WMU where you hunted the most during the firearms season  the number of antlerless deer you saw last year during the firearms season was: (choose only one),October Muzzleloader:Number of Days,Archery and Flintlock after Christmas:Number of Days,Firearms after Christmas (only in Allegheny  Bucks  Chester  Delaware  Montgomery  and Philadelphia counties):Number of Days,In the WMU where you hunted the most  which days of the 1st week of the firearms season did you hunt? (choose all that apply):Monday,In the WMU where you hunted the most  which days of the 1st week of the firearms season did you hunt? (choose all that apply):Tuesday,In the WMU where you hunted the most  which days of the 1st week of the firearms season did you hunt? (choose all that apply):Wednesday,In the WMU where you hunted the most  which days of the 1st week of the firearms season did you hunt? (choose all that apply):Thursday,In the WMU where you hunted the most  which days of the 1st week of the firearms season did you hunt? (choose all that apply):Friday,In the WMU where you hunted the most  which days of the 1st week of the firearms season did you hunt? (choose all that apply):Saturday,In the WMU where you hunted the most  which days of the&nbsp;2nd&nbsp;week of the firearms season did you hunt? (choose all that apply):Monday,In the WMU where you hunted the most  which days of the&nbsp;2nd&nbsp;week of the firearms season did you hunt? (choose all that apply):Tuesday,In the WMU where you hunted the most  which days of the&nbsp;2nd&nbsp;week of the firearms season did you hunt? (choose all that apply):Wednesday,In the WMU where you hunted the most  which days of the&nbsp;2nd&nbsp;week of the firearms season did you hunt? (choose all that apply):Thursday,In the WMU where you hunted the most  which days of the&nbsp;2nd&nbsp;week of the firearms season did you hunt? (choose all that apply):Friday,In the WMU where you hunted the most  which days of the&nbsp;2nd&nbsp;week of the firearms season did you hunt? (choose all that apply):Saturday,Please indicate your level of agreement or disagreement with the following statement: In the WMU where I hunted the most during the firearms season  I support the antler restriction. (choose only one),Please indicate your level of&nbsp;satisfaction or dissatisfaction with your deer hunting experience in 2016-17 in the WMU where&nbsp;you hunted the most during the firearms season. (choose only one),Did you hunt as part of a hunting camp?,Did you hunt from a portable treestand?,Did you hunt from a permanent treestand?,Did you hunt using natural deer urine-based lures?,Did you hunt as part of a drive?,Is your primary residence in the WMU where you hunted the most during the firearms season?,How many miles do you travel one-way to hunt in the WMU where you hunted the most during the firearms season?,If the deer population remained the same in the WMU where you hunted the most during the firearms season  I would prefer the regular firearms season to be: (choose only one),In the WMU where you hunted the most during the firearms season  I would prefer the regular firearms season to start on: (choose only one),Given the following examples of antlerless allocations and antlerless firearms season lengths needed to maintain a stable deer population  I would prefer: (choose only one),Current methods to report deer harvests (e.g.  report card  Internet  toll-free phone number) are easy and convenient.,Deer harvest estimates based on field checked deer and hunter reporting rates are acceptable to me.,Deer harvest estimates based on a mail survey of hunters are acceptable to me.,All deer should be checked through mandatory check stations.,Report cards are the only method I can use to report my deer harvest.,Accurate reporting of each deer harvested is the hunter's ethical responsibility.,Have you heard about the detection of Chronic Wasting Disease (CWD) in Pennsylvania?,Based on what you know about CWD  how concerned are you about this disease? (choose only one),Because of CWD  I am concerned about eating venison.,Because of CWD  I am concerned about the health of wild deer.,Because of CWD  I am concerned about the future of deer hunting.,If CWD was detected in the area I hunt most often  I would hunt in a different area.,If CWD was detected in the area I hunt most often  my interest in deer hunting would decrease.,Reducing the deer population can help control spread of CWD.,The Game Commission should eliminate antler point restrictions in CWD areas.,The Game Commission should continue to prohibit deer feeding in CWD areas.,The Game Commission should continue to prohibit use of natural deer urine-based lures in CWD areas.,To reduce risk of spreading CWD  the Game Commission should prohibit use of natural deer urine-based lures statewide.,To reduce risk of spreading CWD  the Game Commission should prohibit transport of high-risk parts from all states.,In CWD areas  the Game Commission should continue to use additional antlerless permits to reduce deer populations.,I support use of sharpshooters to control CWD  if hunters are given additional hunting opportunities prior to sharpshooting.,My interest in deer hunting would be reduced if: (choose only one),Deer populations should be managed for healthy and sustainable forest habitat.,Deer populations should be managed for healthy and sustainable deer populations.,Deer populations should be managed for safe and acceptable levels of deer-human conflicts.,Crossbows should remain legal statewide for archery deer hunting.,Keeping deer in balance with natural food supplies is necessary.,There are not enough deer unless some are starving to death each year.,Predators are causing deer populations to decline.,Bear populations should be reduced to increase deer populations.,Coyote populations should be reduced to increase deer populations.,If needed to improve deer population health  I would accept lower deer populations and seeing fewer deer when hunting.,If needed to improve habitat conditions  I would accept lower deer populations and seeing fewer deer when hunting.,If needed to reduce deer-human conflicts  I would accept lower deer populations and seeing fewer deer when hunting.,The Game Commission should prohibit deer feeding statewide.,Hunters should be allowed to purchase a 2nd buck tag that could be used in any hunting season.,Hunters should be allowed to purchase a 2nd buck tag  but could only use it during the regular firearms season.,If available  I would purchase a 2nd buck tag.,If a limited number of 2nd buck tags were available via a lottery  I would pay to apply for the chance.,Archery bear season should occur during the second-to-last week of the fall deer archery season.,Archery bear season should occur during the last week of the fall deer archery season.,Archery seasons and regulations,October muzzleloader season and regulations,Regular firearms season and regulations,Late-season flintlock season and regulations,Antler restrictions,Research and science of deer management,Chronic Wasting Disease response and regulations,Overall deer management program,At what age did you begin deer hunting?,What is the highest level of education you have completed? (choose only one),The area surrounding your current home is: (choose only one),When you began hunting  the area surrounding your home would have been best described as: (choose only one),Who was the primary person that helped you get started hunting? (choose only one),How would you describe your current health status? (choose only one),Base Hunting License,Resident Archery,Resident Muzzleloader,Non-resident Archery,Non-resident Muzzleloader,No. Antls Licenses - Resident,No. Antls Licenses - Resident Landowner,No. Antls Licenses for Special Regulations - Resident,No. Antls Licenses - Resident Military,No. Antls Licenses - Resident Disabled Vet,Priv 605,Priv 606,No. Antls Licenses - Non-resident,No. Antls Licenses - Non-resident Landowner,No. DMAP Permits - Resident,No. DMAP Permits - Non-resident,No. DMAP Permit - Resident,No. DMAP Permit - Non-resident
Yes,5,5,Yes,No,,,0,0,Publicly owned land (ex. Government-owned lands like State Game Lands and State Forests).,No,0,No,,No,No,Strongly Agree,Strongly Disagree,I am more interested now than 5 years ago.,Number of antlered deer seen or harvested,No,,,,,,,,,,,,,,,,,,Yes,Yes,2C,No,0,Decreasing,Too low,Be eliminated,10,Publicly owned land (ex. Government-owned lands like State Game Lands and State Forests),Too low for me to be satisfied,Too low for me to be satisfied,0,0,0,Monday,,,Thursday,Friday,Saturday,Monday,,,,,Saturday,Strongly Disagree,Very Dissatisfied,No,No,No,No,Yes,Yes,2,5-day antlered followed by a 7-day antlered and antlerless concurrent,The Monday after Thanksgiving,The same antlerless licenses and a 12-day concurrent antlered and antlerless season.,Disagree,Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,No,Very Concerned,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Any deer in the area I hunt had CWD.,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Dissatisfied,Satisfied,Satisfied,Very Satisfied,Very Dissatisfied,Neither Satisfied nor Dissatisfied,Dissatisfied,Very Dissatisfied,12,High school or less,Rural town/village,County/rural,Relative,Excellent (no health problems or injuries),Resident Junior,,,,,,,,,,,,,,,,,
Yes,39,5,Yes,No,,,0,0,Privately owned land (ex. Owned by private citizens and companies).,No,1,No,None,No,No,Agree,Disagree,I am less interested now than 5 years ago.,Number of antlered deer seen or harvested,Yes,2C,11-15 days,No,No,0,Decreasing,Too low,Privately owned land (ex. Owned by private citizens and companies).,Too low for me to be satisfied.,Too low for me to be satisfied.,I only used a crossbow.,No,Yes,No,No,Yes,8,Yes,Yes,2C,No,0,Decreasing,Too low,Decrease,10,Privately owned land (ex. Owned by private citizens and companies),Too low for me to be satisfied,Too low for me to be satisfied,0,10,0,Monday,,,,Friday,Saturday,,,,,Friday,Saturday,Strongly Agree,Dissatisfied,No,No,No,No,Yes,Yes,8,5-day antlered followed by a 7-day antlered and antlerless concurrent,The Monday after Thanksgiving,The same antlerless licenses and a 12-day concurrent antlered and antlerless season.,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Yes,Very Concerned,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,CWD will not reduce my interest in deer hunting.,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Dissatisfied,12,Some college/vocational training,Rural town/village,Rural town/village,Parent or Grandparent,Excellent (no health problems or injuries),Resident Adult,Yes,Yes,,,1,,,,,,,,,,,,
Yes,20,5,Yes,No,,,1,0,Privately owned land (ex. Owned by private citizens and companies).,No,0,No,,Yes,No,Strongly Agree,Disagree,I am less interested now than 5 years ago.,,Yes,2C,6-10 days,Yes,No,0,Decreasing,About right,Privately owned land (ex. Owned by private citizens and companies).,Enough for me to be satisfied.,Too low for me to be satisfied.,I only used a crossbow.,No,No,Yes,Yes,Yes,1,Yes,Yes,2C,No,1,Decreasing,Too low,Decrease,8,Privately owned land (ex. Owned by private citizens and companies),Enough for me to be satisfied,Too low for me to be satisfied,0,0,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,,Thursday,Friday,Saturday,Agree,Satisfied,No,No,Yes,Yes,Yes,Yes,1,5-day antlered followed by a 7-day antlered and antlerless concurrent,The Monday after Thanksgiving,The same antlerless licenses and a 12-day concurrent antlered and antlerless season.,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,,,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,CWD will not reduce my interest in deer hunting.,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Satisfied,Neither Satisfied nor Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,8,Some college/vocational training,Country/rural,County/rural,No one,Fair (some health problems or injuries that affect my daily life and mobility),Resident Adult,Yes,,,,1,,,,,,,,,,,,
Yes,59,5,Yes,No,,,0,0,Publicly owned land (ex. Government-owned lands like State Game Lands and State Forests).,No,0,No,,No,No,Disagree,Agree,My interest has not changed in the last 5 years.,,No,,,,,,,,,,,,,,,,,,Yes,Yes,2C,No,1,Staying the same,Too low,Increase,1,Publicly owned land (ex. Government-owned lands like State Game Lands and State Forests),Too low for me to be satisfied,Too low for me to be satisfied,0,0,0,Monday,Tuesday,,,Friday,Saturday,Monday,,,,,Saturday,Neither Agree nor Disagree,Dissatisfied,No,No,No,No,No,Yes,25,5-day antlered followed by a 7-day antlered and antlerless concurrent,The Monday after Thanksgiving,15 percent more antlerless licenses and a 5-day antlered only followed by a 7-day concurrent antlerless and antlered season.,Strongly Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Yes,Very Concerned,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,25 out of 100 deer in the area I hunt had CWD.,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neither Satisfied nor Dissatisfied,16,High school or less,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),Resident Senior,,,,,1,,,,,,,,,,,,
Yes,58,5,Yes,No,,,0,0,Both privately and publicly owned land.,No,0,No,,No,No,,Strongly Agree,My interest has not changed in the last 5 years.,,Yes,2C,More than 15 days,No,No,0,Staying the same,About right,Privately owned land (ex. Owned by private citizens and companies).,More than enough for me to be satisfied.,Enough for me to be satisfied.,I only used a crossbow.,No,No,No,No,Yes,25,Yes,Yes,2C,No,0,Staying the same,About right,Stay the same,0,Both privately and publicly owned land,Enough for me to be satisfied,Enough for me to be satisfied,0,10,0,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Monday,,Wednesday,Thursday,Friday,,Strongly Agree,Satisfied,No,No,No,No,Yes,No,25,5-day antlered followed by a 7-day antlered and antlerless concurrent,The Monday after Thanksgiving,15 percent more antlerless licenses and a 5-day antlered only followed by a 7-day concurrent antlerless and antlered season.,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,,,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,CWD will not reduce my interest in deer hunting.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Very Satisfied,Neither Satisfied nor Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Neither Satisfied nor Dissatisfied,Satisfied,12,College graduate,Rural town/village,County/rural,Relative,Good (minor health problems or injuries),Resident Senior,,,,,2,,,,,,,,,,,,
Yes,7,5,Yes,No,,,0,0,Privately owned land (ex. Owned by private citizens and companies).,No,2,No,,No,No,Neither Agree nor Disagree,Agree,My interest has not changed in the last 5 years.,,No,,,,,,,,,,,,,,,,,,Yes,Yes,2C,No,0,Decreasing,Too low,Decrease,30,Privately owned land (ex. Owned by private citizens and companies),Too low for me to be satisfied,Too low for me to be satisfied,0,0,0,Monday,,,Thursday,Friday,Saturday,,Tuesday,,Thursday,,Saturday,Strongly Agree,Dissatisfied,No,Yes,No,No,No,Yes,1,5-day antlered followed by a 7-day antlered and antlerless concurrent,The Monday after Thanksgiving,The same antlerless licenses and a 12-day concurrent antlered and antlerless season.,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Yes,Very Concerned,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Any deer in the area I hunt had CWD.,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Dissatisfied,Satisfied,Dissatisfied,10,Some college/vocational training,Country/rural,County/rural,Parent or Grandparent,Excellent (no health problems or injuries),Resident Adult,,,,,1,,,,,,,,,,,,
Yes,45,5,Yes,No,,,1,0,Publicly owned land (ex. Government-owned lands like State Game Lands and State Forests).,No,1,No,,No,No,Neither Agree nor Disagree,Disagree,My interest has not changed in the last 5 years.,,Yes,2C,6-10 days,Yes,No,0,Staying the same,About right,Publicly owned land (ex. Government-owned lands like State Game Lands and State Forests).,Enough for me to be satisfied.,Enough for me to be satisfied.,I only used a crossbow.,No,Yes,No,No,Yes,8,Yes,Yes,2C,No,0,Staying the same,About right,Stay the same,6,Publicly owned land (ex. Government-owned lands like State Game Lands and State Forests),Too low for me to be satisfied,Enough for me to be satisfied,0,0,0,Monday,Tuesday,,,Friday,Saturday,Monday,,,,Friday,Saturday,Neither Agree nor Disagree,Dissatisfied,No,Yes,No,No,No,Yes,8,12-day antlered and antlerless concurrent,The Saturday after Thanksgiving,The same antlerless licenses and a 12-day concurrent antlered and antlerless season.,Agree,Agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Yes,Not Concerned,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,CWD will not reduce my interest in deer hunting.,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Satisfied,Neither Satisfied nor Dissatisfied,Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,12,College graduate,Country/rural,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),Resident Adult,Yes,,,,1,,,,,,,,,,,,
Yes,20,5,Yes,No,,,0,0,Privately owned land (ex. Owned by private citizens and companies).,No,0,No,N/A,No,No,Disagree,Agree,I am less interested now than 5 years ago.,Personal health,No,,,,,,,,,,,,,,,,,,No,Yes,2C,No,0,Increasing,Too high,Increase,0,Privately owned land (ex. Owned by private citizens and companies),Too low for me to be satisfied,More than enough for me to be satisfied,0,0,0,,Tuesday,Wednesday,,,,,,,,,,Agree,Neither Satisfied nor Dissatisfied,No,No,Yes,No,No,Yes,0,12-day antlered and antlerless concurrent,The Saturday after Thanksgiving,40 percent more antlerless licenses and a 12-day antlered season followed by a separate 3-day antlerless season.,Agree,Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Yes,Not Concerned,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,10 out of 100 deer in the area I hunt had CWD.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Satisfied,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,Satisfied,Neither Satisfied nor Dissatisfied,Neither Satisfied nor Dissatisfied,12,College graduate,Country/rural,Suburban,Parent or Grandparent,Fair (some health problems or injuries that affect my daily life and mobility),Resident Adult,Yes,,,,1,,,,,,,,,,,,
Yes,7,5,Yes,No,,,0,0,Privately owned land (ex. Owned by private citizens and companies).,No,1,No,n/a,No,No,Neither Agree nor Disagree,Agree,I am more interested now than 5 years ago.,Place to hunt,No,,,,,,,,,,,,,,,,,,Yes,Yes,2C,No,2,Decreasing,Too low,Decrease,7,Privately owned land (ex. Owned by private citizens and companies),Too low for me to be satisfied,Too low for me to be satisfied,10,10,0,Monday,Tuesday,Wednesday,Thursday,,,Monday,,,Thursday,Friday,Saturday,Disagree,Dissatisfied,No,Yes,Yes,Yes,No,Yes,12,12-day antlered and antlerless concurrent,The Saturday after Thanksgiving,40 percent more antlerless licenses and a 12-day antlered season followed by a separate 3-day antlerless season.,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Yes,Very Concerned,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,10 out of 100 deer in the area I hunt had CWD.,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,38,College graduate,Country/rural,County/rural,Relative,Excellent (no health problems or injuries),Resident Adult,,Yes,,,2,,,,,,,,,,,,
Yes,48,5,Yes,Yes,No,I took it to a processor.,1,2,Both privately and publicly owned land.,No,0,No,n/a,No,No,Strongly Disagree,Strongly Agree,My interest has not changed in the last 5 years.,,Yes,2C,6-10 days,Yes,Yes,1,Decreasing,Too low,Both privately and publicly owned land.,Too low for me to be satisfied.,Too low for me to be satisfied.,I only used a crossbow.,No,Yes,No,Yes,,15,Yes,Yes,2C,Yes,0,Decreasing,Too low,Decrease,1,Publicly owned land (ex. Government-owned lands like State Game Lands and State Forests),Too low for me to be satisfied,Too low for me to be satisfied,0,0,0,Monday,,,,,,,,,,,,Agree,Satisfied,No,Yes,No,Yes,No,No,15,5-day antlered followed by a 7-day antlered and antlerless concurrent,The Monday after Thanksgiving,The same antlerless licenses and a 12-day concurrent antlered and antlerless season.,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Yes,Somewhat Concerned,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,25 out of 100 deer in the area I hunt had CWD.,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Satisfied nor Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,12,Some college/vocational training,Suburban,Rural town/village,Parent or Grandparent,Good (minor health problems or injuries),Resident Adult,Yes,,,,1,,,,,,,,,,,,
