tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,budget,popularity,revenue
tt0004972,The Birth of a Nation,1915,195,"Drama,War",6.2,25189,100000,5.113205,11000000
tt0006333,"20,000 Leagues Under the Sea",1916,85,"Action,Adventure,Sci-Fi",6.1,1852,200000,0.917777,8000000
tt0012349,The Kid,1921,68,"Comedy,Drama,Family",8.3,127594,250000,8.168456,2500000
tt0015400,The Thief of Bagdad,1924,155,"Adventure,Family,Fantasy",7.7,6467,1135654,3.878515,1213880
tt0015648,Battleship Potemkin,1925,75,"Drama,History,Thriller",7.9,58781,0,12.912845,45100
tt0016104,The Merry Widow,1925,137,"Drama,Romance",7.3,2453,592,0.286719,1
tt0017423,Sparrows,1926,109,Drama,7.4,1394,463455,0.445526,966878
tt0018183,My Best Girl,1927,80,"Comedy,Romance",7.5,896,483103,0.205671,1027757
tt0018455,Sunrise,1927,94,"Drama,Romance",8.1,51560,0,4.249695,121
tt0018618,Across to Singapore,1928,85,"Crime,Drama,Romance",6.2,1157,290000,0.140491,596000
tt0019563,West of Zanzibar,1928,65,"Drama,Mystery",7.2,1831,259000,0.722511,921000
tt0021577,L'Age d'Or,1930,60,"Comedy,Drama",7.2,14203,0,2.76145,7940
tt0021814,Dracula,1931,75,"Drama,Fantasy,Horror",7.4,54284,355000,7.503126,1012189
tt0022879,A Farewell to Arms,1932,80,"Drama,Romance,War",6.4,6321,4,1.914697,25
tt0022958,Grand Hotel,1932,112,"Drama,Romance",7.3,19785,700000,11.118844,2594000
tt0023196,Mata Hari,1931,89,"Crime,Drama,Romance",6.6,3778,558000,1.41344,2227000
tt0023427,Scarface,1932,93,"Action,Crime,Drama",7.7,28659,0,4.854436,600000
tt0024166,I'm No Angel,1933,87,"Comedy,Music,Romance",6.9,3667,225000,1.533379,2850000
tt0024481,Queen Christina,1933,99,"Biography,Drama,Romance",7.5,8117,1114000,2.886254,2610000
tt0027125,Top Hat,1935,101,"Comedy,Musical,Romance",7.7,19646,609000,7.122093,3202000
tt0027438,The Charge of the Light Brigade,1936,115,"Action,Adventure,Romance",7,5162,1200000,5.39865,2736000
tt0027690,The Gorgeous Hussy,1936,103,"Drama,History",5.6,1268,1119000,0.948775,2019000
tt0027977,Modern Times,1936,87,"Comedy,Drama,Romance",8.5,244643,1,8.159556,8500000
tt0028333,Swing Time,1936,103,"Comedy,Musical,Romance",7.5,13983,886000,6.507597,2600000
tt0029852,Alexander's Ragtime Band,1938,106,"Drama,Music,Musical",6.9,2177,2000000,0.632261,4000000
tt0031679,Mr. Smith Goes to Washington,1939,129,"Comedy,Drama",8.1,116500,1500000,8.168694,9600000
tt0031725,Ninotchka,1939,110,"Comedy,Romance",7.8,21557,1365000,5.120036,2279000
tt0031971,Stagecoach,1939,96,"Adventure,Drama,Western",7.8,50313,531374,7.970462,1103757
tt0032143,The Women,1939,133,"Comedy,Drama",7.7,14167,1688000,5.076649,2270000
tt0032553,The Great Dictator,1940,125,"Comedy,Drama,War",8.4,225742,2000000,9.241748,11000000
tt0032976,Rebecca,1940,130,"Drama,Film-Noir,Mystery",8.1,138762,1288000,8.590813,6000000
tt0034583,Casablanca,1942,102,"Drama,Romance,War",8.5,575424,878000,13.916101,10462500
tt0034587,Cat People,1942,73,"Fantasy,Horror,Thriller",7.2,23888,134000,5.110716,4000000
tt0034746,For Me and My Gal,1942,104,"Musical,Romance,War",7,3652,802000,6.165341,4371000
tt0035703,Cabin in the Sky,1943,98,"Comedy,Drama,Fantasy",7.1,3133,662141,1.233446,1606624
tt0035884,Five Graves to Cairo,1943,96,"Thriller,War",7.3,6257,855000,1.121417,1200000
tt0035959,A Guy Named Joe,1943,120,"Drama,Fantasy,Romance",6.9,2673,2627000,0.662665,5363000
tt0036872,Going My Way,1944,126,"Comedy,Drama,Music",7,12376,0,5.682778,16300000
tt0037536,The Bells of St. Mary's,1945,126,Drama,7.2,8593,0,2.614074,21300000
tt0037884,The Lost Weekend,1945,101,"Drama,Film-Noir",7.9,37968,1250000,8.731331,11000000
tt0038057,Scarlet Street,1945,102,"Crime,Drama,Film-Noir",7.8,17505,1202007,6.360746,2948386
tt0038213,The Valley of Decision,1945,119,Drama,7.3,2141,2160000,0.230534,9132000
tt0039416,Gentleman's Agreement,1947,118,"Drama,Romance",7.2,16874,2000000,6.857318,7800000
tt0039739,Quai des Orfèvres,1947,106,"Crime,Drama",7.7,6061,0,4.72304,152961
tt0040064,3 Godfathers,1948,106,"Drama,Western",7.1,9835,1243000,3.803268,2841000
tt0040175,Blood on the Moon,1948,88,"Romance,Western",6.9,3019,0,1.033927,88
tt0040597,Miranda,1948,80,"Comedy,Fantasy,Romance",6.8,1055,784170,0.578456,834332
tt0040724,Red River,1948,133,"Drama,Western",7.8,32032,3000000,6.09018,9012000
tt0040746,Rope,1948,80,"Crime,Drama,Mystery",7.9,145831,1500000,7.248676,2200000
tt0040897,The Treasure of the Sierra Madre,1948,126,"Adventure,Drama,Western",8.2,126037,3800000,8.070589,4307000
tt0041959,The Third Man,1949,104,"Film-Noir,Mystery,Thriller",8.1,173207,0,8.513889,596349
tt0041996,Twelve O'Clock High,1949,132,"Drama,War",7.7,15054,0,2.870026,3225000
tt0042192,All About Eve,1950,138,Drama,8.2,132358,1400000,12.06308,63463
tt0043014,Sunset Blvd.,1950,110,"Drama,Film-Noir",8.4,223827,1752000,11.709777,5000000
tt0043265,The African Queen,1951,105,"Adventure,Drama,Romance",7.7,80072,1300000,6.636872,10750000
tt0043338,Ace in the Hole,1951,111,"Drama,Film-Noir",8.1,36795,1821052,11.046411,1300000
tt0043949,Quo Vadis,1951,171,"Biography,Drama,Romance",7.1,15511,8250000,11.840985,30000000
tt0044030,Show Boat,1951,108,"Drama,Family,Musical",6.9,5117,2300000,2.01799,11000000
tt0044741,Ikiru,1952,143,Drama,8.3,79706,0,7.843562,55240
tt0045546,"The Beast from 20,000 Fathoms",1953,80,"Horror,Sci-Fi",6.6,8183,210000,3.424057,5000000
tt0045888,House of Wax,1953,88,Horror,7,18848,658000,9.072006,23800000
tt0046126,Niagara,1953,92,"Film-Noir,Thriller",7,18359,1250000,14.605464,8500000
tt0046183,Peter Pan,1953,77,"Adventure,Animation,Family",7.3,143016,4000000,16.861533,87404651
tt0046247,The Robe,1953,135,"Drama,History,Romance",6.7,10766,4100000,3.826281,36000000
tt0046435,Titanic,1953,98,"Drama,History,Romance",7,7235,1805000,12.90707,4905000
tt0046816,The Caine Mutiny,1954,124,"Drama,War",7.7,28298,2000000,8.999948,21750000
tt0046876,Creature from the Black Lagoon,1954,79,"Horror,Sci-Fi",6.9,31641,0,7.390658,1300000
tt0047296,On the Waterfront,1954,108,"Crime,Drama,Thriller",8.1,156552,910000,18.211093,9600000
tt0047396,Rear Window,1954,112,"Mystery,Thriller",8.5,495187,1000000,17.911314,36764313
tt0047400,Red Garters,1954,91,"Action,Music,Romance",5.9,424,0,0.182717,1300000
tt0047494,The Silver Chalice,1954,142,"Drama,Romance",4.6,1700,4500000,0.313032,3200000
tt0047849,Bad Day at Black Rock,1955,81,"Crime,Drama,Mystery",7.7,22705,1271000,7.441117,3788000
tt0048021,Rififi,1955,118,"Crime,Drama,Thriller",8.1,35164,0,4.071187,460226
tt0048028,East of Eden,1955,118,Drama,7.8,46378,1,6.42883,5
tt0048280,Lady and the Tramp,1955,76,"Adventure,Animation,Comedy",7.3,138793,0,12.994387,93600000
tt0048473,Pather Panchali,1955,125,Drama,8.3,34013,0,3.900709,536364
tt0048728,To Catch a Thief,1955,106,"Mystery,Romance,Thriller",7.4,74868,2500000,5.490505,8750000
tt0048750,The Trouble with Harry,1955,99,"Comedy,Mystery",7,39293,1200000,6.486117,7000000
tt0049452,Love Me Tender,1956,89,"Drama,Musical,Romance",6.2,4350,1000000,1.157582,9000000
tt0049513,Moby Dick,1956,116,"Adventure,Drama",7.3,20527,4500000,4.31583,10400000
tt0049833,The Ten Commandments,1956,220,"Adventure,Drama,Family",7.9,72128,13000000,11.14704,122700000
tt0049875,Trapeze,1956,105,"Drama,Romance",6.8,4876,4000000,1.801071,14400000
tt0050212,The Bridge on the River Kwai,1957,161,"Adventure,Drama,War",8.2,222735,3000000,8.851646,27200000
tt0050468,Gunfight at the O.K. Corral,1957,122,"Biography,Drama,Western",7.2,16226,0,10.460298,11750000
tt0050629,Legend of the Lost,1957,109,"Adventure,Drama",6.1,3422,1750000,4.250819,2200000
tt0051378,Elevator to the Gallows,1958,91,"Crime,Drama,Thriller",7.9,26511,0,5.184701,263404
tt0051622,The Fly,1958,94,"Drama,Horror,Sci-Fi",7.1,24022,700000,8.407369,3000000
tt0051885,Macabre,1958,72,"Crime,Drama,Horror",5.7,1323,90000,0.837849,5000000
tt0052618,Ben-Hur,1959,212,"Adventure,Drama",8.1,241602,15000000,14.319743,146900000
tt0053125,North by Northwest,1959,136,"Action,Adventure,Mystery",8.3,330714,4000000,12.410427,13275000
tt0053143,Operation Petticoat,1959,124,"Comedy,Romance,War",7.2,14821,0,3.918878,6800000
tt0053221,Rio Bravo,1959,141,Western,8,63872,0,10.847383,5800000
tt0053291,Some Like It Hot,1959,121,"Comedy,Music,Romance",8.2,269795,2883848,11.845107,25000000
tt0053580,The Alamo,1960,162,"Adventure,Drama,History",6.8,16416,12000000,4.73816,7900000
tt0053716,Cinderfella,1960,91,"Comedy,Family,Fantasy",5.9,3589,3000000,2.395067,7100000
tt0053779,La Dolce Vita,1960,174,"Comedy,Drama",8,74498,0,11.063822,19516000
tt0053793,Elmer Gantry,1960,146,Drama,7.7,11988,3000000,6.409512,10400000
tt0053877,The Grass Is Greener,1960,104,"Comedy,Drama,Romance",6.5,5396,0,4.074783,6000000
tt0054047,The Magnificent Seven,1960,128,"Action,Adventure,Western",7.7,96740,2000000,10.650752,4905000
tt0054198,Never on Sunday,1960,91,"Comedy,Drama,Romance",7.3,5867,151000,1.879162,8000000
tt0054331,Spartacus,1960,197,"Adventure,Biography,Drama",7.9,136691,12000000,11.110376,60000000
tt0054953,The Guns of Navarone,1961,158,"Action,Adventure,Drama",7.5,52434,6000000,8.522673,28900000
tt0054997,The Hustler,1961,134,"Drama,Sport",8,83330,2000000,9.333533,7600000
tt0055184,The Misfits,1961,125,"Drama,Romance,Western",7.2,21484,4000000,5.317544,8200000
tt0055256,"One, Two, Three",1961,104,Comedy,7.9,21708,3000000,3.044499,4000000
tt0055798,Birdman of Alcatraz,1962,147,"Biography,Crime,Drama",7.8,18137,2650000,4.471515,3100000
tt0056193,Lolita,1962,153,"Crime,Drama,Romance",7.5,103401,2000000,9.551293,9250000
tt0056197,The Longest Day,1962,178,"Action,Drama,History",7.7,56771,10000000,10.770928,50100000
tt0056368,The Premature Burial,1962,81,"Drama,Horror,Mystery",6.5,4346,0,9.555852,1250000
tt0056592,To Kill a Mockingbird,1962,129,"Crime,Drama",8.3,318667,2000000,14.284787,13129846
tt0056800,55 Days at Peking,1963,154,"Action,Adventure,Drama",6.7,6869,17000000,2.972529,10000000
tt0056869,The Birds,1963,119,"Drama,Horror,Mystery",7.6,192348,2500000,11.591462,11403529
tt0056937,Cleopatra,1963,192,"Biography,Drama,History",7,34486,31115000,8.591238,71000000
tt0057413,The Pink Panther,1963,115,"Comedy,Crime,Romance",7,53395,0,7.851263,10878107
tt0057590,Tom Jones,1963,129,"Adventure,Comedy,History",6.4,13366,1000000,3.315827,37600000
tt0057869,Band of Outsiders,1964,95,"Comedy,Crime,Drama",7.6,25714,120000,5.648187,182857
tt0058085,The Fall of the Roman Empire,1964,188,"Drama,History,War",6.7,9464,19000000,2.824367,4750000
tt0058331,Mary Poppins,1964,139,"Comedy,Family,Fantasy",7.8,175914,6000000,15.11549,102272727
tt0058385,My Fair Lady,1964,170,"Drama,Family,Musical",7.8,97043,17000000,12.494394,72070731
tt0058586,A Shot in the Dark,1964,102,"Comedy,Mystery",7.4,28939,0,6.872888,12368234
tt0058946,The Battle of Algiers,1966,121,"Drama,War",8.1,61353,800000,11.322173,921548
tt0059127,Dracula: Prince of Darkness,1966,90,Horror,6.7,10217,280379,8.913793,364937
tt0059243,The Great Race,1965,160,"Action,Adventure,Comedy",7.2,18435,12000000,4.473327,25333333
