,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
26498,0.8,1959,0.754,"['Frank Sinatra', 'Keely Smith']",0.6559999999999999,145133,0.327,0,3tehbInETB1XtlqVcNMQC9,0.0,8,0.349,-9.45,1,How Are Ya' Fixed For Love? - Remastered 1998,29,1959,0.0379,64.961
158101,0.7190000000000001,1957,0.765,['Peggy Lee'],0.644,142240,0.539,0,1ycS6kd01vIIDzFan03xj5,0.0,7,0.0895,-6.881,0,It's All Right With Me,11,1957,0.0652,138.07
77096,0.518,1941,0.0467,['Rocco DeLuca'],0.616,343013,0.586,0,25JyVSQkNN0R3P8xoSdbtH,0.0275,5,0.0948,-6.232,0,Lady Sings the Blues,3,1941,0.0332,127.195
111366,0.521,1952,0.958,"['Wolfgang Amadeus Mozart', 'Chor der Wiener Staatsoper/Wiener Philharmoniker/Herbert von Karajan', 'Herbert von Karajan', 'Wiener Philharmoniker']",0.292,67000,0.153,0,1dU5CphgOY6rtBc5deyRcK,0.0118,7,0.195,-19.542,1,"Le Nozze di Figaro, '(The) Marriage of Figaro', Act III: Ricevete, o padroncina (Coro)",0,1952,0.0452,70.745
159478,0.597,1964,0.6659999999999999,['Jay & The Americans'],0.597,189733,0.318,0,2H3RYr8qMDAPACiHMRS4mH,0.00113,2,0.18,-12.706,1,Crying,11,1964,0.0341,100.352
85228,0.7959999999999999,1984,0.000252,['Sad Lovers & Giants'],0.283,222493,0.579,0,25CMLaHAoc4mEfMwCNYhma,0.831,0,0.0981,-12.259,1,50:50,40,1984-01-01,0.0382,172.766
67627,0.727,1982,0.154,['Squeeze'],0.594,372493,0.465,0,3BSI0xioPoFjyyLHezSsbf,0.0,6,0.0797,-12.130999999999998,0,Black Coffee In Bed,32,1982-01-01,0.0324,108.55
32837,0.6659999999999999,1991,0.0187,['Stevie B'],0.6990000000000001,246933,0.6609999999999999,0,40bUx81llF44hfd73XuXe8,0.000576,7,0.19,-14.05,1,Dreamin' of Love,44,1991-01-01,0.0623,119.997
119254,0.509,1992,0.987,"['Cecil Lytle', 'Kevin Flournoy']",0.643,290200,0.0686,0,4k3g1WKbu1GlKR0wRzqZ6H,0.863,3,0.108,-24.478,1,All that meat and no potatoes,35,1992-01-01,0.0479,62.989
143703,0.154,1958,0.794,['Frank Sinatra'],0.255,1022613,0.136,0,5lE6QzHscdcCovo0DphxPH,6.64e-06,0,0.138,-18.242,0,"Angel Eyes - Mono/Alternate Session Takes/May 5, 1958",10,1958-01-01,0.0354,96.923
119221,0.195,1991,0.907,['Mohammadreza Shajarian'],0.24,200829,0.0158,0,50Kjh1CIx6RCrv1dNfMyUB,0.000166,11,0.1669999999999999,-25.198,0,Deylaman,30,1991-06-13,0.0462,83.324
