,color,fabric type,pants,skirt,dress,top,gender,accessories ,shoe type,album,glitter
,black,lace,no,no,yes,no,girl,headband,sneakers,reputation,no
,pink/white,leather/cotton,yes,no,no,yes,girl,x,boots,1989,yes
,white/gold,sequins ,no,yes,no,yes,girl,cowgirl hat,boots,fearless,yes
,pink/green,silk,no,no,yes,no,girl,headband,sneakers,folklore,no
,pink/blue/black,denim/lace/cotton,yes,no,no,yes,girl,headband,boots,lover,no
,black/silver,voile,no,yes,no,yes,girl,x,boots,reputation,yes
,black/silver,sequins ,no,no,yes,no,girl,x,boots,reputation,yes
,pink/white,voile,no,no,yes,no,girl,butterflies,boots,lover,no
,gold/white,sequins ,no,no,yes,no,girl,x,boots,fearless,yes
,pink/white,sequins,no,no,yes,yes,girl,heart glasses,boots,lover,yes
,pink,sequins,yes,no,no,yes,girl,heart glasses,boots,lover,yes
,yellow,cotton,no,yes,no,yes,girl,headband,sandals,fearless,no
,black/white/silver,leather/cotton,yes,no,no,yes,boy,x,sneakers,reputation,no
,black/white,leather/cotton,yes,no,no,yes,girl,x,boots,reputation,no
,black,sequins,no,no,yes,no,girl,x,boots,reputation,yes
,purple/white,voile,no,no,yes,no,girl,headband,boots,speak now,no
,multicolor,voile/embroidery ,no,no,yes,no,girl,x,boots,?,no
,gold,sequins,no,no,yes,no,girl,x,boots,fearless,yes
,black,sequins,no,yes,no,yes,girl,x,boots,midnights,yes
,res/black/white,sequins/cotton,yes,yes,no,yes,girl,hat,boots,red,yes
,pink/red,sequins/silk,no,no,yes,no,girl,x,flats,lover,yes
,blue/white/silver,sequins/silk/fur,no,no,yes,yes,girl,x,boots,midnights,no
,multicolor,sequins,no,no,yes,no,girl,x,sneakers,lover,yes
,pink,cotton,no,no,yes,no,girl,x,heels,lover,no
,black/silver,sequins,no,no,yes,yes,girl,x,boots,reputatoin,yes
,blue/red/white/brown,,yes,no,no,yes,girl,sunglasses/hat,sneakers,red,no
,purple,sequins/silk,no,no,yes,no,girl,x,sneakers,speak now,yes
,purple,silk,no,no,yes,no,girl,x,heels,speak now,no
,blue,sequins/silk,yes,no,no,yes,girl,x,sneakers,midnights,yes
,pink/white,seqiuns,no,no,yes,no,girl,cowgirl hat,sneakers,lover,yes
