,year,style,gender,main_singers,language,key,BPM,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,final_place,semi_place,semi_draw_position,final_draw_position,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,country,backing_dancers,backing_singers,backing_instruments,language_count
0,2022,1,1,1,52,8.0,100.0,70.0,76.0,45.0,5.0,0.0,52.0,5.0,0.0,12.0,1.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,1,5,0,0,1
1,2022,1,2,1,1,2.0,115.0,69.0,75.0,59.0,1.0,0.0,34.0,17.0,0.0,14.0,2.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,23,0,0,4,361
2,2022,2,1,1,55,1.0,93.0,56.0,68.0,50.0,9.0,0.0,31.0,3.0,14.0,7.0,3.0,14.0,93.0,35.0,21.0,10.0,22,0,0,0,1
3,2022,2,2,1,1,18.0,116.0,18.0,42.0,39.0,87.0,0.0,11.0,4.0,17.0,9.0,4.0,5.0,0.0,78.0,0.0,21.0,21,0,0,0,361
4,2022,1,2,1,7,6.0,120.0,61.0,68.0,60.0,0.0,0.0,5.0,3.0,0.0,17.0,5.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,20,0,0,4,5
5,2022,5,2,1,31,12.0,105.0,82.0,83.0,32.0,14.0,0.0,12.0,4.0,1.0,1.0,6.0,12.0,439.0,192.0,39.0,26.0,36,1,2,2,2
6,2022,4,2,1,1,12.0,80.0,84.0,52.0,72.0,3.0,2.0,24.0,3.0,0.0,16.0,7.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,40,0,0,5,361
7,2022,2,1,1,32,4.0,87.0,48.0,32.0,15.0,39.0,0.0,14.0,3.0,11.0,2.0,8.0,11.0,42.0,129.0,12.0,25.0,17,0,0,0,2
8,2022,5,2,1,19,1.0,142.0,88.0,70.0,96.0,41.0,0.0,32.0,14.0,7.0,8.0,9.0,19.0,239.0,14.0,35.0,4.0,16,0,0,5,3
9,2022,2,1,6,56,7.0,83.0,34.0,64.0,38.0,68.0,0.0,11.0,4.0,9.0,4.0,10.0,3.0,36.0,171.0,9.0,29.0,35,0,0,0,1
10,2022,2,1,1,57,18.0,84.0,59.0,53.0,51.0,12.0,0.0,14.0,6.0,0.0,11.0,11.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,34,3,0,0,1
11,2022,4,1,1,1,1.0,90.0,80.0,31.0,21.0,2.0,0.0,37.0,6.0,0.0,13.0,12.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,13,0,0,3,361
12,2022,3,1,1,1,13.0,150.0,91.0,57.0,69.0,0.0,0.0,53.0,4.0,0.0,15.0,13.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,32,0,0,0,361
13,2022,5,1,3,18,4.0,100.0,52.0,58.0,35.0,58.0,4.0,7.0,3.0,23.0,10.0,14.0,18.0,10.0,10.0,2.0,4.0,2,0,0,1,3
14,2022,2,1,1,1,18.0,150.0,37.0,48.0,20.0,12.0,0.0,13.0,7.0,8.0,3.0,15.0,17.0,57.0,158.0,9.0,26.0,11,0,0,0,361
15,2022,1,2,2,1,9.0,124.0,53.0,74.0,55.0,20.0,0.0,9.0,4.0,10.0,6.0,16.0,7.0,146.0,36.0,32.0,10.0,10,4,0,0,361
16,2022,2,1,1,1,1.0,170.0,64.0,56.0,53.0,11.0,0.0,45.0,6.0,20.0,5.0,17.0,8.0,21.0,40.0,4.0,10.0,31,0,0,0,361
17,2022,4,2,1,1,2.0,116.0,87.0,50.0,49.0,0.0,0.0,8.0,4.0,21.0,7.0,1.0,4.0,26.0,12.0,8.0,3.0,8,0,0,3,361
18,2022,1,2,1,1,15.0,120.0,82.0,70.0,45.0,1.0,0.0,13.0,6.0,0.0,13.0,2.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,7,4,0,0,361
19,2022,5,1,1,58,1.0,136.0,71.0,92.0,63.0,1.0,0.0,17.0,8.0,5.0,3.0,3.0,24.0,225.0,87.0,34.0,15.0,27,5,0,0,1
20,2022,2,2,1,1,5.0,79.0,30.0,34.0,30.0,19.0,0.0,14.0,6.0,16.0,10.0,4.0,15.0,3.0,103.0,1.0,19.0,6,1,0,0,361
21,2022,4,2,1,1,12.0,107.0,76.0,79.0,84.0,0.0,0.0,30.0,4.0,0.0,18.0,5.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,26,0,0,3,361
22,2022,1,1,1,1,3.0,98.0,71.0,56.0,38.0,4.0,0.0,9.0,3.0,0.0,16.0,6.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,4,4,0,0,361
23,2022,4,2,1,17,14.0,140.0,80.0,60.0,55.0,0.0,0.0,8.0,10.0,0.0,14.0,7.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,28,0,0,5,3
24,2022,2,2,1,1,7.0,128.0,43.0,36.0,38.0,66.0,0.0,14.0,4.0,15.0,2.0,8.0,21.0,2.0,123.0,1.0,23.0,43,0,0,0,361
25,2022,1,1,1,59,16.0,98.0,63.0,66.0,65.0,24.0,0.0,6.0,9.0,0.0,12.0,9.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,24,2,0,0,1
26,2022,1,1,1,1,14.0,122.0,60.0,68.0,56.0,0.0,0.0,34.0,3.0,0.0,15.0,10.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,3,4,0,0,361
27,2022,2,1,1,1,25.0,144.0,71.0,54.0,22.0,48.0,0.0,17.0,3.0,0.0,11.0,11.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,47,0,0,0,361
28,2022,1,2,1,1,7.0,123.0,78.0,52.0,55.0,19.0,0.0,10.0,4.0,13.0,5.0,12.0,25.0,98.0,43.0,19.0,8.0,5,0,0,0,361
29,2022,1,2,1,33,8.0,120.0,76.0,76.0,66.0,6.0,0.0,15.0,13.0,18.0,9.0,13.0,2.0,53.0,12.0,12.0,3.0,25,4,0,0,2
30,2022,2,2,1,1,13.0,140.0,67.0,51.0,33.0,56.0,0.0,12.0,4.0,12.0,6.0,14.0,23.0,105.0,46.0,22.0,9.0,30,4,0,0,361
31,2022,2,1,1,60,9.0,77.0,46.0,43.0,20.0,55.0,0.0,10.0,3.0,0.0,17.0,15.0,0.0,91.0364238410596,91.3543046357616,15.256038647342995,15.217391304347826,39,0,0,0,1
32,2022,1,2,1,1,17.0,144.0,53.0,63.0,28.0,24.0,0.0,13.0,5.0,19.0,8.0,16.0,16.0,5.0,59.0,2.0,13.0,9,4,0,0,361
33,2022,2,1,1,1,11.0,97.0,62.0,49.0,17.0,11.0,0.0,14.0,4.0,4.0,1.0,17.0,20.0,180.0,258.0,33.0,33.0,12,0,0,0,361
34,2022,3,1,1,1,5.0,126.0,79.0,59.0,52.0,15.0,0.0,21.0,11.0,22.0,4.0,18.0,1.0,5.0,33.0,1.0,11.0,42,0,0,2,361
35,2022,2,2,2,2,3.0,123.0,61.0,52.0,34.0,45.0,0.0,25.0,3.0,6.0,0.0,0.0,9.0,110.0,158.0,23.0,26.0,33,0,0,1,10
36,2022,1,1,1,15,25.0,105.0,81.0,73.0,59.0,13.0,0.0,9.0,6.0,3.0,0.0,0.0,10.0,228.0,231.0,38.0,34.0,14,5,0,0,4
37,2022,2,2,1,1,3.0,81.0,64.0,65.0,52.0,45.0,0.0,38.0,23.0,25.0,0.0,0.0,13.0,6.0,0.0,3.0,0.0,15,0,0,0,361
38,2022,1,2,1,1,23.0,80.0,83.0,47.0,33.0,18.0,0.0,10.0,5.0,2.0,0.0,0.0,22.0,183.0,283.0,34.0,35.0,18,0,0,2,361
