,artistName,segment
0,Stevie Wonder,Previously Active Listeners
1,Thomas Doherty,Previously Active Listeners
2,Sweet Cocoa,Previously Active Listeners
3,Taylor Powers,Previously Active Listeners
4,Phineas and the Ferbtones,Previously Active Listeners
5,Nick Jonas,Previously Active Listeners
6,Natalie Imbruglia,Previously Active Listeners
7,Ashton Irwin,Previously Active Listeners
8,Estelle,Previously Active Listeners
9,Justin Bieber,Light listeners
10,Tears For Fears,Previously Active Listeners
11,Most Wanted,Previously Active Listeners
12,Band of Horses,Moderate listeners
13,Jeremih,Previously Active Listeners
14,Marshmello,Previously Active Listeners
15,Bruno Major,Previously Active Listeners
16,James Blake,Previously Active Listeners
17,Waitress Original Broadway Cast Ensemble,Previously Active Listeners
18,Future,Light listeners
19,Steve Lacy,Light listeners
20,Lovejoy,Light listeners
21,John Lennon,Previously Active Listeners
22,Drake,Super Listeners
23,Neon Trees,Previously Active Listeners
24,Dominic Fike,Super Listeners
25,Owl City,Previously Active Listeners
26,Bruno Mars,Moderate listeners
27,Tory Lanez,Moderate listeners
28,WILLIS,Moderate listeners
29,Deftones,Moderate listeners
30,Kauai45,Previously Active Listeners
31,Sexyy Red,Light listeners
32,Daveed Diggs,Previously Active Listeners
33,Jonas Brothers,Previously Active Listeners
34,Lemon Demon,Previously Active Listeners
35,Kygo,Light listeners
36,Foo Fighters,Previously Active Listeners
37,alex neuhedel,Previously Active Listeners
38,Em Beihold,Light listeners
39,MKTO,Previously Active Listeners
40,Cast - Liv and Maddie,Previously Active Listeners
41,JAWNY,Previously Active Listeners
42,5 Seconds of Summer,Light listeners
43,DJ Davion,Previously Active Listeners
44,The Pogues,Previously Active Listeners
45,Jay Rock,Previously Active Listeners
46,China Anne McClain,Previously Active Listeners
47,Dua Lipa,Light listeners
48,New Boyz,Previously Active Listeners
49,ZieZie,Previously Active Listeners
50,Alice In Chains,Light listeners
51,Alice Merton,Previously Active Listeners
52,Young Thug,Light listeners
53,wave to earth,Super Listeners
54,The High Strung,Previously Active Listeners
55,Kaash Paige,Light listeners
56,DeJ Loaf,Previously Active Listeners
57,Travis Scott,Super Listeners
58,Gym Class Heroes,Previously Active Listeners
59,Pitbull,Previously Active Listeners
60,Keane,Previously Active Listeners
61,ZAYN,Light listeners
62,Charli XCX,Previously Active Listeners
63,Frank Ocean,Super Listeners
64,CHAD,Previously Active Listeners
65,A$AP Rocky,Moderate listeners
66,Cobra Starship,Previously Active Listeners
67,Jonas Blue,Previously Active Listeners
68,John Prine,Previously Active Listeners
69,Ashe,Super Listeners
70,Kehlani,Light listeners
71,Shakira,Previously Active Listeners
72,Stephen Sanchez,Light listeners
73,Ne-Yo,Previously Active Listeners
74,Lil Tecca,Light listeners
75,Twenty One Pilots,Previously Active Listeners
76,Selena Gomez,Light listeners
77,Dahi,Moderate listeners
78,Rex Orange County,Moderate listeners
79,Selena Gomez & The Scene,Previously Active Listeners
80,Yebba,Light listeners
81,Troye Sivan,Previously Active Listeners
82,Soulja Boy,Previously Active Listeners
83,The Verve,Previously Active Listeners
84,PRETTYMUCH,Light listeners
85,Akeem Jahat,Previously Active Listeners
86,J Balvin,Previously Active Listeners
87,Aurora Piano,Previously Active Listeners
88,Travie McCoy,Previously Active Listeners
89,Jennifer Warnes,Previously Active Listeners
90,Harry Styles,Super Listeners
91,Soundgarden,Light listeners
92,Noah Kahan,Previously Active Listeners
93,Carly Rae Jepsen,Previously Active Listeners
94,Social House,Previously Active Listeners
95,Khalid,Light listeners
96,Circuit Rider Music,Previously Active Listeners
97,Static & Ben El,Moderate listeners
98,Tazzy,Previously Active Listeners
99,girl in red,Previously Active Listeners
100,FINNEAS,Super Listeners
101,Black Eyed Peas,Light listeners
102,Orlando Tunes,Previously Active Listeners
103,Ocean Ocean,Previously Active Listeners
104,Baby Keem,Moderate listeners
105,Arctic Monkeys,Moderate listeners
106,d.ear,Previously Active Listeners
107,The Fieros,Previously Active Listeners
108,Don Toliver,Moderate listeners
109,Fugees,Previously Active Listeners
110,The Smiths,Moderate listeners
111,Tate McRae,Previously Active Listeners
112,Kayla Nicole,Previously Active Listeners
113,Billy Joel,Previously Active Listeners
114,Billie Eilish,Super Listeners
115,pearl,Previously Active Listeners
116,Cameron Boyce,Previously Active Listeners
117,Remi Wolf,Previously Active Listeners
