,artist,album_name,track,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Green Day,Nimrod (25th Anniversary Edition),Nice Guys Finish Last,2023-01-27,0.474,0.99,1,-3.96,0,0.0623,4.53E-05,0.00103,0.155,0.786,94.13,168533,4
1,Green Day,Nimrod (25th Anniversary Edition),Hitchin' a Ride,2023-01-27,0.41,0.912,11,-4.629,0,0.0985,0.00255,0.00667,0.168,0.656,164.305,171653,4
2,Green Day,Nimrod (25th Anniversary Edition),The Grouch,2023-01-27,0.386,0.995,9,-3.467,1,0.0745,0.00153,8.67E-05,0.153,0.622,170.026,131973,4
3,Green Day,Nimrod (25th Anniversary Edition),Redundant,2023-01-27,0.46,0.938,9,-3.732,1,0.0345,6.17E-06,0.00516,0.0858,0.884,116.107,197613,4
4,Green Day,Nimrod (25th Anniversary Edition),Scattered,2023-01-27,0.474,0.99,4,-3.99,1,0.0513,2.57E-05,0.00124,0.108,0.8,92.041,182040,4
5,Green Day,Nimrod (25th Anniversary Edition),All the Time,2023-01-27,0.515,0.97,2,-4.206,1,0.043,0.00042,3.72E-05,0.103,0.963,154.873,130347,4
6,Green Day,Nimrod (25th Anniversary Edition),Worry Rock,2023-01-27,0.342,0.975,4,-3.458,1,0.0635,0.000615,0,0.126,0.779,145.059,146787,4
7,Green Day,Nimrod (25th Anniversary Edition),Platypus (I Hate You),2023-01-27,0.211,0.976,9,-4.679,0,0.0902,7.57E-06,4.15E-06,0.0756,0.58,172.981,141693,4
8,Green Day,Nimrod (25th Anniversary Edition),Uptight,2023-01-27,0.479,0.976,6,-3.962,1,0.0772,0.00339,0.001,0.174,0.624,165.22,183920,4
9,Green Day,Nimrod (25th Anniversary Edition),Last Ride In,2023-01-27,0.38,0.538,4,-9.051,1,0.0305,0.0805,0.845,0.14,0.474,124.322,228080,4
10,Green Day,Nimrod (25th Anniversary Edition),Jinx,2023-01-27,0.442,0.959,0,-4.319,1,0.0422,2.06E-05,0.00325,0.243,0.931,95.996,132520,4
11,Green Day,Nimrod (25th Anniversary Edition),Haushinka,2023-01-27,0.436,0.99,2,-3.89,1,0.0604,4.63E-06,0.02,0.145,0.37,93.062,204987,4
12,Green Day,Nimrod (25th Anniversary Edition),Walking Alone,2023-01-27,0.544,0.877,0,-3.483,1,0.0318,0.000431,0.0118,0.298,0.882,113.093,165040,4
13,Green Day,Nimrod (25th Anniversary Edition),Reject,2023-01-27,0.172,0.984,11,-3.8,1,0.102,6.13E-06,0.000163,0.347,0.835,195.15,125667,4
14,Green Day,Nimrod (25th Anniversary Edition),Take Back,2023-01-27,0.285,0.993,9,-3.536,0,0.0836,4.05E-06,0.178,0.156,0.777,116.079,69227,4
15,Green Day,Nimrod (25th Anniversary Edition),King for a Day,2023-01-27,0.404,0.983,9,-3.763,1,0.0417,0.000552,1.17E-05,0.159,0.958,147.935,193160,4
16,Green Day,Nimrod (25th Anniversary Edition),Good Riddance (Time of Your Life),2023-01-27,0.339,0.435,7,-8.017,1,0.0318,0.29,0,0.0789,0.627,94.894,154680,4
17,Green Day,Nimrod (25th Anniversary Edition),Prosthetic Head,2023-01-27,0.387,0.897,4,-5.123,1,0.0381,0.000577,0.000107,0.0288,0.861,137.835,217596,4
18,Green Day,Nimrod (25th Anniversary Edition),Nice Guys Finish Last - Demo,2023-01-27,0.198,0.941,4,-6.29,1,0.0596,0.000561,0,0.215,0.77,176.955,173032,4
19,Green Day,Nimrod (25th Anniversary Edition),Place Inside My Head - Demo,2023-01-27,0.485,0.969,7,-5.702,1,0.0348,0.121,0.403,0.224,0.81,91.474,152642,4
20,Green Day,Nimrod (25th Anniversary Edition),The Grouch - Demo,2023-01-27,0.238,0.93,9,-7.599,1,0.0847,9.31E-06,1.34E-05,0.4,0.942,170.359,129105,4
21,Green Day,Nimrod (25th Anniversary Edition),Walking Alone - Demo,2023-01-27,0.657,0.762,7,-7.302,1,0.0347,0.00313,0.000109,0.128,0.915,119.475,153552,4
22,Green Day,Nimrod (25th Anniversary Edition),Jinx - Demo,2023-01-27,0.175,0.976,7,-5.623,1,0.101,8.08E-06,0.0502,0.154,0.737,195.571,111760,4
23,Green Day,Nimrod (25th Anniversary Edition),Alison - Demo,2023-01-27,0.674,0.145,4,-12.082,1,0.0435,0.75,0.000291,0.29,0.416,88.026,154427,4
24,Green Day,Nimrod (25th Anniversary Edition),Espionage - Demo,2023-01-27,0.148,0.899,4,-7.808,0,0.0379,9.36E-05,0.972,0.244,0.646,137.434,196209,4
25,Green Day,Nimrod (25th Anniversary Edition),You Irritate Me - Demo,2023-01-27,0.409,0.955,9,-6.137,1,0.0438,0.0156,1.62E-05,0.361,0.965,101.181,96638,4
26,Green Day,Nimrod (25th Anniversary Edition),Tre Polka - Demo,2023-01-27,0.67,0.541,0,-8.517,1,0.227,0.674,0.143,0.238,0.869,72.939,158465,4
27,Green Day,Nimrod (25th Anniversary Edition),When It’s Time - Demo,2023-01-27,0.492,0.425,6,-7.47,1,0.0268,0.251,2.04E-06,0.153,0.344,77.438,140751,4
28,Green Day,Nimrod (25th Anniversary Edition),Desensitized - Demo,2023-01-27,0.32,0.858,0,-7.036,1,0.111,0.00167,1.17E-05,0.0871,0.627,166.943,147049,4
29,Green Day,Nimrod (25th Anniversary Edition),Chain Saw - Demo,2023-01-27,0.54,0.963,4,-5.674,1,0.0301,0.00937,0.00281,0.299,0.975,99.432,93177,4
30,Green Day,Nimrod (25th Anniversary Edition),Reject - Demo,2023-01-27,0.375,0.902,11,-7.039,1,0.0498,0.000494,0,0.1,0.833,95.646,124042,4
31,Green Day,Nimrod (25th Anniversary Edition),Black Eyeliner - Demo,2023-01-27,0.462,0.475,9,-7.909,1,0.0305,0.745,1.11E-05,0.102,0.578,151.386,193996,5
32,Green Day,Nimrod (25th Anniversary Edition),"Going to Pasalacqua - Live at the Electric Factory, Philadelphia 11/14/97",2023-01-27,0.105,0.987,8,-3.457,1,0.0885,8.41E-05,0.00268,0.223,0.362,188.58,253052,4
33,Green Day,Nimrod (25th Anniversary Edition),"Welcome to Paradise - Live at the Electric Factory, Philadelphia 11/14/97",2023-01-27,0.317,0.99,3,-4.078,0,0.12,0.0003,0.0357,0.872,0.35,96.623,252062,4
34,Green Day,Nimrod (25th Anniversary Edition),"Geek Stink Breath - Live at the Electric Factory, Philadelphia 11/14/97",2023-01-27,0.213,0.997,11,-4.304,1,0.154,0.00134,0.000357,0.959,0.283,143.89,158562,4
35,Green Day,Nimrod (25th Anniversary Edition),"Nice Guys Finish Last - Live at the Electric Factory, Philadelphia 11/14/97",2023-01-27,0.363,0.99,4,-3.879,1,0.061,5.74E-05,0.00404,0.686,0.708,96.902,177430,4
