,year,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,qualified,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_total_points,backing_dancers,backing_singers,backing_instruments
0,2022,1,-,Albania,Ronela Hajati,Sekret,"Albanian,English",Pop,Female,1,F Minor,100,70,76,45,-6 dB,5,0,52,5,0,-,-,-,-,-,-,12,58,5,0,0
1,2022,2,-,Latvia,Citi Zeni,Eat Your Salad,English,Pop,Male,1,B Minor,115,69,75,59,-8 dB,1,0,34,17,0,-,-,-,-,-,-,14,55,0,0,4
2,2022,3,14,Lithuania,Monika Liu,Sentimentai,Lithuanian,Ballad,Female,1,C Major,93,56,68,50,-8 dB,9,0,31,3,1,93,35,21,10,14,128,7,159,0,0,0
3,2022,4,5,Switzerland,Marius Bear,Boys Do Cry,English,Ballad,Male,1,F Major,116,18,42,39,-11 dB,87,0,11,4,1,0,78,0,21,17,78,9,118,0,0,0
4,2022,5,-,Slovenia,LPS,Disko,Slovene,Pop,Male,1,E Minor,120,61,68,60,-6 dB,0,0,5,3,0,-,-,-,-,-,-,17,15,0,0,4
5,2022,6,12,Ukraine,Kalush Orchestra,Stefania,Ukrainian,Traditional,Male,1,D Major,105,82,83,32,-5 dB,14,0,12,4,1,439,192,39,26,1,631,1,337,1,2,2
6,2022,7,-,Bulgaria,Intelligent Music Project,Intention,English,Rock,Male,1,D Major,80,84,52,72,-8 dB,3,2,24,3,0,-,-,-,-,-,-,16,29,0,0,5
7,2022,8,11,Netherlands,S10,De diepte,Dutch,Ballad,Female,1,D Minor,87,48,32,15,-6 dB,39,0,14,3,1,42,129,12,25,11,171,2,221,0,0,0
8,2022,9,19,Moldova,Zdob si ZdubÂ andÂ Advahov Brothers,Trenuletul,"Romanian,English",Traditional,Male,1,C Major,142,88,70,96,-3 dB,41,0,32,14,1,239,14,35,4,7,253,8,154,0,0,5
9,2022,10,3,Portugal,Maro,"Saudade, saudade","English,Portuguese",Ballad,Female,6,Bb Minor,83,34,64,38,-11 dB,68,0,11,4,1,36,171,9,29,9,207,4,208,0,0,0
