Prime,LastDigit,FirstDigit
2,2,2
3,3,3
5,5,5
7,7,7
11,1,1
13,3,1
17,7,1
19,9,1
23,3,2
29,9,2
31,1,3
37,7,3
41,1,4
43,3,4
47,7,4
53,3,5
59,9,5
61,1,6
67,7,6
71,1,7
73,3,7
79,9,7
83,3,8
89,9,8
97,7,9
101,1,1
103,3,1
107,7,1
109,9,1
113,3,1
127,7,1
131,1,1
137,7,1
139,9,1
149,9,1
151,1,1
157,7,1
163,3,1
167,7,1
173,3,1
179,9,1
181,1,1
191,1,1
193,3,1
197,7,1
199,9,1
211,1,2
223,3,2
227,7,2
229,9,2
233,3,2
239,9,2
241,1,2
251,1,2
257,7,2
263,3,2
269,9,2
271,1,2
277,7,2
281,1,2
283,3,2
293,3,2
307,7,3
311,1,3
313,3,3
317,7,3
331,1,3
337,7,3
347,7,3
349,9,3
353,3,3
359,9,3
367,7,3
373,3,3
379,9,3
383,3,3
389,9,3
397,7,3
401,1,4
409,9,4
419,9,4
421,1,4
431,1,4
433,3,4
439,9,4
443,3,4
449,9,4
457,7,4
461,1,4
463,3,4
467,7,4
479,9,4
487,7,4
491,1,4
499,9,4
503,3,5
509,9,5
521,1,5
523,3,5
541,1,5
547,7,5
557,7,5
563,3,5
569,9,5
571,1,5
577,7,5
587,7,5
593,3,5
599,9,5
601,1,6
607,7,6
613,3,6
617,7,6
619,9,6
631,1,6
641,1,6
643,3,6
647,7,6
653,3,6
659,9,6
661,1,6
673,3,6
677,7,6
683,3,6
691,1,6
701,1,7
709,9,7
719,9,7
727,7,7
733,3,7
739,9,7
743,3,7
751,1,7
757,7,7
761,1,7
769,9,7
773,3,7
787,7,7
797,7,7
809,9,8
811,1,8
821,1,8
823,3,8
827,7,8
829,9,8
839,9,8
853,3,8
857,7,8
859,9,8
863,3,8
877,7,8
881,1,8
883,3,8
887,7,8
907,7,9
911,1,9
919,9,9
929,9,9
937,7,9
941,1,9
947,7,9
953,3,9
967,7,9
971,1,9
977,7,9
983,3,9
991,1,9
997,7,9
1009,9,1
1013,3,1
1019,9,1
1021,1,1
1031,1,1
1033,3,1
1039,9,1
1049,9,1
1051,1,1
1061,1,1
1063,3,1
1069,9,1
1087,7,1
