,id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
47749,54087742,(2020 VZ2),0.027832677,0.062235757,27296.13889,58577917.44,Earth,False,24.9,False
82703,3840727,(2019 FQ1),0.009650615,0.021579431,61723.96117,47223558.43,Earth,False,27.2,False
1078,2524196,524196 (2001 QP181),0.504144434,1.127301225,56467.92643,46083808.38,Earth,False,18.61,False
26968,3457386,(2009 HC),0.030517923,0.068240151,12900.13152,1958566.281,Earth,False,24.7,False
78159,3607741,(2012 QG8),0.40230458,0.899580388,12727.69734,66884391.22,Earth,False,19.1,False
52013,3802052,(2018 FM3),0.009650615,0.021579431,11397.66962,3373753.843,Earth,False,27.2,False
77976,54016747,(2020 HC6),0.022108281,0.049435619,21766.42875,1110510.811,Earth,False,25.4,False
55003,2455550,455550 (2004 JO2),0.947447113,2.118556149,41092.34376,33049240.01,Earth,False,17.24,False
19686,3766177,(2016 YF8),0.088014652,0.196806745,27671.02515,57897312.97,Earth,False,22.4,False
65381,3519453,(2010 JA),0.010581689,0.023661375,25816.48239,59858882.35,Earth,False,27.0,False
89276,3342321,(2006 SD6),0.237987955,0.532157245,68197.57901,54667002.94,Earth,False,20.24,False
52707,54136754,(2021 GQ7),0.028090209,0.062811618,55415.15215,63377320.22,Earth,False,24.88,False
45313,3283246,(2005 ML13),0.08366715,0.187085435,21774.48132,17394704.58,Earth,False,22.51,False
34194,2443972,443972 (2003 TN1),0.327005439,0.731206391,36103.37117,71498418.1,Earth,False,19.55,False
44247,3267405,(2005 CG41),0.048367649,0.108153351,58432.68662,61747045.71,Earth,False,23.7,False
41762,3883107,(2019 UM8),0.005553349,0.012417666,22420.20921,20115012.09,Earth,False,28.4,False
16969,54087441,(2020 VZ),0.04411182,0.098637028,40884.62324,51963743.54,Earth,False,23.9,False
64825,3694046,(2014 US33),0.025383703,0.056759685,44473.33683,15612233.44,Earth,False,25.1,False
15224,54193347,(2021 RA4),0.036354232,0.081290534,60146.79189,61506520.85,Earth,False,24.32,False
33556,2415949,415949 (2001 XY10),0.37201031,0.831840342,57485.71423,61948887.37,Earth,False,19.27,False
47975,3775253,(2017 MF),0.012721988,0.02844723,23288.94544,391525.5258,Earth,False,26.6,False
61079,54090621,(2020 WK1),0.008801465,0.019680675,22129.34866,13886290.76,Earth,False,27.4,False
25185,3774093,(2017 HV3),0.048367649,0.108153351,17504.6499,46237008.03,Earth,False,23.7,False
28774,3838844,(2019 DW),0.010581689,0.023661375,28625.92541,35497590.82,Earth,False,27.0,False
51853,3799746,(2018 DS1),0.027832677,0.062235757,58534.15145,6266160.503,Earth,False,24.9,False
23044,2527977,527977 (2008 EY68),0.092162655,0.206081961,69950.71997,23070262.11,Earth,False,22.3,False
30749,3517314,(2010 HF),0.015295194,0.034201093,19021.78582,901581.4831,Earth,False,26.2,False
37167,2099799,99799 (2002 LJ3),0.56306039,1.259041307,19484.11882,59264401.2,Earth,False,18.37,False
64904,3873311,(2019 SO10),0.139493823,0.311917671,22475.76573,56200921.8,Earth,False,21.4,False
75928,3986836,(2020 BX2),0.024241248,0.054205079,21648.30834,13136674.29,Earth,False,25.2,False
16122,3712468,(2015 DD198),0.160160338,0.358129403,58217.4693,46849687.0,Earth,False,21.1,False
72406,3838216,(2019 BJ5),0.63760979,1.425738833,46295.45699,62967855.82,Earth,False,18.1,False
89235,54254428,(2022 EX4),0.029144391,0.065168838,42879.56115,7713767.734,Earth,False,24.8,False
63133,3714001,(2015 FN35),0.048367649,0.108153351,36321.71804,72319518.39,Earth,False,23.7,False
63596,3555152,(2011 AX22),0.030517923,0.068240151,22312.36237,37032779.69,Earth,False,24.7,False
29687,3805266,(2018 HU),0.019255508,0.043056624,52986.30336,65979808.31,Earth,False,25.7,False
20195,3837784,(2019 AR8),0.021113245,0.04721065,48944.84369,57807035.95,Earth,False,25.5,False
83740,54123263,(2021 DS),0.041167546,0.092053431,22110.87182,11905004.58,Earth,False,24.05,False
23827,3842873,(2019 LW4),0.009216266,0.020608196,40208.7389,16503917.08,Earth,False,27.3,False
40883,3552524,(2010 WT),0.058150704,0.130028927,23468.79051,18680405.96,Earth,False,23.3,False
17626,3702310,(2014 XC8),0.014606796,0.03266179,46110.99442,49121897.52,Earth,False,26.3,False
59276,54192205,(2021 RV1),0.009006478,0.020139096,23557.02686,46989388.54,Earth,False,27.35,False
25427,3789972,(2017 WG28),0.066765941,0.149293183,32399.68714,55561216.93,Earth,False,23.0,False
36139,3745114,(2016 EM27),0.055533491,0.124176661,46648.2101,69039814.29,Earth,False,23.4,False
53970,3150768,(2003 EM1),0.033462237,0.074823838,34151.76147,31638316.97,Earth,False,24.5,False
71184,54049794,(2020 OY4),0.002262325,0.005058712,70278.65811,39214442.06,Earth,False,30.35,False
12720,54054666,(2020 SL5),0.060891262,0.136157002,78488.0288,37081381.5,Earth,False,23.2,False
64538,2408751,408751 (1987 SF3),0.406027058,0.907904103,41374.06489,24369240.01,Earth,False,19.08,False
73950,3879143,(2019 TR6),0.027832677,0.062235757,30879.18842,9595097.801,Earth,False,24.9,False
15631,3314051,(2006 BN55),0.291443905,0.651688382,61398.31573,9335778.346,Earth,False,19.8,False
42147,2325102,325102 (2008 EY5),0.253837029,0.567596853,44180.55584,12452596.47,Earth,False,20.1,False
51015,2439908,439908 (2000 XH47),0.377185489,0.843412394,32278.63868,53289717.59,Earth,False,19.24,False
2521,3477942,(2009 WY7),0.040230458,0.089958039,107176.8283,66871803.86,Earth,False,24.1,False
17398,54110697,(2021 CW2),0.00732074,0.016369672,18930.33189,41414531.46,Earth,False,27.8,False
61646,3748549,(2016 FA15),0.069912523,0.156329154,102969.3357,33756854.75,Earth,False,22.9,False
