Replace Name,YOG,Course,Description,Department,Level,METCO,Race/Ethnicity Text,Gender
SDUNT001,2023,5081-001,AP Calculus 4 AB,MAT,H,,White,M
SDUNT001,2023,1301-002,AP English 12,ELA,H,,White,M
SDUNT001,2023,4401-001,AP European History,HS,H,,White,M
SDUNT002,2023,5081-001,AP Calculus 4 AB,MAT,H,,Hispanic/Latino,F
SDUNT002,2023,5051-003,AP Statistics,MAT,H,,Hispanic/Latino,F
SDUNT003,2023,5081-001,AP Calculus 4 AB,MAT,H,,White,F
SDUNT003,2023,6051-002,AP Biology Lab,SCI,H,,White,F
SDUNT003,2023,4401-001,AP European History,HS,H,,White,F
SDUNT003,2023,4501-003,AP Psychology,HS,H,,White,F
SDUNT004,2023,5081-001,AP Calculus 4 AB,MAT,H,,White,F
SDUNT004,2023,6071-003,AP Physics Lab,SCI,H,,White,F
SDUNT005,2023,5081-001,AP Calculus 4 AB,MAT,H,,White,F
SDUNT005,2023,4501-005,AP Psychology,HS,H,,White,F
SDUNT006,2023,5081-001,AP Calculus 4 AB,MAT,H,,Two or more races,F
SDUNT006,2023,4501-002,AP Psychology,HS,H,,Two or more races,F
SDUNT006,2023,4561-001,AP Comparative Government,HS,H,,Two or more races,F
SDUNT007,2023,5081-001,AP Calculus 4 AB,MAT,H,,Black/African American,F
SDUNT008,2023,5081-002,AP Calculus 4 AB,MAT,H,,Two or more races,M
SDUNT009,2023,5081-002,AP Calculus 4 AB,MAT,H,,White,M
SDUNT010,2023,5081-002,AP Calculus 4 AB,MAT,H,,White,F
SDUNT010,2023,1301-001,AP English 12,ELA,H,,White,F
SDUNT010,2023,4501-005,AP Psychology,HS,H,,White,F
SDUNT011,2023,5081-002,AP Calculus 4 AB,MAT,H,,Asian,M
SDUNT011,2023,4501-003,AP Psychology,HS,H,,Asian,M
SDUNT011,2023,6061-001,AP Chemistry Lab,SCI,H,,Asian,M
SDUNT012,2023,5081-002,AP Calculus 4 AB,MAT,H,,White,M
SDUNT012,2023,4501-004,AP Psychology,HS,H,,White,M
SDUNT013,2023,5081-002,AP Calculus 4 AB,MAT,H,,White,M
SDUNT013,2023,2651-001,AP Italian,WL,H,,White,M
SDUNT013,2023,4501-006,AP Psychology,HS,H,,White,M
SDUNT014,2023,5081-002,AP Calculus 4 AB,MAT,H,,White,M
SDUNT014,2023,5051-003,AP Statistics,MAT,H,,White,M
SDUNT014,2023,4501-003,AP Psychology,HS,H,,White,M
SDUNT015,2023,5081-001,AP Calculus 4 AB,MAT,H,,Asian,F
SDUNT015,2023,4501-003,AP Psychology,HS,H,,Asian,F
SDUNT016,2023,5081-001,AP Calculus 4 AB,MAT,H,,White,M
SDUNT016,2023,4501-001,AP Psychology,HS,H,,White,M
SDUNT016,2023,6051-003,AP Biology Lab,SCI,H,,White,M
SDUNT017,2023,5081-001,AP Calculus 4 AB,MAT,H,,White,F
SDUNT017,2023,4501-005,AP Psychology,HS,H,,White,F
SDUNT018,2023,5081-001,AP Calculus 4 AB,MAT,H,,Hispanic/Latino,M
SDUNT019,2023,5081-001,AP Calculus 4 AB,MAT,H,,White,F
SDUNT020,2023,5081-002,AP Calculus 4 AB,MAT,H,,White,M
