Replace Name,Date,Code,Course,Description,Period
SDUNT427,3/28/23,A-E,9601-003,Mechanical & Structural Engineering ACP,1
SDUNT427,3/28/23,A-E,1291-002,AP English 11,2
SDUNT427,3/28/23,A-E,4311-005,U.S. History ACP,3
SDUNT427,3/28/23,A-E,80911-001,Wind Ensemble H - Quarter,4
SDUNT385,3/27/23,A-E,1291-003,AP English 11,1
SDUNT280,3/27/23,A,5051-003,AP Statistics,1
SDUNT330,3/27/23,T,6031-002,Physics Lab H,1
SDUNT438,3/27/23,T,13141-001,Philosophy as Literature ACP,1
SDUNT331,3/27/23,A-E,5081-004,AP Calculus 4 AB,1
SDUNT217,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT007,3/27/23,T,2431-001,Spanish 3 ACP,1
SDUNT590,3/27/23,T,1421-001,Lit and Comp for College ACP,1
SDUNT380,3/27/23,A-E,2961-001,AP Chinese,1
SDUNT059,3/27/23,T,1231-001,American Studies (English) ACP,1
SDUNT112,3/27/23,T,7131-001,AP History of Art,1
SDUNT305,3/27/23,T,2441-005,Spanish 4 ACP,1
SDUNT482,3/27/23,A,6031-002,Physics Lab H,1
SDUNT176,3/27/23,A-E,1361-003,Art and Technique of Film H,1
SDUNT338,3/27/23,T,5081-004,AP Calculus 4 AB,1
SDUNT227,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT177,3/27/23,T,6031-002,Physics Lab H,1
SDUNT061,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT285,3/27/23,A-E,1311-001,Philosophy as Literature H,1
SDUNT446,3/27/23,A-E,5131-001,Math 3 ACP Accelerated (Pre-Calculus),1
SDUNT178,3/27/23,A-E,5081-004,AP Calculus 4 AB,1
SDUNT568,3/27/23,A-E,6121-009,Chemistry Lab ACP,1
SDUNT484,3/27/23,T,3131-015,Academic Study,1
SDUNT343,3/27/23,T,13141-001,Philosophy as Literature ACP,1
SDUNT552,3/27/23,T,4301-001,AP US History,1
SDUNT600,3/27/23,T,2441-005,Spanish 4 ACP,1
SDUNT622,3/27/23,T,6071-001,AP Physics Lab,1
SDUNT022,3/27/23,T,1311-001,Philosophy as Literature H,1
SDUNT119,3/27/23,T,1221-002,English 11 ACP,1
SDUNT074,3/27/23,T,4301-001,AP US History,1
SDUNT347,3/27/23,A-E,0051-002,Stress Management,1
SDUNT027,3/27/23,A-E,8601-002,Entrepreneurship,1
SDUNT182,3/27/23,A-E,4421-002,Mid East & Latin Amr Honors,1
SDUNT604,3/27/23,A-E,3131-021,Academic Study,1
SDUNT382,3/27/23,T,2961-001,AP Chinese,1
