,School Name,School Type,Town,Grade,% African American,% Asian,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Average Class Size,Number of Students,% Graduated,% Still in School,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
0,Abington High,Public School,Abington,"09,10,11,12",2.2,1.5,0.2,0.2,0.9,45.6,54.4,15.8,451.0,94.7,0.9,8.0,46.0,40.0,20.0,9.0,520.0,498.0,516.0
1,Beaver Brook Elementary School,Public School,Abington,"01,02,03,04",1.9,1.9,0.5,0.2,0.3,50.2,49.8,24.6,643.0,,,,,,,,,,
2,Center Elementary School,Public School,Abington,"PK,K",3.9,3.0,0.0,0.0,0.0,54.2,45.8,14.6,208.0,,,,,,,,,,
3,Frolio Middle School,Public School,Abington,"07,08",2.4,1.8,0.0,0.0,0.3,53.4,46.6,21.1,342.0,,,,,,,,,,
4,Woodsdale Elementary School,Public School,Abington,"05,06",2.0,1.4,0.0,0.0,0.3,50.7,49.3,30.4,334.0,,,,,,,,,,
5,Acushnet Elementary School,Public School,Acushnet,"PK,K,01,02,03,04",0.7,0.2,0.2,0.0,2.8,53.2,46.8,20.1,558.0,,,,,,,,,,
6,Albert F Ford Middle School,Public School,Acushnet,"05,06,07,08",0.7,0.2,0.0,0.0,0.7,50.8,49.2,16.9,426.0,,,,,,,,,,
7,Agawam Early Childhood Center,Public School,Agawam,PK,4.6,8.6,0.0,0.0,2.6,57.6,42.4,11.9,191.0,,,,,,,,,,
8,Agawam High,Public School,Agawam,"09,10,11,12",1.2,2.2,0.0,0.1,1.9,52.0,48.0,16.8,1242.0,94.2,1.8,28.0,124.0,155.0,105.0,40.0,496.0,475.0,514.0
9,Agawam Junior High,Public School,Feeding Hills,"07,08",1.4,1.4,0.0,0.0,3.0,47.9,52.1,11.8,607.0,,,,,,,,,,
10,Benjamin J Phelps,Public School,Agawam,"K,01,02,03,04",2.1,2.9,0.0,0.0,2.1,52.7,47.3,16.8,361.0,,,,,,,,,,
11,Clifford M Granger,Public School,Feeding Hills,"K,01,02,03,04",1.4,1.0,0.0,0.3,2.7,50.2,49.8,19.8,296.0,,,,,,,,,,
12,James Clark School,Public School,Agawam,"K,01,02,03,04",3.0,3.3,0.0,0.0,1.8,53.2,46.8,18.2,315.0,,,,,,,,,,
13,Roberta G. Doering School,Public School,Agawam,"05,06,07,08",2.5,4.2,0.0,0.0,3.0,53.4,46.6,16.8,598.0,,,,,,,,,,
14,Robinson Park,Public School,Agawam,"K,01,02,03,04",2.7,2.9,0.0,0.0,3.4,51.7,48.3,17.7,385.0,,,,,,,,,,
15,Amesbury Elementary,Public School,Amesbury,"PK,K,01,02,03,04",4.1,0.5,0.5,0.0,4.4,52.3,47.7,20.4,423.0,,,,,,,,,,
16,Amesbury High,Public School,Amesbury,"09,10,11,12",1.3,1.2,0.0,0.0,2.5,53.5,46.5,16.7,621.0,93.9,4.3,4.0,22.0,37.0,43.0,31.0,531.0,518.0,534.0
17,Amesbury Innovation High School,Public School,Amesbury,"09,10,11,12",0.0,0.0,0.0,0.0,6.5,64.5,35.5,7.6,33.0,66.7,22.2,,,,,,,,
18,Amesbury Middle,Public School,Amesbury,"05,06,07,08",1.2,1.0,0.3,0.1,3.8,51.1,48.9,18.4,696.0,,,,,,,,,,
19,Charles C Cashman Elementary,Public School,Amesbury,"PK,K,01,02,03,04",2.2,2.0,0.4,0.2,2.4,53.5,46.5,22.1,509.0,,,,,,,,,,
20,Crocker Farm Elementary,Public School,Amherst,"PK,K,01,02,03,04,05,06",7.2,15.8,0.0,0.0,8.4,50.5,49.5,18.1,405.0,,,,,,,,,,
21,Fort River Elementary,Public School,Amherst,"K,01,02,03,04,05,06",11.3,14.0,0.0,0.0,5.4,49.6,50.4,20.2,348.0,,,,,,,,,,
22,Wildwood Elementary,Public School,Amherst,"K,01,02,03,04,05,06",10.3,13.7,0.2,0.0,7.6,52.6,47.4,20.1,417.0,,,,,,,,,,
23,Andover High,Public School,Andover,"09,10,11,12",1.9,14.5,0.1,0.0,2.2,48.9,51.1,14.7,1799.0,95.7,3.4,51.0,134.0,204.0,233.0,221.0,566.0,562.0,581.0
24,Andover West Middle,Public School,Andover,"06,07,08",1.1,15.6,0.0,0.0,2.4,46.2,53.8,19.9,541.0,,,,,,,,,,
25,Bancroft Elementary,Public School,Andover,"K,01,02,03,04,05",3.2,6.6,0.3,0.0,5.6,51.8,48.2,22.1,614.0,,,,,,,,,,
26,Doherty Middle,Public School,Andover,"06,07,08",0.5,13.5,0.5,0.0,2.7,50.8,49.2,19.4,557.0,,,,,,,,,,
27,Henry C Sanborn Elementary,Public School,Andover,"K,01,02,03,04,05",1.6,28.1,0.8,0.0,2.1,54.9,45.1,22.1,397.0,,,,,,,,,,
28,High Plain Elementary,Public School,Andover,"K,01,02,03,04,05",2.7,29.1,0.0,0.0,3.3,53.6,46.4,23.7,522.0,,,,,,,,,,
29,Shawsheen School,Public School,Andover,PK,2.7,27.4,1.4,0.0,0.0,53.4,46.6,12.5,100.0,,,,,,,,,,
30,South Elementary,Public School,Andover,"K,01,02,03,04,05",0.0,18.5,0.2,0.2,0.6,50.9,49.1,21.9,503.0,,,,,,,,,,
31,West Elementary,Public School,Andover,"K,01,02,03,04,05",3.0,14.6,0.2,0.0,3.0,51.7,48.3,22.9,662.0,,,,,,,,,,
32,Wood Hill Middle School,Public School,Andover,"06,07,08",3.1,26.5,0.0,0.0,2.4,45.8,54.2,18.6,423.0,,,,,,,,,,
33,Arlington High,Public School,Arlington,"09,10,11,12",4.1,10.7,0.0,0.2,3.7,49.1,50.9,14.3,1255.0,98.1,0.3,30.0,76.0,196.0,241.0,220.0,581.0,576.0,592.0
34,Brackett,Public School,Arlington,"K,01,02,03,04,05",1.5,10.3,0.0,0.2,6.3,52.1,47.9,18.3,475.0,,,,,,,,,,
35,Cyrus E Dallin,Public School,Arlington,"K,01,02,03,04,05",1.7,12.4,0.0,0.2,3.2,51.9,48.1,16.9,471.0,,,,,,,,,,
36,Hardy,Public School,Arlington,"K,01,02,03,04,05",4.9,15.7,0.2,0.4,3.3,54.3,45.7,21.6,410.0,,,,,,,,,,
37,John A Bishop,Public School,Arlington,"K,01,02,03,04,05",4.2,14.6,0.0,0.7,4.5,49.4,50.6,23.7,427.0,,,,,,,,,,
38,M Norcross Stratton,Public School,Arlington,"K,01,02,03,04,05",2.5,18.2,0.0,0.0,4.5,49.7,50.3,17.2,396.0,,,,,,,,,,
39,Menotomy Preschool,Public School,Arlington,PK,0.0,12.9,0.0,0.0,2.9,62.9,37.1,14.4,72.0,,,,,,,,,,
40,Ottoson Middle,Public School,Arlington,"06,07,08",4.2,10.0,0.0,0.0,5.0,47.0,53.0,19.1,1148.0,,,,,,,,,,
41,Peirce,Public School,Arlington,"K,01,02,03,04,05",4.0,12.3,0.0,0.0,2.5,49.6,50.4,22.0,264.0,,,,,,,,,,
42,Thompson,Public School,Arlington,"K,01,02,03,04,05",5.4,16.1,0.6,0.2,4.9,51.9,48.1,23.0,437.0,,,,,,,,,,
43,Ashland High,Public School,Ashland,"09,10,11,12",2.0,9.0,0.3,0.0,2.2,48.8,51.2,14.6,746.0,95.1,0.5,3.0,14.0,62.0,106.0,127.0,549.0,530.0,576.0
44,Ashland Middle,Public School,Ashland,"06,07,08",2.4,12.1,0.3,0.0,2.9,48.7,51.3,19.1,621.0,,,,,,,,,,
45,David Mindess,Public School,Ashland,"03,04,05",2.1,13.5,1.0,0.0,3.4,50.6,49.4,21.7,601.0,,,,,,,,,,
46,Henry E Warren Elementary,Public School,Ashland,"K,01,02",1.8,14.1,0.6,0.2,3.6,49.8,50.2,21.2,616.0,,,,,,,,,,
47,William Pittaway Elementary,Public School,Ashland,PK,1.5,17.6,0.0,0.0,3.8,51.9,48.1,7.1,141.0,,,,,,,,,,
48,A. Irvin Studley Elementary School,Public School,Attleboro,"K,01,02,03,04",3.9,1.8,0.2,0.2,6.8,52.6,47.4,20.5,448.0,,,,,,,,,,
49,Attleboro Community Academy,Public School,Attleboro,"09,10,11,12",1.6,1.6,1.6,0.0,7.9,54.0,46.0,7.6,72.0,43.6,43.6,,,,,,,,
50,Attleboro High,Public School,Attleboro,"09,10,11,12",5.5,4.1,0.3,0.2,3.8,54.2,45.8,18.1,1724.0,91.0,3.4,70.0,128.0,146.0,117.0,59.0,494.0,490.0,504.0
51,Cyril K. Brennan Middle School,Public School,Attleboro,"05,06,07,08",4.2,4.9,0.4,0.4,7.2,53.3,46.7,20.8,558.0,,,,,,,,,,
52,Early Learning Center,Public School,Attleboro,PK,3.7,3.7,0.0,0.0,5.9,61.5,38.5,7.2,208.0,,,,,,,,,,
53,Hill-Roberts Elementary School,Public School,Attleboro,"K,01,02,03,04",6.0,3.9,0.9,0.0,8.1,55.0,45.0,23.9,479.0,,,,,,,,,,
54,Hyman Fine Elementary School,Public School,Attleboro,"K,01,02,03,04",4.3,6.3,0.0,0.0,6.1,47.2,52.8,22.4,453.0,,,,,,,,,,
55,Peter Thacher Elementary School,Public School,Attleboro,"K,01,02,03,04",3.8,6.1,0.0,0.0,9.6,53.8,46.2,16.5,405.0,,,,,,,,,,
56,Robert J. Coelho Middle School,Public School,Attleboro,"05,06,07,08",3.6,3.6,0.0,0.0,5.4,51.0,49.0,24.3,689.0,,,,,,,,,,
57,Thomas Willett Elementary School,Public School,Attleboro,"K,01,02,03,04",6.2,9.4,0.0,0.0,9.6,52.3,47.7,21.7,416.0,,,,,,,,,,
