,DATE,STATION,NAME,"Weekday (Sunday is 1, Saturday is 7)",PRCP,TAVG,TMAX,TMIN,incident_num,TIME,district,shooting_type_v2,victim_gender,victim_race,victim_ethnicity_NIBRS,multi_victim
1,1/1/2015,USW00014739,"BOSTON, MA US",5,0,26,33,22,I152000196-00,13:30:00+00,C11,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
2,1/2/2015,USW00014739,"BOSTON, MA US",6,0,34,41,31,NA,NA,NA,NA,NA,NA,NA,NA
3,1/3/2015,USW00014739,"BOSTON, MA US",7,0.62,28,37,22,NA,NA,NA,NA,NA,NA,NA,NA
4,1/4/2015,USW00014739,"BOSTON, MA US",1,0.57,38,52,35,I152000879-00,01:58:00+00,E18,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
5,1/4/2015,USW00014739,"BOSTON, MA US",1,0.57,38,52,35,I152001014-00,18:52:00+00,E5,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,f
6,1/5/2015,USW00014739,"BOSTON, MA US",2,0,40,50,17,NA,NA,NA,NA,NA,NA,NA,NA
7,1/6/2015,USW00014739,"BOSTON, MA US",3,0.02,17,18,15,NA,NA,NA,NA,NA,NA,NA,NA
8,1/7/2015,USW00014739,"BOSTON, MA US",5,0,19,26,4,NA,NA,NA,NA,NA,NA,NA,NA
9,1/8/2015,USW00014739,"BOSTON, MA US",5,0,8,19,-1,I152002232-00,22:45:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
10,1/8/2015,USW00014739,"BOSTON, MA US",5,0,8,19,-1,I152002233-00,22:45:00+00,B2,Non-Fatal,Female,Black or African American,Not Hispanic or Latinx,t
11,1/8/2015,USW00014739,"BOSTON, MA US",5,0,8,19,-1,I152002234-00,22:45:00+00,B2,Non-Fatal,Male,Black or African American,Not Hispanic or Latinx,t
12,1/8/2015,USW00014739,"BOSTON, MA US",5,0,8,19,-1,I152002215-00,22:45:00+00,B2,Fatal,Male,Black or African American,Not Hispanic or Latinx,t
13,1/9/2015,USW00014739,"BOSTON, MA US",6,0.01,23,30,19,NA,NA,NA,NA,NA,NA,NA,NA
