Content of video,Rate this video 1-5,"Would you have watched, rewatch, skipped","Would you share this
with a friend? (yes or
no)",Amount Of Likes,Views,Do You Know Creator,Comments,Favorites,Shares
Food Ad,1,skipped ,no,30600,20000000,no,,,
Jewlery ,1,skipped ,no,915,66000,no,,,
Automotive,2,skipped ,no,1229,23100,no,,,
Automotive,2,watched,no,23100,700100,no,,,
Jewlery Ad,1,skipped ,no,6788,5000000,no,,,
Hair,3,watched,no,13,757,no,,,
Bank Fraud,2,watched,no,338,3547,no,,,
Automotive,3,watched,no,3564,16800,no,,,
Sport,2,watched,no,104800,738000,no,,,
Beauty Ad ,1,skipped ,no,6829,2000000,no,,,
Gym,3,watched,no,509100,2900000,no,,,
Sport,2,watched,no,224000,2300000,no,,,
Automotive Ad,1,skipped ,no,104,1232,no,,,
Amusment Park,1,skipped,no,41600,524000,no,,,
Sport,2,watched,no,3108,29700,no,,,
Automtoive,3,rewatched,yes,30200,172000,no,72,2211,881
Sport,3,rewatched,yes,97200,782000,no,99,4524,210
Fashion,2,watched,no,424000,2500000,no,1071,7985,667
Sport,2,watched,no,6360,57600,no,6360,36,40
College Ad,1,skipped,no,85,10232,no,11,0,0
Sport,1,skipped,no,34000,2100000,no,61,548,264
Dance,1,skipped,no,320022,1100000,no,277,2316,726
College Ad,1,skipped,no,233,423000,no,5,4,4
College Ad,1,skipped,no,9,30003,no,1,2,4
Automotive,3,watched,no,25100,634000,no,116,2124,439
Automotive,1,skipped,no,30,1275,no,0,1,0
Automotive,3,watched,no,222800,16000000,no,557,19400,8437
Automotive Ad,1,skipped,no,0,0,no,0,0,0
Baseball,2,watched,no,827900,7300000,no,484,39300,7112
Automotive,4,rewatched,no,2800000,17600000,no,12800,160400,396100
Hair,2,watched,no,100600,492000,no,547,3327,376
Art,1,watched,no,993700,8100000,no,0,44800,39700
Automotive,3,watched,no,971000,960000,no,3787,45000,17700
Hair,2,watched,no,735000,4400000,no,2449,211900,36000
Hair,2,watched,no,198000,450000,no,961,12900,2290
Automotive,3,watched,no,237000,1600000,no,773,9786,1933
Movie Ad,1,skipped,no,26700,102000,no,102,231,368
Hair,2,watched,no,17500,429000,no,721,1181,2339
Computer  ,4,rewatched,no,0,73,no,0,0,0
College Ad,1,watched,no,868,22200,no,0,0,10
Jewelry ,2,watched,no,1304,73000,no,72,112,65
Sports,3,watched,no,241000,2500000,no,1764,13600,27200
Movie Clip,2,skipped,no,50050,1200000,no,51,2462,113
Sport Ad,1,skipped,no,44,1000,no,23,0,0
Automotive,4,watched,no,22900,430000,no,503,1980,32
Sport,2,watched,no,1027,14000,no,14,122,2
Sport,2,watched,no,3357,38000,no,46,134,27
Food Ad,1,skipped,no ,36600,122343,no,0,0,242
Hair,2,watched,no,56300,559000,no,417,5086,3788
Automotive,2,watched,no,618,18900,no,14,44,7
Food Ad,1,skipped ,no,3027,1000000,no,58,0,95
Hair,2,watched,no,35600,291000,no,123,700,612
Crime,3,watched,no,57400,234000,no,348,5716,3274
Automotive ,4,watched,no,284,2566,no,11,6,0
Automotive ,3,watched,no,16800,559000,no,744,1054,3841
Sport,3,watched,no,820000,9820000,no,37400,20399,12893
Music ,2,watched ,no,27600,183400,no,151,3237,145
School,2,watched ,no ,5765,64800,no,20,3425,204
Sport Ad,1,skipped,no,38,7338,no,2,0,0
Meme,2,watched,no,307800,2000000,no,14200,18700,11500
Automotive,3,watched,no,80000,3500000,no,1587,2631,1532
Sport Ad,1,skipped,no,841,127000,no,0,173,59
News,3,skipped ,no,79700,843000,no,1752,4473,1651
Automotive,3,watched ,no,13300,,no,37,415,74
Automotive Ad,2,skipped ,no,229000,7300000,no,0,0,963
Dance,3,watched ,yes,6,19,yes,0,0,0
Sport,2,watched ,no,1890,12300,no,33,238,37
College Ad,1,skipped ,no,1722,600000,no,0,0,119
Dance,1,skipped ,no ,8800000,79000000,yes,23000,619900,233100
Movie Clip,3,watched ,no,314000,3300000,no,4046,28000,20300
Sport Ad,2,skipped ,no,5559,828333,no,72,0,33
Music ,3,watched,yes,96400,389700,no,938,11800,618
Automotive,2,watched ,yes,26700,633400,no,258,3843,427
Clothes Ad,1,skipped,no,5,27733,no,0,0,0
College Ad,2,watched ,no,808,17400,no,23,107,21
College Ad,1,skipped ,no ,5409,60800,no,39,2112,47
Meme,2,skipped ,no,14600,26500,no,1373,413,127
Automotive ,4,watched ,no,399300,15900000,no,8743,38100,97200
