PID,AGE,GENDER,SES,CACT1_1,CACT1_1A,CACT1_2,CACT1_2A,CACT1_3,CACT1_3A,CACT1_4,CACT1_4A,CACT1_5,CACT1_5A,CACT1_6,CACT1_6A,CACT1_7,CACT1_7A,CACT2_1,CACT2_2,CACT2_1A,CACT2_2A,CACT4,CACT4_1A,CACT5_1,CACT5_1A,CACT5_2,CACT5_2A,CACT5_3,CACT5_3A,CACT6_1,CACT6_1A,CACT6_2,CACT6_2A,CACT6_3,CACT6_3A,CACT6_4,CACT6_4A,CACT6_5,CACT6_5A,CACT6_6,CACT6_6A,CACT8_1,CACT8_1A,CACT8_2,CACT8_2A,CACT8_3,CACT8_3A,CEIE1_1,CEIE1_2,CEIE1_3,CEIE1_4,CEIE1_5,CEIE1_6,CEIE1_7,CEIE1_8,CEIE1_9,CEIE1_10,CEIE1_11,CEIE1_12,CEIE1_13,CEIE1_14,CEIE1_15,CEIE1_16,CEIE2_1,CEIE2_2,CEIE2_3
5484740bfdf99b07b28f22ee,25,2,7,1,1,1,7.7,0,,1,0.2,1,3.2,1,5.1,1,1.1,0,0,,,0,,0,,1,6.5,0,,0,,1,1.1,1,6.7,1,6.6,1,0.1,0,,1,6.4,0,,0,,,,,,,,,,,,,,,,,,,,
553d9e80fdf99b7e6dea1496,23,2,6,0,,1,5,0,,0,,0,,0,,0,,0,0,,,0,,1,2.4,1,4.9,0,,0,,0,,1,0.9,1,1,0,,0,,1,1.2,0,,0,,7.5,5.2,4.7,5.3,1.7,3.3,4.6,7.6,7.5,2,4.4,6.9,7,1.6,2.1,2.2,7.2,5.8,7.2
55885869fdf99b4020ba0b64,24,2,6,0,,1,2.5,0,,0,,1,2.8,0,,0,,0,0,,,0,,0,,0,,1,2.7,1,2.5,0,,1,5.4,1,6.6,0,,0,,1,5.1,0,,0,,8,6.9,10,8.1,8.4,6.9,8.3,10,9.3,5.2,9,9.8,9.3,7.7,9.1,5.4,10,10,10
5614087f7ffc8a0005812433,24,2,5,0,,1,5.4,0,,1,4.6,1,6.2,1,3.6,0,,0,0,,,0,,0,,1,6.5,0,,0,,0,,0,,1,3.4,1,1.2,0,,1,3,0,,0,,6.4,5.5,6.5,8,5,7.8,6.9,7.8,4.5,1.2,4,4.3,4.5,3.4,1.1,0.5,7.7,9,7.1
56168fdb7ffc8a000a812190,22,2,5,1,8,1,5,0,,0,,0,,0,,0,,0,0,,,0,,1,2.4,1,7.7,0,,0,,0,,0,,1,2.5,0,,0,,0,,0,,0,,7.6,4.4,2.6,1.3,2.4,2.7,0.8,7.6,7.6,1.1,4.7,1.4,2.5,1,1.6,1.2,6.4,4.4,8.4
56492ba96902220005c4a768,21,2,7,1,2,1,5,0,,0,,1,2.7,0,,1,2.5,0,1,,2,0,,0,,1,7.6,0,,0,,1,2.5,0,,0,,0,,0,,0,,0,,0,,7.3,6.1,6.9,3.4,7.5,10,7.3,7.2,7.1,9.1,9.3,7.3,10,5.5,5.8,4.4,7.9,8.3,7.9
567b4ea8b7d79a0012b27089,22,2,5,0,,1,1,0,,0,,1,1.1,0,,0,,0,0,,,0,,0,,0,,0,,0,,0,,0,,1,2,0,,0,,1,0.9,0,,0,,9.7,7.1,2,2,1.1,8.9,9.2,7.1,8.9,5.9,4.8,4.7,7.7,3.1,0,0,8.8,7.5,8.9
56e11def8b1c33000c3888ac,23,2,5,0,,1,6.8,1,1.9,1,2.3,1,2.2,0,,0,,0,0,,,0,,0,,1,4.8,1,2.3,0,,0,,1,2.8,1,2.9,0,,0,,1,4.8,0,,0,,2.5,3.8,1.3,7.5,4.6,7.8,7.1,8.4,5,3.9,9.5,8.2,9.9,5.1,1.6,3.2,8.7,6.6,8.3
572cd18388902e000e1e3fae,24,2,6,0,,1,5,0,,0,,0,,0,,0,,0,0,,,0,,0,,1,7.6,1,6.4,0,,1,5.5,0,,1,4.5,1,3.8,1,4,1,2.9,0,,0,,4.5,3.1,7.5,7,1.7,5.8,7.3,6.7,7.2,1,7.5,7.8,6.5,3.5,1.3,2.5,7.1,7.2,7.3
581649f0b434f0000184d2a9,25,2,5,1,4,1,6.6,0,,0,,0,,0,,0,,0,0,,,0,,0,,1,4.6,1,7.7,0,,1,2.8,0,,0,,0,,0,,0,,0,,0,,4.8,3.2,6.2,4.1,4.8,6.2,2.3,0.6,5.4,0.9,6.8,4.8,5,5.5,2.3,1.4,9.3,7.9,8.3
