,Q2,Q4,Q5,Q10,Q12,Q14,Q17,Q18,Q26,Q28,Q30,Q32,Q34,Q35,Q39,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q56,Q59,Q60,Q63,Q66,Q70,Q71,Q72,Q63,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q82,Q84,Q86,Q88,Q89,Q90,Q91,Q95,Q98
0,2,1,A,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,3,3,1,2,2,5,2,2,1,4,2,1,1,5,2
1,2,2,A  D,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,5,1,6,1,5,8,8,3,3,1,2,1,4,2,1,1,6,2
2,1,2, B  E,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,5,2,2,8,4,2,4,1,3,1,5,2,1,1,1,2
3,2,2,    E,1,1,1,1,1,2,1,1,3,1,7,3,7,6,1,3,3,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,3,1,1,7,7,1,2,1,4,3,1,3,1,1
4,2,1, ,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,4,2,5,1,2,1,4,1,2,1,2,1,1,1,2,2
5,1,2,    E,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1,3,8,4,7,1,3,1,3,2,1,1,8,1
6,1,2,    E,2,1,1,2,1,1,2,2,1,1,3,1,2,1,4,2,1,1,1,1,1,1,1,1,1,1,4,1,2,1,2,1,2,1,4,4,1,2,2,1,2,2,1,1,1,1
7,2,2,    E,1,1,1,1,1, , ,2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,1,1,3,2,2,4,5,1,4,4,2,1,3,1,1,4,5,1
8,1,2,    E,1,1,1,1,1,1,1,2,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,2,1,8,7,4,7,2,2,1,6,3,1,1,7,1
9,2,1,A,2,1,1,3,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,3,8,8,6,4,4,2,1,3,5,1,1,8,2
