Country,Median_Age
Monaco                                                            ,53.8
Japan                                                             ,47.7
Germany                                                           ,47.4
Saint Pierre and Miquelon                                         ,47.2
Italy                                                             ,45.8
Andorra                                                           ,44.9
Greece                                                            ,44.9
Hong Kong                                                         ,44.8
Saint Barthelemy                                                  ,44.7
San Marino                                                        ,44.7
Isle of Man                                                       ,44.4
Austria                                                           ,44.2
Slovenia                                                          ,44.2
Guernsey                                                          ,44
Lithuania                                                         ,44
Latvia                                                            ,43.9
Portugal                                                          ,43.7
Bermuda                                                           ,43.5
Liechtenstein                                                     ,43.4
Croatia                                                           ,43.3
Spain                                                             ,43.1
Bulgaria                                                          ,43
Estonia                                                           ,43
Serbia                                                            ,42.8
Hungary                                                           ,42.7
Netherlands                                                       ,42.7
Finland                                                           ,42.6
Bosnia and Herzegovina                                            ,42.5
Czechia                                                           ,42.5
Switzerland                                                       ,42.5
Canada                                                            ,42.4
"Saint Helena, Ascension, and Tristan da Cunha                     ",42.4
"Korea, South                                                      ",42.3
Puerto Rico                                                       ,42.2
Denmark                                                           ,41.9
Cuba                                                              ,41.8
Malta                                                             ,41.8
Romania                                                           ,41.6
Belgium                                                           ,41.5
France                                                            ,41.5
Taiwan                                                            ,41.3
Virgin Islands                                                    ,41.3
Sint Maarten                                                      ,41.2
Poland                                                            ,41.1
Sweden                                                            ,41.1
Slovakia                                                          ,41
Ukraine                                                           ,40.8
United Kingdom                                                    ,40.5
Belarus                                                           ,40.3
Cayman Islands                                                    ,40.2
Macau                                                             ,39.8
Russia                                                            ,39.8
Aruba                                                             ,39.5
Luxembourg                                                        ,39.3
Norway                                                            ,39.3
Barbados                                                          ,38.9
Montenegro                                                        ,38.9
Australia                                                         ,38.8
Georgia                                                           ,38.3
Macedonia                                                         ,38.2
United States                                                     ,38.2
New Zealand                                                       ,38.1
Thailand                                                          ,38.1
China                                                             ,37.7
Jersey                                                            ,37.7
Faroe Islands                                                     ,37.6
Cook Islands                                                      ,37.2
Cyprus                                                            ,37.2
United Arab Emirates                                              ,37.2
Ireland                                                           ,37.1
Moldova                                                           ,37
British Virgin Islands                                            ,36.7
Iceland                                                           ,36.7
Trinidad and Tobago                                               ,36.6
Curacao                                                           ,36.3
Seychelles                                                        ,35.8
Mauritius                                                         ,35.7
Armenia                                                           ,35.6
Saint Kitts and Nevis                                             ,35.5
Saint Lucia                                                       ,35.5
Anguilla                                                          ,35.1
Uruguay                                                           ,35.1
Gibraltar                                                         ,35
Singapore                                                         ,34.9
Chile                                                             ,34.8
"Korea, North                                                      ",34.2
Saint Vincent and the Grenadines                                  ,34.2
Dominica                                                          ,34
Greenland                                                         ,34
Montserrat                                                        ,33.8
Turks and Caicos Islands                                          ,33.8
Palau                                                             ,33.6
Albania                                                           ,33.4
Northern Mariana Islands                                          ,33.4
Qatar                                                             ,33.4
Sri Lanka                                                         ,33.1
Saint Martin                                                      ,32.8
Wallis and Futuna                                                 ,32.8
Bahrain                                                           ,32.5
Brazil                                                            ,32.4
French Polynesia                                                  ,32.4
"Bahamas, The                                                      ",32.3
New Caledonia                                                     ,32.3
Antigua and Barbuda                                               ,32.2
Grenada                                                           ,32.1
Tunisia                                                           ,32
Argentina                                                         ,31.9
