Email Length (words),Number of Links,Number of Images,Spam Keywords,Time of Day (hour),Day of Week,Spam (Target)
150,3,2,5,10,Monday,1
80,1,0,2,15,Wednesday,0
200,4,3,8,8,Friday,1
120,2,1,4,14,Tuesday,0
160,3,2,6,12,Thursday,1
90,1,0,3,16,Saturday,0
180,5,4,10,11,Sunday,1
110,2,1,4,9,Monday,0
140,3,2,5,13,Wednesday,1
100,1,0,2,17,Friday,0
130,2,1,4,15,Saturday,0
170,4,3,7,12,Sunday,1
95,1,0,3,18,Tuesday,0
210,5,4,9,10,Thursday,1
125,2,1,5,16,Saturday,0
155,3,2,6,14,Monday,1
85,1,0,2,9,Wednesday,0
195,4,3,8,11,Friday,1
115,2,1,4,13,Sunday,0
145,3,2,5,17,Tuesday,1
130,2,1,4,15,Saturday,0
170,4,3,7,12,Sunday,1
95,1,0,3,18,Tuesday,0
210,5,4,9,10,Thursday,1
125,2,1,5,16,Saturday,0
155,3,2,6,14,Monday,1
85,1,0,2,9,Wednesday,0
195,4,3,8,11,Friday,1
115,2,1,4,13,Sunday,0
145,3,2,5,17,Tuesday,1
150,3,2,5,10,Monday,1
80,1,0,2,15,Wednesday,0
200,4,3,8,8,Friday,1
120,2,1,4,14,Tuesday,0
160,3,2,6,12,Thursday,1
90,1,0,3,16,Saturday,0
180,5,4,10,11,Sunday,1
110,2,1,4,9,Monday,0
140,3,2,5,13,Wednesday,1
100,1,0,2,17,Friday,0
130,2,1,4,15,Saturday,0
170,4,3,7,12,Sunday,1
95,1,0,3,18,Tuesday,0
210,5,4,9,10,Thursday,1
125,2,1,5,16,Saturday,0
155,3,2,6,14,Monday,1
85,1,0,2,9,Wednesday,0
195,4,3,8,11,Friday,1
115,2,1,4,13,Sunday,0
145,3,2,5,17,Tuesday,1
130,2,1,4,15,Saturday,0
170,4,3,7,12,Sunday,1
95,1,0,3,18,Tuesday,0
210,5,4,9,10,Thursday,1
125,2,1,5,16,Saturday,0
155,3,2,6,14,Monday,1
85,1,0,2,9,Wednesday,0
195,4,3,8,11,Friday,1
115,2,1,4,13,Sunday,0
145,3,2,5,17,Tuesday,1
120,2,1,4,15,Saturday,0
160,3,2,6,12,Thursday,1
90,1,0,3,16,Sunday,0
180,5,4,10,11,Monday,1
110,2,1,4,9,Wednesday,0
140,3,2,5,13,Friday,1
100,1,0,2,17,Tuesday,0
130,2,1,4,15,Saturday,0
170,4,3,7,12,Sunday,1
95,1,0,3,18,Thursday,0
210,5,4,9,10,Monday,1
125,2,1,5,16,Wednesday,0
155,3,2,6,14,Friday,1
85,1,0,2,9,Sunday,0
195,4,3,8,11,Tuesday,1
115,2,1,4,13,Saturday,0
145,3,2,5,17,Thursday,1
120,2,1,4,15,Monday,0
160,3,2,6,12,Wednesday,1
90,1,0,3,16,Friday,0
