Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS,Name-additional
1,Henry Aaron,1982,23,1954,1976,25,143.1,3298,13941,12364,2174,3771,624,98,755,2297,240,73,1402,1383,293,328,121,21,.305,.374,.555,.928,aaronha01
2,Grover Alexander,1938,20,1911,1930,0,3.1,703,1981,1810,154,378,60,13,11,163,3,6,77,276,0,,,88,.209,.242,.275,.517,alexape01
3,Roberto Alomar,2011,17,1988,2004,12,67.0,2379,10400,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,206,97,148,.300,.371,.443,.814,alomaro01
4,Walter Alston,1983,1,1936,1936,0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,.000,.000,.000,.000,alstowa01
5,Sparky Anderson,2000,1,1959,1959,0,-1.2,152,527,477,42,104,9,3,0,34,6,9,42,53,1,15,2,5,.218,.282,.249,.531,andersp01
6,Cap Anson,1939,27,1871,1897,0,94.4,2524,11331,10281,1999,3435,582,142,97,2075,277,16,984,330,,6,,34,.334,.394,.447,.841,ansonca01
7,Luis Aparicio,1984,18,1956,1973,13,55.9,2599,11231,10230,1335,2677,394,92,83,791,506,136,736,742,22,184,76,161,.262,.311,.343,.653,aparilu01
8,Luke Appling,1964,20,1930,1950,7,77.4,2422,10254,8856,1319,2749,440,102,45,1116,179,108,1302,528,68,129,,74,.310,.399,.398,.798,applilu01
9,Richie Ashburn,1995,15,1948,1962,6,64.2,2189,9737,8365,1322,2574,317,109,29,586,234,117,1198,571,40,83,18,112,.308,.396,.382,.778,ashburi01
10,Earl Averill,1975,13,1929,1941,6,51.6,1669,7221,6353,1224,2019,401,128,238,1164,70,58,774,518,36,7,,55,.318,.395,.534,.928,averiea01
11,Jeff Bagwell,2017,15,1991,2005,4,79.9,2150,9431,7797,1517,2314,488,32,449,1529,202,78,1401,1558,155,221,102,3,.297,.408,.540,.948,bagweje01
12,Harold Baines,2019,22,1980,2001,6,38.8,2830,11092,9908,1299,2866,488,49,384,1628,34,34,1062,1441,187,298,99,9,.289,.356,.465,.820,baineha01
13,Home Run Baker,1955,13,1908,1922,0,62.8,1575,6677,5984,887,1838,315,103,96,991,235,54,473,344,,,,153,.307,.363,.442,.805,bakerfr01
14,Dave Bancroft,1971,16,1915,1930,0,50.0,1913,8250,7182,1048,2004,320,77,32,591,145,90,827,487,4,,,212,.279,.355,.358,.714,bancrda01
15,Ernie Banks,1977,19,1953,1971,14,67.7,2528,10396,9421,1305,2583,407,90,512,1636,50,53,763,1236,202,229,96,45,.274,.330,.500,.830,bankser01
16,Jake Beckley,1971,20,1888,1907,0,61.5,2392,10518,9551,1603,2938,473,244,87,1581,315,,616,526,,,,167,.308,.361,.436,.797,becklja01
17,Cool Papa Bell,1974,21,1922,1946,8,30.9,1202,5361,4767,1152,1548,262,72,57,596,285,,531,,1,0,0,49,.325,.394,.446,.840,bellco99
18,Adrián Beltré,2024,21,1998,2018,4,93.5,2933,12130,11068,1524,3166,636,38,477,1707,121,42,848,1732,112,279,103,14,.286,.339,.480,.819,beltrad01
19,Johnny Bench,1989,17,1967,1983,14,75.1,2158,8674,7658,1091,2048,381,24,389,1376,68,43,891,1278,135,201,90,11,.267,.342,.476,.817,benchjo01
20,Charles Bender,1953,16,1903,1925,0,5.2,507,1286,1147,102,243,40,10,6,116,20,2,75,160,0,,,42,.212,.266,.280,.546,bendech01
