Player Name,Team,Position,Games,Goals,Assists,Points,Plus Minus,Penalty Minutes,Shots on Goal,Game Winning Goals,Power Play Goals,Power Play Assists,Short Handed Goals,Short Handed Assists,Hits,Blocked Shots
Auston Matthews,TOR,C,73,60,46,106,20,18,348,10,16,13,0,0,67,62
Leon Draisaitl,EDM,C,80,55,55,110,17,40,278,11,24,17,1,0,53,25
Chris Kreider,NYR,LW,81,52,25,77,19,24,258,11,26,9,3,0,141,39
Alex Ovechkin,WAS,LW,77,50,40,90,8,18,334,5,16,13,1,0,155,25
Kyle Connor,WPG,LW,79,47,46,93,-3,4,317,9,8,20,3,0,32,23
Kirill Kaprizov,MIN,LW,81,47,61,108,27,34,289,5,14,17,0,0,73,29
Connor McDavid,EDM,C,80,44,79,123,28,45,314,9,10,34,0,1,75,26
Matt Duchene,NSH,C,78,43,43,86,6,38,228,6,16,13,0,0,31,28
Steven Stamkos,TB,C,81,42,64,106,24,36,241,11,16,20,0,0,93,31
Filip Forsberg,NSH,RW,69,42,42,84,12,22,226,8,10,17,0,0,112,48
Elias Lindholm,CGY,RW,82,42,40,82,61,22,235,9,10,9,1,1,66,52
Matthew Tkachuk,FLA,LW,82,42,62,104,57,68,253,6,12,17,0,0,93,20
Alex DeBrincat,OTT,RW,82,41,37,78,-13,19,270,6,14,14,0,0,101,35
Jason Robertson,DAL,LW,74,41,38,79,16,22,220,11,13,8,0,0,50,24
Jake Guentzel,PIT,LW,76,40,44,84,13,44,264,7,7,15,0,0,72,38
David Pastrnak,BOS,RW,72,40,37,77,13,20,312,9,15,11,0,0,63,14
Johnny Gaudreau,CLS,LW,82,40,75,115,64,26,262,9,6,19,0,0,10,9
Aleksander Barkov,FLA,C,67,39,49,88,36,18,214,5,12,14,4,1,50,42
Tage Thompson,BUF,RW,78,38,30,68,-17,37,253,4,10,6,2,0,66,25
Troy Terry,ANH,C,75,37,30,67,-11,26,192,7,8,7,0,0,6,27
Sebastian Aho,CAR,LW,79,37,44,81,18,38,221,9,13,15,1,2,76,23
Roope Hintz,DAL,LW,80,37,35,72,15,28,213,7,9,15,3,1,82,53
Brock Nelson,NYI,C,72,37,22,59,-5,33,171,5,11,3,0,0,31,43
Mikko Rantanen,COL,RW,75,36,56,92,35,56,254,2,16,19,0,0,58,43
Timo Meier,SJ,LW,77,35,41,76,-3,54,326,8,12,6,0,0,162,61
Mitch Marner,TOR,RW,72,35,62,97,23,16,224,5,6,19,3,1,75,31
Adrian Kempe,LA,C,78,35,19,54,-2,46,247,7,6,10,3,0,111,28
Andrew Mangiapane,CGY,LW,82,35,20,55,20,38,185,8,8,3,2,1,73,32
Josh Norris,OTT,C,66,35,20,55,-7,16,172,8,16,7,0,0,79,44
William Nylander,TOR,C,81,34,46,80,-9,16,256,7,13,18,0,0,19,30
Ryan Hartman,MIN,RW,82,34,31,65,31,95,239,7,1,7,0,0,72,48
Vladimir Tarasenko,STL,RW,75,34,48,82,7,32,230,9,5,17,0,1,83,45
Jeff Skinner,BUF,LW,80,33,30,63,-14,42,262,4,5,6,0,0,29,20
Sam Reinhart,FLA,RW,78,33,49,82,25,13,186,6,16,15,0,2,49,30
Kevin Fiala,LA,LW,82,33,52,85,23,52,262,7,5,12,1,0,52,21
Nathan MacKinnon,COL,C,65,32,56,88,22,42,299,5,7,20,0,0,68,39
J.T. Miller,VAN,C,80,32,67,99,15,47,206,6,8,30,0,2,172,56
Brad Marchand,BOS,LW,70,32,48,80,16,97,242,6,7,20,2,0,78,20
Elias Pettersson,VAN,C,80,32,36,68,1,12,192,3,10,17,2,0,49,43
Sidney Crosby,PIT,C,69,31,53,84,19,32,208,9,8,22,0,0,50,37
Bo Horvat,VAN,C,70,31,21,52,3,40,194,4,13,6,1,0,96,45
Anthony Duclair,FLA,LW,74,31,27,58,19,30,167,5,9,12,0,0,38,16
Dylan Larkin,DET,C,71,31,38,69,-18,47,212,4,6,7,0,1,76,28
Tyler Bertuzzi,DET,LW,68,30,32,62,-11,47,180,5,6,8,1,1,65,41
Pavel Buchnevich,STL,LW,73,30,46,76,29,34,199,3,8,11,2,2,57,15
Tomas Hertl,SJ,LW,82,30,34,64,-9,30,205,6,6,10,0,1,105,57
Gabriel Landeskog,COL,LW,51,30,29,59,27,78,150,5,7,8,0,0,94,34
Jonathan Huberdeau,CGY,LW,80,30,85,115,35,54,222,7,5,33,3,2,99,28
Jonathan Marchessault,VGK,LW,76,30,36,66,3,36,251,4,5,15,0,0,61,17
Brady Tkachuk,OTT,LW,79,30,37,67,-7,117,288,3,9,8,0,0,270,25
Andrei Svechnikov,CAR,RW,78,30,39,69,19,79,249,5,9,13,0,0,189,15
Mika Zibanejad,NYR,C,81,29,52,81,30,12,219,3,15,13,1,4,67,47
Mark Scheifele,WPG,C,67,29,41,70,-17,23,159,3,7,12,0,0,36,47
Nazem Kadri,CGY,C,71,28,59,87,13,71,247,6,8,21,0,0,52,19
Anders Lee,NYI,C,76,28,18,46,-11,34,159,3,9,4,0,0,94,30
Oliver Bjorkstrand,SEA,RW,80,28,29,57,-35,16,215,1,9,10,0,0,85,31
Nikolaj Ehlers,WPG,LW,62,28,27,55,18,20,245,2,4,5,0,0,32,27
Sam Bennett,FLA,LW,71,28,21,49,27,74,241,7,5,4,0,1,119,27
Brayden Point,TB,C,66,28,30,58,-5,33,176,4,10,12,0,0,75,27
Cale Makar,COL,D,77,28,58,86,48,26,240,6,9,25,0,0,95,110
Clayton Keller,ARI,C,67,28,35,63,3,28,177,2,5,6,1,1,17,31
Pierre-Luc Dubois,WPG,C,81,28,32,60,-6,106,233,6,15,4,0,0,112,43
Jordan Kyrou,STL,RW,74,27,48,75,10,20,188,4,5,14,0,1,6,23
Jared McCann,SEA,C,74,27,23,50,-26,33,199,1,8,9,1,0,65,29
John Tavares,TOR,C,79,27,49,76,-8,32,237,3,10,16,0,0,90,44
Joe Pavelski,DAL,RW,82,27,54,81,11,14,216,2,12,13,0,0,104,69
David Perron,DET,RW,67,27,30,57,8,48,177,2,11,15,0,0,80,11
Zach Hyman,EDM,RW,76,27,27,54,-9,36,213,4,5,5,1,3,74,31
Phillip Danault,LA,C,79,27,24,51,14,38,194,5,2,2,0,3,74,49
Ryan Johansen,NSH,C,79,26,37,63,-2,53,118,6,11,13,0,0,72,35
Patrick Kane,CHI,RW,78,26,66,92,-19,18,287,2,9,22,0,0,11,26
Ivan Barbashev,STL,LW,81,26,34,60,4,40,111,2,4,5,1,1,160,28
Joel Eriksson Ek,MIN,C,77,26,23,49,16,28,223,3,12,5,0,0,138,44
Jesper Bratt,NJ,LW,76,26,47,73,0,16,197,6,3,15,0,0,26,30
Patrik Laine,CLS,RW,56,26,30,56,-7,24,167,7,5,9,0,0,34,13
Jack Hughes,NJ,C,49,26,30,56,-16,0,165,2,6,8,0,0,6,15
Brandon Hagel,TB,LW,77,25,19,44,-18,31,125,3,4,2,1,2,63,32
Jake DeBrusk,BOS,LW,77,25,17,42,6,10,184,8,3,1,0,0,62,25
Valeri Nichushkin,COL,LW,62,25,27,52,21,14,180,5,5,4,2,0,89,27
Patrice Bergeron,BOS,C,73,25,40,65,26,32,293,4,8,15,0,3,78,45
Nikita Kucherov,TB,RW,47,25,44,69,1,22,156,1,9,21,0,0,32,7
Alex Killorn,TB,C,82,25,34,59,1,66,164,2,6,8,0,0,88,26
Brandon Saad,STL,LW,78,24,25,49,11,10,158,1,8,5,1,2,20,20
Nino Niederreiter,NSH,RW,75,24,20,44,29,34,144,5,4,1,0,0,119,17
Tyler Seguin,DAL,C,81,24,25,49,-21,30,218,2,3,10,0,0,96,33
Evgeny Kuznetsov,WAS,C,79,24,54,78,7,44,208,4,8,19,3,2,42,25
Bryan Rust,PIT,RW,60,24,34,58,7,14,180,1,9,12,0,0,43,24
James van Riemsdyk,PHI,LW,82,24,14,38,-33,25,186,4,9,0,0,0,34,25
Brayden Schenn,STL,C,62,24,34,58,21,33,111,3,7,10,0,0,119,17
Mats Zuccarello,MIN,RW,70,24,55,79,21,24,159,2,7,21,0,0,36,33
Carter Verhaeghe,FLA,C,78,24,31,55,24,48,167,4,0,3,0,0,50,16
Tom Wilson,WAS,RW,78,24,28,52,13,98,151,5,4,6,2,1,240,55
Tanner Jeannot,NSH,LW,81,24,17,41,2,130,124,5,2,1,1,0,318,64
Yegor Sharangovich,NJ,LW,76,24,22,46,-14,23,168,3,2,1,2,0,30,26
Trevor Zegras,ANH,C,75,23,38,61,-21,50,181,5,9,8,0,0,56,27
Cole Caufield,MON,RW,67,23,20,43,-24,10,188,3,5,8,0,0,18,7
Lucas Raymond,DET,RW,82,23,34,57,-32,16,184,2,5,13,0,0,62,24
Brock Boeser,VAN,RW,71,23,23,46,-5,20,195,6,11,6,0,1,35,26
Nick Schmaltz,ARI,RW,63,23,36,59,1,14,123,4,4,4,0,0,15,28
Michael Bunting,TOR,LW,79,23,40,63,27,80,175,2,2,3,0,0,85,21
Roman Josi,NSH,D,80,23,73,96,13,46,281,2,11,26,0,0,66,133
Marcus Foligno,MIN,LW,74,23,19,42,25,112,98,3,5,2,0,0,238,42
Logan Couture,SJ,C,77,23,33,56,-11,18,199,3,5,12,2,1,92,58
Cam Atkinson,PHI,RW,73,23,27,50,-2,10,215,6,2,3,3,0,20,45
Boone Jenner,CLS,LW,59,23,21,44,-11,22,160,3,8,2,0,0,80,56
Evander Kane,EDM,LW,43,22,17,39,25,60,152,3,3,1,2,1,135,11
Artemi Panarin,NYR,LW,75,22,74,96,21,18,177,5,5,32,0,0,22,14
Jack Roslovic,CLS,RW,81,22,23,45,2,12,131,4,4,3,0,0,60,25
Dylan Strome,WAS,C,69,22,26,48,-6,28,126,2,5,11,0,0,11,33
Teuvo Teravainen,CAR,C,77,22,43,65,22,24,202,2,9,22,2,1,15,30
Andre Burakovsky,SEA,LW,80,22,39,61,12,18,149,5,4,7,0,0,49,34
Tim Stutzle,OTT,LW,79,22,36,58,-27,37,176,4,7,19,1,0,125,52
Ross Colton,TB,LW,79,22,17,39,4,24,159,4,1,4,0,0,153,36
Ilya Mikheyev,VAN,RW,53,21,11,32,16,26,147,4,4,1,4,0,52,18
Nico Hischier,NJ,C,70,21,39,60,-1,17,153,2,4,8,0,2,50,48
Nick Suzuki,MON,C,82,21,40,61,-29,30,186,4,8,12,1,2,89,62
Andrew Copp,DET,C,72,21,32,53,15,16,183,5,3,7,2,1,45,41
Chandler Stephenson,VGK,C,79,21,43,64,5,26,125,3,6,8,1,1,68,44
Jordan Eberle,SEA,RW,79,21,23,44,-28,14,164,2,4,5,0,0,48,40
Ryan O'Reilly,STL,C,78,21,37,58,11,12,168,0,9,7,0,1,20,38
Kyle Okposo,BUF,RW,74,21,24,45,-15,43,174,1,8,6,2,0,59,19
Claude Giroux,OTT,C,75,21,44,65,-5,26,205,0,5,18,0,0,68,16
Paul Stastny,CAR,C,71,21,24,45,14,14,141,2,4,4,0,0,27,27
Vincent Trocheck,NYR,C,81,21,30,51,21,78,168,3,6,6,0,0,185,46
Yanni Gourde,SEA,LW,74,21,27,48,-13,45,127,3,3,4,1,3,77,31
Ryan Strome,ANH,C,74,21,33,54,15,69,161,5,5,9,1,0,41,19
Tyler Toffoli,CGY,RW,74,20,29,49,-5,14,195,1,8,8,2,1,81,24
Taylor Hall,BOS,LW,81,20,41,61,11,42,217,3,7,8,0,0,55,36
Rickard Rakell,PIT,C,70,20,21,41,0,12,184,2,5,5,0,0,99,44
Evgeni Malkin,PIT,C,41,20,22,42,-10,24,129,5,9,11,0,0,21,18
Evgenii Dadonov,MON,RW,78,20,23,43,4,18,177,4,5,3,0,0,65,25
Victor Hedman,TB,D,82,20,65,85,26,36,219,6,6,32,0,0,93,129
Lawson Crouse,ARI,LW,65,20,14,34,-9,52,131,4,3,4,1,0,181,36
Victor Olofsson,BUF,LW,72,20,29,49,-16,6,164,6,7,5,0,1,10,15
Viktor Arvidsson,LA,LW,66,20,29,49,1,22,227,3,4,4,0,0,23,45
Robert Thomas,STL,C,72,20,57,77,17,16,115,6,3,11,2,1,13,25
Kailer Yamamoto,EDM,LW,81,20,21,41,-1,40,114,4,3,3,1,1,114,36
Alexis Lafreniere,NYR,LW,79,19,12,31,2,37,110,4,0,2,0,0,108,26
Evan Rodrigues,COL,C,82,19,24,43,3,14,243,2,7,1,0,0,89,30
Conor Sheary,WAS,LW,71,19,24,43,-2,14,129,5,2,4,0,0,45,44
Conor Garland,VAN,RW,77,19,33,52,18,36,203,3,1,2,0,0,52,22
Josh Anderson,MON,RW,69,19,13,32,-25,65,151,1,2,1,0,0,153,35
Artturi Lehkonen,COL,LW,74,19,19,38,1,22,155,2,2,1,2,0,82,39
Corey Perry,TB,RW,82,19,21,40,9,66,153,4,6,2,0,0,73,28
Jeff Carter,PIT,C,76,19,26,45,-8,38,200,2,3,3,1,0,99,50
Anze Kopitar,LA,C,81,19,48,67,-6,14,210,4,6,16,0,1,72,71
Max Pacioretty,CAR,LW,39,19,18,37,8,33,148,4,4,8,0,0,30,21
Adam Henrique,ANH,C,58,19,23,42,-2,14,141,0,6,5,0,0,22,47
Gustav Nyquist,CLS,RW,82,18,35,53,-12,26,122,0,4,6,4,0,41,51
Jean-Gabriel Pageau,NYI,C,77,18,21,39,0,30,126,0,4,3,1,3,171,53
Ondrej Palat,NJ,LW,77,18,31,49,15,20,143,5,1,5,0,1,124,42
Jamie Benn,DAL,C,82,18,28,46,-13,88,182,2,3,8,1,0,143,60
J.T. Compher,COL,C,70,18,15,33,6,25,102,0,4,2,1,0,31,55
Erik Haula,NJ,C,78,18,26,44,19,47,141,3,2,2,0,0,129,36
Frank Vatrano,ANH,LW,71,18,14,32,4,22,161,3,1,1,0,0,68,26
Danton Heinen,PIT,C,76,18,15,33,6,16,138,1,3,1,0,0,66,33
Anton Lundell,FLA,C,65,18,26,44,33,18,125,4,1,3,1,3,26,56
Alex Formenton,OTT,LW,79,18,14,32,-13,59,162,1,0,0,5,1,101,24
Mason Marchment,DAL,LW,54,18,29,47,29,53,121,2,1,1,0,0,114,9
Dillon Dube,CGY,C,79,18,14,32,1,20,143,1,2,1,1,2,87,15
Trevor Moore,LA,LW,81,17,31,48,20,20,202,1,1,1,5,1,69,32
Alex Iafallo,LA,C,79,17,20,37,4,8,215,2,3,3,1,1,48,53
Drake Batherson,OTT,RW,46,17,27,44,4,32,110,3,3,11,0,0,89,15
Joel Farabee,PHI,LW,63,17,17,34,-11,50,119,1,1,2,1,0,73,38
Seth Jarvis,CAR,RW,68,17,23,40,11,18,110,4,2,4,0,0,69,21
