Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Boston Bruins,29.6,66,50,11,5,105,.795,246,145,2,3,1.51,0.00,3.73,2.20,50,222,22.52,32,218,85.32,8,6,9.8,9.7,2183,11.3,1947,.926,5
2,Carolina Hurricanes,29.2,66,44,14,8,96,.727,218,166,4,2,0.80,-0.02,3.30,2.52,45,212,21.23,34,212,83.96,11,5,7.9,7.8,2304,9.5,1699,.902,8
3,New Jersey Devils,26.6,67,44,17,6,94,.701,234,178,2,3,0.81,-0.01,3.49,2.66,40,187,21.39,34,191,82.20,6,7,7.7,8.1,2297,10.2,1889,.906,4
4,Vegas Golden Knights,28.9,68,42,20,6,90,.662,218,185,4,3,0.44,-0.06,3.21,2.72,36,169,21.30,33,162,79.63,8,2,7.2,8.0,2172,10.0,2095,.912,3
5,Toronto Maple Leafs,28.4,66,40,18,8,88,.667,226,178,0,1,0.69,-0.03,3.42,2.70,51,199,25.63,38,197,80.71,7,7,8.2,8.4,2122,10.7,1906,.907,4
6,Dallas Stars,28.2,68,37,18,13,87,.640,233,182,3,3,0.71,-0.05,3.43,2.68,50,207,24.15,36,212,83.02,9,3,8.3,8.4,2211,10.5,2088,.913,5
7,Los Angeles Kings,28.7,68,39,20,9,87,.640,227,221,6,2,0.15,0.00,3.34,3.25,56,228,24.56,55,229,75.98,5,8,8.6,9.3,2205,10.3,1919,.885,2
8,New York Rangers,27.5,67,38,19,10,86,.642,218,187,4,2,0.50,0.01,3.25,2.79,48,204,23.53,39,192,79.69,8,5,7.8,9.2,2131,10.2,1959,.905,1
9,Tampa Bay Lightning,29.8,68,40,22,6,86,.632,235,205,2,2,0.42,-0.02,3.46,3.01,60,236,25.42,43,214,79.91,5,11,11.9,12.7,2190,10.7,2123,.903,3
10,Minnesota Wild,29.1,67,38,21,8,84,.627,188,174,7,4,0.19,-0.07,2.81,2.60,46,208,22.12,38,210,81.90,8,2,11.3,11.6,2101,8.9,2024,.914,5
11,Edmonton Oilers,27.8,68,37,23,8,82,.603,264,226,0,4,0.49,-0.01,3.88,3.32,74,234,31.62,60,240,75.00,12,6,9.1,9.3,2261,11.7,2162,.895,0
12,Seattle Kraken,29.0,67,37,23,7,81,.604,234,213,0,3,0.27,0.00,3.49,3.18,39,195,20.00,50,194,74.23,4,8,8.0,8.1,2020,11.6,1857,.885,3
13,Colorado Avalanche,28.0,65,37,22,6,80,.615,210,182,4,3,0.47,0.02,3.23,2.80,50,206,24.27,42,200,79.00,5,2,8.6,9.6,2171,9.7,2045,.911,5
14,Winnipeg Jets,28.5,68,38,27,3,79,.581,211,193,1,1,0.24,-0.03,3.10,2.84,47,219,21.46,34,199,82.91,5,6,8.5,9.1,2055,10.3,2117,.909,3
15,Pittsburgh Penguins,30.9,67,34,23,10,78,.582,220,215,1,1,0.10,0.03,3.28,3.21,51,233,21.89,43,214,79.91,5,5,8.5,9.3,2280,9.6,2243,.904,1
16,New York Islanders,29.3,69,34,27,8,76,.551,198,187,0,5,0.13,0.04,2.87,2.71,32,194,16.49,35,197,82.23,4,5,8.5,8.3,2102,9.4,2176,.914,7
17,Nashville Predators,28.6,65,34,24,7,75,.577,184,188,4,2,-0.13,-0.10,2.83,2.89,38,203,18.72,40,217,81.57,3,6,10.0,9.3,1977,9.3,2174,.914,1
18,Calgary Flames,29.7,68,30,24,14,74,.544,207,205,2,3,0.02,0.00,3.04,3.01,41,212,19.34,42,230,81.74,8,5,9.7,8.7,2424,8.5,1854,.889,1
19,Florida Panthers,28.5,67,33,27,7,73,.545,227,225,2,1,0.10,0.05,3.39,3.36,50,226,22.12,63,245,74.29,5,7,12.2,11.2,2473,9.2,2132,.894,2
20,Washington Capitals,31.0,68,32,29,7,71,.522,210,202,1,3,0.11,0.02,3.09,2.97,42,209,20.10,33,189,82.54,4,5,8.0,9.1,2123,9.9,2068,.902,5
21,Buffalo Sabres,26.2,66,33,28,5,71,.538,241,238,1,1,0.08,0.03,3.65,3.61,54,218,24.77,51,188,72.87,8,7,7.6,8.4,2132,11.3,2200,.892,1
22,Ottawa Senators,27.5,67,33,30,4,70,.522,208,218,2,0,-0.14,-0.02,3.10,3.25,59,253,23.32,42,244,82.79,8,10,11.7,11.3,2211,9.4,2122,.897,3
23,Detroit Red Wings,27.2,67,30,28,9,69,.515,198,216,2,3,-0.26,0.02,2.96,3.22,49,232,21.12,44,203,78.33,5,11,8.2,8.9,1927,10.3,2066,.895,3
24,St. Louis Blues,29.4,66,29,32,5,63,.477,202,241,3,1,-0.57,-0.01,3.06,3.65,39,195,20.00,38,164,76.83,7,9,7.0,7.6,1907,10.6,2140,.887,3
25,Vancouver Canucks,27.4,66,29,32,5,63,.477,222,250,4,2,-0.35,0.04,3.36,3.79,50,220,22.73,61,195,68.72,11,11,9.2,10.3,1998,11.1,2047,.878,0
26,Arizona Coyotes,26.5,68,25,32,11,61,.449,189,237,3,3,-0.70,0.01,2.78,3.49,38,199,19.10,62,254,75.59,5,3,10.9,8.8,1754,10.8,2445,.903,4
27,Montreal Canadiens,27.2,68,27,35,6,60,.441,186,246,4,2,-0.83,0.03,2.74,3.62,32,201,15.92,62,225,72.44,4,3,11.8,9.4,1869,10.0,2304,.893,1
28,Philadelphia Flyers,26.8,67,24,32,11,59,.440,171,221,1,1,-0.67,0.08,2.55,3.30,28,188,14.89,49,192,74.48,11,8,10.3,9.4,1970,8.7,2095,.895,2
29,Anaheim Ducks,28.2,67,22,35,10,54,.403,169,268,3,3,-1.45,0.03,2.52,4.00,30,188,15.96,61,225,72.89,1,6,11.4,10.0,1936,8.7,2621,.898,1
30,Chicago Blackhawks,28.7,67,23,38,6,52,.388,169,237,2,2,-1.01,0.01,2.52,3.54,33,197,16.75,46,195,76.41,6,8,9.1,9.5,1786,9.5,2289,.896,2
31,San Jose Sharks,29.5,68,19,36,13,51,.375,197,257,1,6,-1.00,-0.04,2.90,3.78,34,185,18.38,36,208,82.69,3,9,8.5,8.0,2034,9.7,2148,.880,3
32,Columbus Blue Jackets,26.7,66,21,38,7,49,.371,174,248,1,1,-1.07,0.06,2.64,3.76,31,175,17.71,47,199,76.38,5,8,8.2,7.0,1943,9.0,2315,.893,0
,League Average,28.4,67,34,26,8,75,.558,210,210,,,,,,,44,208,21.39,44,208,78.61,6,6,9.2,9.2,2102,10.0,2102,.900,3
