name,stattrak,weapon,skin,condition,sell_price,sell_listings,url,is_key,is_case,type,prices,items,collection,is_package
Prisma Case,FALSE,Case,n/a,n/a,0.05,1360192,https://steamcommunity.com/market/listings/730/Prisma%20Case,FALSE,TRUE,Base Grade Container,"             date   price  volume
0     Mar 13 2019  22.580      95
1     Mar 14 2019   9.714   43221
2     Mar 15 2019   6.707   44595
3     Mar 16 2019   5.085   55248
4     Mar 17 2019   5.214   50975
...           ...     ...     ...
1367  Mar 09 2021   0.030    5116
1368  Mar 10 2021   0.031    4360
1369  Mar 10 2021   0.031    3548
1370  Mar 10 2021   0.031    2743
1371  Mar 10 2021   0.032    3057

[1372 rows x 3 columns]","[('FAMAS', 'Crypsis', 'Mil-Spec'), ('AK-47', 'Uncharted', 'Mil-Spec'), ('MAC-10', 'Whitefish', 'Mil-Spec'), ('Galil AR', 'Akoben', 'Mil-Spec'), ('MP7', 'Mischief', 'Mil-Spec'), ('P250', 'Verdigris', 'Mil-Spec'), ('P90', 'Off World', 'Mil-Spec'), ('AWP', 'Atheris', 'Restricted'), ('Tec-9', 'Bamboozle', 'Restricted'), ('Desert Eagle', 'Light Rail', 'Restricted'), ('MP5-SD', 'Gauss', 'Restricted'), ('UMP-45', 'Moonrise', 'Restricted'), ('R8 Revolver', 'Skull Crusher', 'Classified'), ('AUG', 'Momentum', 'Classified'), ('XM1014', 'Incinegator', 'Classified'), ('Five-SeveN', 'Angry Mob', 'Covert'), ('M4A4', 'The Emperor', 'Covert')]",,
Prisma 2 Case,FALSE,Case,n/a,n/a,0.06,479947,https://steamcommunity.com/market/listings/730/Prisma%202%20Case,FALSE,TRUE,Base Grade Container,"            date   price  volume
0    Mar 31 2020  19.980     204
1    Apr 01 2020   8.811   72019
2    Apr 02 2020   5.493   61762
3    Apr 03 2020   4.772   57591
4    Apr 04 2020   4.165   61528
..           ...     ...     ...
983  Mar 09 2021   0.054    3758
984  Mar 10 2021   0.040    2346
985  Mar 10 2021   0.042    3891
986  Mar 10 2021   0.040    2250
987  Mar 10 2021   0.040    1803

[988 rows x 3 columns]","[('AUG', 'Tom Cat', 'Mil-Spec'), ('AWP', 'Capillary', 'Mil-Spec'), ('CZ75-Auto', 'Distressed', 'Mil-Spec'), ('Desert Eagle', 'Blue Ply', 'Mil-Spec'), ('MP5-SD', 'Desert Strike', 'Mil-Spec'), ('Negev', 'Prototype', 'Mil-Spec'), ('R8 Revolver', 'Bone Forged', 'Mil-Spec'), ('P2000', 'Acid Etched', 'Restricted'), ('Sawed-Off', 'Apocalypto', 'Restricted'), ('SCAR-20', 'Enforcer', 'Restricted'), ('SG 553', 'Darkwing', 'Restricted'), ('SSG 08', 'Fever Dream', 'Restricted'), ('AK-47', 'Phantom Disruptor', 'Classified'), ('MAC-10', 'Disco Tech', 'Classified'), ('MAG-7', 'Justice', 'Classified'), ('M4A1-S', 'Player Two', 'Covert'), ('Glock-18', 'Bullet Queen', 'Covert')]",,
Danger Zone Case,FALSE,Case,n/a,n/a,0.07,863490,https://steamcommunity.com/market/listings/730/Danger%20Zone%20Case,FALSE,TRUE,Base Grade Container,"             date  price  volume
0     Dec 06 2018  9.936    6244
1     Dec 07 2018  5.453   56834
2     Dec 08 2018  3.300   60651
3     Dec 09 2018  2.574   55323
4     Dec 10 2018  2.719   38455
...           ...    ...     ...
1464  Mar 09 2021  0.055    5119
1465  Mar 10 2021  0.071    3860
1466  Mar 10 2021  0.056    3568
1467  Mar 10 2021  0.070    2271
1468  Mar 10 2021  0.071    2251

[1469 rows x 3 columns]","[('MP9', 'Modest Threat', 'Mil-Spec'), ('Glock-18', 'Oxide Blaze', 'Mil-Spec'), ('Nova', 'Wood Fired', 'Mil-Spec'), ('M4A4', 'Magnesium', 'Mil-Spec'), ('Sawed-Off', 'Black Sand', 'Mil-Spec'), ('SG 553', 'Danger Close', 'Mil-Spec'), ('Tec-9', 'Fubar', 'Mil-Spec'), ('G3SG1', 'Scavenger', 'Restricted'), ('Galil AR', 'Signal', 'Restricted'), ('MAC-10', 'Pipe Down', 'Restricted'), ('P250', 'Nevermore', 'Restricted'), ('USP-S', 'Flashback', 'Restricted'), ('UMP-45', 'Momentum', 'Classified'), ('Desert Eagle', 'Mecha Industries', 'Classified'), ('MP5-SD', 'Phosphor', 'Classified'), ('AK-47', 'Asiimov', 'Covert'), ('AWP', 'Neo-Noir', 'Covert')]",,
Revolver Case,FALSE,Case,n/a,n/a,0.08,289503,https://steamcommunity.com/market/listings/730/Revolver%20Case,FALSE,TRUE,Base Grade Container,"             date  price  volume
0     Dec 09 2015  8.262  132808
1     Dec 10 2015  4.011  130328
2     Dec 11 2015  2.788  126642
3     Dec 12 2015  1.707  145214
4     Dec 13 2015  1.181  142921
...           ...    ...     ...
2557  Mar 09 2021  0.070    1860
2558  Mar 09 2021  0.071    2433
2559  Mar 10 2021  0.070    1110
2560  Mar 10 2021  0.070    1383
2561  Mar 10 2021  0.080    1798

[2562 rows x 3 columns]","[('R8 Revolver', 'Crimson Web', 'Mil-Spec'), ('AUG', 'Ricochet', 'Mil-Spec'), ('Desert Eagle', 'Corinthian', 'Mil-Spec'), ('P2000', 'Imperial', 'Mil-Spec'), ('Sawed-Off', 'Yorick', 'Mil-Spec'), ('SCAR-20', 'Outbreak', 'Mil-Spec'), ('PP-Bizon', 'Fuel Rod', 'Restricted'), ('Five-SeveN', 'Retrobution', 'Restricted'), ('Negev', 'Power Loader', 'Restricted'), ('SG 553', 'Tiger Moth', 'Restricted'), ('Tec-9', 'Avalanche', 'Restricted'), ('XM1014', 'Teclu Burner', 'Restricted'), ('AK-47', 'Point Disarray', 'Classified'), ('G3SG1', 'The Executioner', 'Classified'), ('P90', 'Shapewood', 'Classified'), ('M4A4', 'Royal Paladin', 'Covert'), ('R8 Revolver', 'Fade', 'Covert')]",,
Horizon Case,FALSE,Case,n/a,n/a,0.08,404179,https://steamcommunity.com/market/listings/730/Horizon%20Case,FALSE,TRUE,Base Grade Container,"             date  price  volume
0     Aug 03 2018  9.350   39644
1     Aug 04 2018  5.898   38779
2     Aug 05 2018  4.899   38891
3     Aug 06 2018  4.212   37353
4     Aug 07 2018  3.625   36428
...           ...    ...     ...
1589  Mar 09 2021  0.059    1443
1590  Mar 09 2021  0.070    1018
1591  Mar 10 2021  0.070     782
1592  Mar 10 2021  0.058     695
1593  Mar 10 2021  0.058     903

[1594 rows x 3 columns]","[('AUG', 'Amber Slipstream', 'Mil-Spec'), ('Dual Berettas', 'Shred', 'Mil-Spec'), ('Glock-18', 'Warhawk', 'Mil-Spec'), ('MP9', 'Capillary', 'Mil-Spec'), ('P90', 'Traction', 'Mil-Spec'), ('R8 Revolver', 'Survivalist', 'Mil-Spec'), ('Tec-9', 'Snek-9', 'Mil-Spec'), ('CZ75-Auto', 'Eco', 'Restricted'), ('G3SG1', 'High Seas', 'Restricted'), ('Nova', 'Toy Soldier', 'Restricted'), ('AWP', 'PAW', 'Restricted'), ('MP7', 'Powercore', 'Restricted'), ('M4A1-S', 'Nightmare', 'Classified'), ('Sawed-Off', 'Devourer', 'Classified'), ('FAMAS', 'Eye of Athena', 'Classified'), ('AK-47', 'Neon Rider', 'Covert'), ('Desert Eagle', 'Code Red', 'Covert')]",,
Chroma 3 Case,FALSE,Case,n/a,n/a,0.09,260629,https://steamcommunity.com/market/listings/730/Chroma%203%20Case,FALSE,TRUE,Base Grade Container,"             date  price  volume
0     Apr 28 2016  8.368   54074
1     Apr 29 2016  5.374   58197
2     Apr 30 2016  3.836   63985
3     May 01 2016  3.066   62250
4     May 02 2016  2.829   50742
...           ...    ...     ...
2416  Mar 09 2021  0.079    1372
2417  Mar 10 2021  0.071     871
2418  Mar 10 2021  0.069    1197
2419  Mar 10 2021  0.066    2296
2420  Mar 10 2021  0.080    2126

[2421 rows x 3 columns]","[('Dual Berettas', 'Ventilators', 'Mil-Spec'), ('G3SG1', 'Orange Crash', 'Mil-Spec'), ('M249', 'Spectre', 'Mil-Spec'), ('MP9', 'Bioleak', 'Mil-Spec'), ('P2000', 'Oceanic', 'Mil-Spec'), ('Sawed-Off', 'Fubar', 'Mil-Spec'), ('SG 553', 'Atlas', 'Mil-Spec'), ('CZ75-Auto', 'Red Astor', 'Restricted'), ('Galil AR', 'Firefight', 'Restricted'), ('SSG 08', 'Ghost Crusader', 'Restricted'), ('Tec-9', 'Re-Entry', 'Restricted'), ('XM1014', 'Black Tie', 'Restricted'), ('AUG', 'Fleet Flock', 'Classified'), ('P250', 'Asiimov', 'Classified'), ('UMP-45', 'Primal Saber', 'Classified'), ('PP-Bizon', 'Judgement of Anubis', 'Covert')]",,
CS20 Case,FALSE,Case,n/a,n/a,0.14,244437,https://steamcommunity.com/market/listings/730/CS20%20Case,FALSE,TRUE,Base Grade Container,"             date  price  volume
0     Oct 18 2019  6.499   55948
1     Oct 19 2019  3.557  267246
2     Oct 20 2019  1.914  227959
3     Oct 21 2019  1.625  165652
4     Oct 22 2019  1.200  166224
...           ...    ...     ...
1148  Mar 09 2021  0.122    1248
1149  Mar 10 2021  0.125     900
1150  Mar 10 2021  0.130    1028
1151  Mar 10 2021  0.126     592
1152  Mar 10 2021  0.127     980

[1153 rows x 3 columns]","[('Tec-9', 'Flash Out', 'Mil-Spec'), ('MAC-10', 'Classic Crate', 'Mil-Spec'), ('MAG-7', 'Popdog', 'Mil-Spec'), ('SCAR-20', 'Assault', 'Mil-Spec'), ('FAMAS', 'Decommissioned', 'Mil-Spec'), ('Glock-18', 'Sacrifice', 'Mil-Spec'), ('M249', 'Aztec', 'Restricted'), ('MP5-SD', 'Agent', 'Restricted'), ('Five-SeveN', 'Buddy', 'Restricted'), ('P250', 'Inferno', 'Restricted'), ('UMP-45', 'Plastique', 'Restricted'), ('MP9', 'Hydra', 'Classified'), ('P90', 'Nostalgia', 'Classified'), ('AUG', 'Death by Puppy', 'Classified'), ('AWP', 'Wildfire', 'Covert'), ('FAMAS', 'Commemoration', 'Covert')]",,
Spectrum 2 Case,FALSE,Case,n/a,n/a,0.16,219595,https://steamcommunity.com/market/listings/730/Spectrum%202%20Case,FALSE,TRUE,Base Grade Container,"             date   price  volume
0     Sep 14 2017  19.998     119
1     Sep 15 2017   6.390   52778
2     Sep 16 2017   3.357   56599
3     Sep 17 2017   2.423   53560
4     Sep 18 2017   2.277   42196
...           ...     ...     ...
1912  Mar 09 2021   0.141    4402
1913  Mar 09 2021   0.143    3402
1914  Mar 10 2021   0.143    1800
1915  Mar 10 2021   0.142    2463
1916  Mar 10 2021   0.143    2133

[1917 rows x 3 columns]","[('Sawed-Off', 'Morris', 'Mil-Spec'), ('AUG', 'Triqua', 'Mil-Spec'), ('G3SG1', 'Hunter', 'Mil-Spec'), ('Glock-18', 'Off World', 'Mil-Spec'), ('MAC-10', 'Oceanic', 'Mil-Spec'), ('Tec-9', 'Cracked Opal', 'Mil-Spec'), ('SCAR-20', 'Jungle Slipstream', 'Mil-Spec'), ('MP9', 'Goo', 'Restricted'), ('SG 553', 'Phantom', 'Restricted'), ('CZ75-Auto', 'Tacticat', 'Restricted'), ('UMP-45', 'Exposure', 'Restricted'), ('XM1014', 'Ziggy', 'Restricted'), ('PP-Bizon', 'High Roller', 'Classified'), ('M4A1-S', 'Leaded Glass', 'Classified'), ('R8 Revolver', 'Llama Cannon', 'Classified'), ('AK-47', 'The Empress', 'Covert'), ('P250', 'See Ya Later', 'Covert')]",,
Shadow Case,FALSE,Case,n/a,n/a,0.18,58181,https://steamcommunity.com/market/listings/730/Shadow%20Case,FALSE,TRUE,Base Grade Container,"             date  price  volume
0     Sep 18 2015  8.336  160050
1     Sep 19 2015  4.595  188373
2     Sep 20 2015  3.230  179153
3     Sep 21 2015  3.187  128185
4     Sep 22 2015  2.603  126369
...           ...    ...     ...
2639  Mar 09 2021  0.190     415
2640  Mar 09 2021  0.191     495
2641  Mar 10 2021  0.190     283
2642  Mar 10 2021  0.190     187
2643  Mar 10 2021  0.180     626

[2644 rows x 3 columns]","[('Dual Berettas', 'Dualing Dragons', 'Mil-Spec'), ('FAMAS', 'Survivor Z', 'Mil-Spec'), ('Glock-18', 'Wraiths', 'Mil-Spec'), ('MAC-10', 'Rangeen', 'Mil-Spec'), ('MAG-7', 'Cobalt Core', 'Mil-Spec'), ('SCAR-20', 'Green Marine', 'Mil-Spec'), ('XM1014', 'Scumbria', 'Mil-Spec'), ('Galil AR', 'Stone Cold', 'Restricted'), ('M249', 'Nebula Crusader', 'Restricted'), ('MP7', 'Special Delivery', 'Restricted'), ('P250', 'Wingshot', 'Restricted'), ('AK-47', 'Frontside Misty', 'Classified'), ('G3SG1', 'Flux', 'Classified'), ('SSG 08', 'Big Iron', 'Classified'), ('M4A1-S', 'Golden Coil', 'Covert'), ('USP-S', 'Kill Confirmed', 'Covert')]",,
Gamma Case,FALSE,Case,n/a,n/a,0.21,90270,https://steamcommunity.com/market/listings/730/Gamma%20Case,FALSE,TRUE,Base Grade Container,"             date   price  volume
0     Jun 16 2016  10.789   65943
1     Jun 17 2016   7.049   58459
2     Jun 18 2016   5.918   58243
3     Jun 19 2016   5.097   57399
4     Jun 20 2016   4.557   53421
...           ...     ...     ...
2367  Mar 09 2021   0.206    2213
2368  Mar 10 2021   0.208    1285
2369  Mar 10 2021   0.208    1276
2370  Mar 10 2021   0.214    1044
2371  Mar 10 2021   0.215     976

[2372 rows x 3 columns]","[('Five-SeveN', 'Violent Daimyo', 'Mil-Spec'), ('MAC-10', 'Carnivore', 'Mil-Spec'), ('Nova', 'Exo', 'Mil-Spec'), ('P250', 'Iron Clad', 'Mil-Spec'), ('PP-Bizon', 'Harvester', 'Mil-Spec'), ('SG 553', 'Aerial', 'Mil-Spec'), ('Tec-9', 'Ice Cap', 'Mil-Spec'), ('AUG', 'Aristocrat', 'Restricted'), ('AWP', 'Phobos', 'Restricted'), ('P90', 'Chopper', 'Restricted'), ('R8 Revolver', 'Reboot', 'Restricted'), ('Sawed-Off', 'Limelight', 'Restricted'), ('M4A4', 'Desolate Space', 'Classified'), ('P2000', 'Imperial Dragon', 'Classified'), ('SCAR-20', 'Bloodsport', 'Classified'), ('Glock-18', 'Wasteland Rebel', 'Covert'), ('M4A1-S', 'Mecha Industries', 'Covert')]",,
