Name,Pick Rate,Kill Rate,KD 0,KD 1,KD 2,KD 3,KD 4,Licensed?,Spookiness Rating
Huntress,7.81,47.82,26.31,20.89,11.85,17.15,23.8,N,6
Mastermind,6.77,53.99,20.77,17.75,14.98,17.75,28.75,Y,4
Knight,5.59,49.75,24.24,18.69,14.84,18.26,23.97,N,5
Skull Merchant,6.22,60.06,16.39,17.81,11.35,18.06,36.39,N,2
Blight,4.89,53.67,22.33,17,13.17,18.67,28.83,N,7
Legion,4.75,52.63,22.97,18.31,12.44,17.79,28.49,N,2
Ghost Face,4.28,50.62,25.29,18.39,13.41,14.37,28.54,Y,5
Nemesis,4.04,50.64,25.4,19.44,11.11,15.28,28.77,Y,7
Wraith,4.05,54.83,22.18,17.45,12.73,14.17,33.47,N,7
Nurse,3.86,53.23,24.58,17.16,9.96,17.37,30.93,N,6
Spirit,3.9,58.83,17.45,15.74,13.4,20.85,32.56,N,7
Shape,3.73,53.36,16.96,22.69,15.86,18.94,25.55,Y,8
Cannibal,3.48,51.27,15.67,24.19,15.86,15.9,22.35,Y,7
Trapper,2.94,55.36,18.11,17.83,18.11,16.43,29.54,N,6
Doctor,2.79,53.35,25.61,14.94,10.98,17.38,31.09,N,8
Deathslinger,2.8,51.57,23.93,15.1,15.95,20.8,24.22,N,6
Executioner,2.45,54.62,19.8,18.48,14.19,18.48,29.05,Y,7
Plague,2.38,55.53,18.03,18.03,15.31,21.09,27.54,N,5
Oni,2.29,52.54,21.75,18.25,13.68,20.7,25.62,N,8
Cenobite,2.26,58.39,19.43,16.25,10.95,18.02,35.35,Y,5
Clown,2.11,52.72,20.62,19.84,15.56,15.95,28.03,N,5
Onryo,1.98,49.18,27.76,17.55,11.43,16.73,26.53,Y,7
Pig,1.98,54.42,21.55,20.26,9.48,16.38,32.33,Y,4
Hillbilly,1.99,53.5,24.28,15.64,12.35,17.28,30.45,N,7
Demogorgon,1.93,46.43,26.89,22.69,11.76,15.13,23.53,Y,8
Trickster,1.88,48.31,21.94,22.36,19.83,12.24,23.63,N,2
Dredge,1.75,55.09,23.15,16.2,11.57,15.28,33.8,N,9
Artist,1.73,59.48,19.43,15.17,8.06,22.75,34.59,N,5
Nightmare,1.51,51.17,25.52,19.79,8.85,16.15,29.69,Y,5
Hag,1.09,51.27,26.09,18.12,10.14,15.94,29.71,N,8
Twins,0.75,57.29,17.71,21.88,10.42,13.54,36.45,N,5
