Item,Sku Name,Sku Size,Style,Order Number,Price,Price Currency,Final Payout Amount,Final Payout Currency,Payout Method,Sale Date,Status,Seller Tracking Number,Payout ID
Fear of God Essentials Hoodie Egg Shell,Essentials,XS,N/A,47494731-47394490,101,USD,84.97,USD,ACH,2023-02-01 21:29:59 +00,Delivered,1Z8131R99060573627,""
Fear of God Essentials Hoodie Off Black,Essentials,XS,N/A,47497662-47397421,104,USD,87.88,USD,ACH,2023-02-01 23:01:26 +00,Delivered,1Z8131R99089328482,""
Crocs Pollex Clog by Salehe Bembury Tide,by Salehe Bembury Tide,10,207393-4ST,47896055-47795814,79,USD,67.63,USD,ACH,2023-02-13 20:47:17 +00,Delivered,1Z45057R9030457204,""
Crocs Classic Clog Cinnamon Toast Crunch,Cinnamon Toast Crunch,11,207920-2E9,47807897-47707656,99,USD,87.03,USD,ACH,2023-02-10 22:51:15 +00,Delivered,1Z45057R9066137591,""
Jordan 1 High Zoom Air CMFT PSG Paris Saint-Germain,PSG Paris Saint-Germain,8.5,DB3610-105,47837145-47736904,264,USD,233.64,USD,ACH,2023-02-11 21:02:07 +00,Delivered,1Z45057R9066137591,""
adidas Yeezy Slide Pure (First Release),Pure (First Release),12,GZ5554,47848086-47747845,209,USD,184.97,USD,ACH,2023-02-12 04:14:36 +00,Delivered,1Z45057R9066137591,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),12W,DC0774-041,47915982-47815741,130,USD,115.05,USD,ACH,2023-02-14 12:43:47 +00,Delivered,1Z45057R9030457204,""
Jordan 1 Low Mocha,Mocha,10,DC6991-200,47912770-47812529,207,USD,183.2,USD,ACH,2023-02-14 09:10:56 +00,Delivered,1Z45057R9030457204,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),10W,DC0774-041,47857969-47757728,138,USD,122.13,USD,ACH,2023-02-12 15:49:59 +00,Delivered,1Z45057R9030457204,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),9W,DC0774-041,47857937-47757696,138,USD,122.13,USD,ACH,2023-02-12 15:48:40 +00,Delivered,1Z45057R9030457204,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),10.5W,DC0774-041,47884702-47784461,146,USD,129.21,USD,ACH,2023-02-13 13:53:06 +00,Delivered,1Z45057R9030457204,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),10W,DC0774-041,47857958-47757717,138,USD,122.13,USD,ACH,2023-02-12 15:49:31 +00,Delivered,1Z45057R9030457204,""
Jordan 2 Retro J Balvin,J Balvin,12.5,DQ7691-419,47902177-47801936,177,USD,156.65,USD,ACH,2023-02-14 00:24:41 +00,Delivered,1Z45057R9030457204,""
Jordan 1 Mid Shadow Red,Shadow Red,10.5,554724-096,47904499-47804258,156,USD,138.06,USD,ACH,2023-02-14 01:49:24 +00,Delivered,1Z45057R9030457204,""
Jordan 1 Retro Low Golf UNC,UNC,9,DD9315-100,47854860-47754619,175,USD,154.88,USD,ACH,2023-02-12 13:17:15 +00,Delivered,1Z45057R9066137591,""
Jordan 13 Retro French Blue (GS),French Blue (GS),7Y,DJ3003-164,47843966-47743725,106,USD,93.81,USD,ACH,2023-02-12 01:09:17 +00,Delivered,1Z45057R9066137591,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),9W,DC0774-041,47856942-47756701,137,USD,121.25,USD,ACH,2023-02-12 15:00:53 +00,Delivered,1Z45057R9066137591,""
Jordan 1 Mid Shadow Red (GS),Shadow Red (GS),5.5Y,554725-096,47865702-47765461,107,USD,94.7,USD,ACH,2023-02-12 20:27:37 +00,Delivered,1Z45057R9030457204,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),7W,DC0774-041,47875177-47774936,159,USD,140.72,USD,ACH,2023-02-13 02:46:12 +00,Delivered,1Z45057R9030457204,""
Nike Air Force 1 Low SP Supreme Wheat,Supreme Wheat,9.5,DN1555-200,47815731-47715490,175,USD,154.88,USD,ACH,2023-02-11 03:41:03 +00,Delivered,1Z45057R9066137591,""
Jordan 1 Retro High OG Patent Bred (GS),Patent Bred (GS),3.5Y,575441-063,47887776-47787535,171,USD,151.34,USD,ACH,2023-02-13 16:10:56 +00,Delivered,1Z45057R9030457204,""
Nike Dunk Low White Black (2022) (Women's),White Black (2022) (Women's),7W,DD1503-113,47832089-47731848,169,USD,149.57,USD,ACH,2023-02-11 18:17:56 +00,Delivered,1Z45057R9066137591,""
Jordan 13 Retro French Blue (GS),French Blue (GS),7Y,DJ3003-164,47849662-47749421,108,USD,95.58,USD,ACH,2023-02-12 05:37:12 +00,Delivered,1Z45057R9066137591,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),8W,DC0774-041,47848328-47748087,163,USD,144.26,USD,ACH,2023-02-12 04:25:16 +00,Delivered,1Z45057R9066137591,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),7.5W,DC0774-041,47857916-47757675,143,USD,126.56,USD,ACH,2023-02-12 15:47:52 +00,Delivered,1Z45057R9066137591,""
Jordan 1 Retro High OG Chicago Lost and Found (PS),Chicago Lost and Found (PS),13C,FD1412-612,47805066-47704825,95,USD,83.15,USD,ACH,2023-02-10 21:15:36 +00,Delivered,1Z45057R9066137591,""
Nike Air VaporMax Plus Tennis Ball,Tennis Ball,10.5,DJ5975-100,47743207-47642966,115,USD,101.78,USD,ACH,2023-02-09 02:17:14 +00,Delivered,1Z45057R9020316698,""
Jordan 5 Retro Dark Concord,Dark Concord,8,DD0587-141,47747917-47647676,166,USD,146.91,USD,ACH,2023-02-09 05:24:14 +00,Delivered,1Z45057R9020316698,""
Jordan 4 Retro Midnight Navy (GS),Midnight Navy (GS),3.5Y,408452-140,47744468-47644227,186,USD,164.61,USD,ACH,2023-02-09 02:58:33 +00,Delivered,1Z45057R9020316698,""
Jordan 13 Retro French Blue (GS),French Blue (GS),7Y,DJ3003-164,47743481-47643240,92,USD,80.24,USD,ACH,2023-02-09 02:25:22 +00,Delivered,1Z45057R9020316698,""
Jordan 5 Retro Moonlight (2021) (PS),Moonlight (2021) (PS),13.5C,440889-011,47743177-47642936,67,USD,55.99,USD,ACH,2023-02-09 02:16:20 +00,Delivered,1Z45057R9020316698,""
Jordan 13 Retro French Blue (GS),French Blue (GS),7Y,DJ3003-164,47743686-47643445,91,USD,79.27,USD,ACH,2023-02-09 02:31:16 +00,Delivered,1Z45057R9020316698,""
Jordan 1 Mid Shadow Red (GS),Shadow Red (GS),4.5Y,554725-096,47743438-47643197,105,USD,92.85,USD,ACH,2023-02-09 02:23:43 +00,Delivered,1Z45057R9020316698,""
Jordan 1 Low SE Light Curry,Light Curry,8.5,DH6931-102,47766343-47666102,108,USD,95.58,USD,ACH,2023-02-09 19:07:44 +00,Delivered,1Z45057R9020316698,""
Nike Dunk Low EMB NBA 75th Anniversary Chicago (GS),NBA 75th Anniversary Chicago (GS),5.5Y,DO6288-100,47745590-47645349,116,USD,102.66,USD,ACH,2023-02-09 03:39:42 +00,Delivered,1Z45057R9020316698,""
Jordan 1 Low SE Light Curry,Light Curry,13,DH6931-102,47743410-47643169,119,USD,105.32,USD,ACH,2023-02-09 02:23:06 +00,Delivered,1Z45057R9020316698,""
Jordan 1 Mid Shadow Red,Shadow Red,10,554724-096,47765945-47665704,147,USD,130.1,USD,ACH,2023-02-09 18:53:19 +00,Delivered,1Z45057R9020316698,""
Jordan 1 Low Mocha,Mocha,10,DC6991-200,47777553-47677312,229,USD,202.67,USD,ACH,2023-02-10 01:27:03 +00,In Transit,1Z45057R9049707828,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),9W,DC0774-041,47776702-47676461,136,USD,120.36,USD,ACH,2023-02-10 00:55:27 +00,In Transit,1Z45057R9049707828,""
Jordan 1 Mid Tan Gum,Tan Gum,9,554724-271,47804937-47704696,164,USD,145.14,USD,ACH,2023-02-10 21:12:33 +00,In Transit,1Z45057R9049707828,""
Nike Air Force 1 Low Supreme White,Supreme White,7.5,CU9225-100,47802993-47702752,163,USD,144.26,USD,ACH,2023-02-10 20:11:57 +00,In Transit,1Z45057R9049707828,""
Jordan 1 Mid Armory Navy,Armory Navy,11,554724-411,47775488-47675247,141,USD,124.79,USD,ACH,2023-02-10 00:16:29 +00,In Transit,1Z45057R9049707828,""
Jordan 13 Retro French Blue (GS),French Blue (GS),7Y,DJ3003-164,47771875-47671634,108,USD,95.58,USD,ACH,2023-02-09 22:17:32 +00,In Transit,1Z45057R9049707828,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),11W,DC0774-041,47801924-47701683,128,USD,113.28,USD,ACH,2023-02-10 19:34:47 +00,In Transit,1Z45057R9049707828,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),7.5W,DC0774-041,47801901-47701660,141,USD,124.79,USD,ACH,2023-02-10 19:34:09 +00,In Transit,1Z45057R9049707828,""
Jordan 1 Mid Shadow Red,Shadow Red,10.5,554724-096,47797367-47697126,159,USD,140.72,USD,ACH,2023-02-10 17:05:38 +00,In Transit,1Z45057R9049707828,""
Jordan 1 Mid Armory Navy,Armory Navy,9.5,554724-411,47785523-47685282,152,USD,134.52,USD,ACH,2023-02-10 07:16:29 +00,In Transit,1Z45057R9049707828,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),9.5W,DC0774-041,47812851-47712610,143,USD,126.56,USD,ACH,2023-02-11 01:45:08 +00,In Transit,1Z45057R9049707828,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),10W,DC0774-041,47793850-47693609,138,USD,122.13,USD,ACH,2023-02-10 15:13:26 +00,In Transit,1Z45057R9049707828,""
Supreme Backpack (SS22) Silver,Backpack,N/A,N/A,47672311-47572070,248,USD,215.48,USD,ACH,2023-02-07 02:41:35 +00,In Transit,1Z8131R99055237518,""
Sony PlayStation 5 PS5 Blu-ray Edition God of War Ragnarök (US Plug) Console Bundle White,PlayStation 5 PS5 Blu-ray Edition God of War Ragnarök (US Plug),N/A,N/A,47725889-47625648,526,USD,461.51,USD,ACH,2023-02-08 17:23:18 +00,Delivered,1Z8131R99073082517,""
Sony PlayStation 5 PS5 Blu-ray Edition God of War Ragnarök (US Plug) Console Bundle White,PlayStation 5 PS5 Blu-ray Edition God of War Ragnarök (US Plug),N/A,N/A,47726526-47626285,526,USD,461.51,USD,ACH,2023-02-08 17:44:43 +00,Delivered,1Z8131R99053796338,""
Jordan 5 Retro Dark Concord,Dark Concord,8,DD0587-141,47672336-47572095,158,USD,139.83,USD,ACH,2023-02-07 02:42:28 +00,In Transit,1Z45057R9033271006,""
UGG Tasman Slipper Chestnut (Women's),Chestnut (Women's),8W,5955-CHE,47673454-47573213,138,USD,122.13,USD,ACH,2023-02-07 03:22:10 +00,In Transit,1Z45057R9033271006,""
UGG Tasman Slipper Chestnut (Women's),Chestnut (Women's),6W,5955-CHE,47679275-47579034,127,USD,112.4,USD,ACH,2023-02-07 08:43:48 +00,In Transit,1Z45057R9033271006,""
Jordan 4 Retro White Oreo (2021) (TD),White Oreo (2021) (TD),7,BQ7670-100,47672470-47572229,109,USD,96.47,USD,ACH,2023-02-07 02:47:10 +00,In Transit,1Z45057R9033271006,""
Jordan 2 Retro OG Chicago (2022),Chicago (2022),12,DX2454-106,47718711-47618470,244,USD,215.94,USD,ACH,2023-02-08 12:22:04 +00,In Transit,1Z45057R9033271006,""
Nike Air Force 1 Low '07 LV8 Certified Fresh Enamel Green,Certified Fresh Enamel Green,9.5,DO9801-300,47672392-47572151,95,USD,83.15,USD,ACH,2023-02-07 02:44:05 +00,In Transit,1Z45057R9033271006,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),10W,DC0774-041,47718769-47618528,138,USD,122.13,USD,ACH,2023-02-08 12:25:07 +00,In Transit,1Z45057R9033271006,""
Jordan 1 Low Black University Blue White (Women's),Black University Blue White (Women's),10W,DC0774-041,47715438-47615197,138,USD,122.13,USD,ACH,2023-02-08 08:30:48 +00,In Transit,1Z45057R9033271006,""
UGG Tasman Slipper Chestnut (Women's),Chestnut (Women's),6W,5955-CHE,47673815-47573574,127,USD,112.4,USD,ACH,2023-02-07 03:34:31 +00,In Transit,1Z45057R9033271006,""
UGG Tasman Slipper Chestnut (Women's),Chestnut (Women's),6W,5955-CHE,47674998-47574757,127,USD,112.4,USD,ACH,2023-02-07 04:16:06 +00,In Transit,1Z45057R9033271006,""
UGG Tasman Slipper Chestnut (Women's),Chestnut (Women's),5W,5955-CHE,47713759-47613518,133,USD,117.71,USD,ACH,2023-02-08 06:28:39 +00,In Transit,1Z45057R9033271006,""
Bravest Studios Money Shorts Multi,Money,L,N/A,47672261-47572020,100,USD,84,USD,ACH,2023-02-07 02:40:03 +00,Delivered,1Z24WA439010625301,""
Fear of God Essentials Core Collection Pullover Crewneck Light Heather Oatmeal,Essentials Core Collection,M,N/A,47400219-47299978,112,USD,95.64,USD,ACH,2023-01-30 01:29:51 +00,Delivered,1Z8131R99044138888,""
Nike Air Force 1 Low Supreme Black,Supreme Black,7.5,CU9225-001,47267231-47166990,168,USD,146.36,USD,ACH,2023-01-25 21:57:33 +00,Delivered,1Z45057R9064720767,""
Converse Chuck Taylor All Star Lift Hi White Red (Women's),White Red (Women's),7.5W,A01599C,47285156-47184915,232,USD,203.64,USD,ACH,2023-01-26 10:54:07 +00,In Transit,1Z45057R9043239863,""
Fear of God Essentials Hoodie Off Black,Essentials,XS,N/A,47261079-47160838,102,USD,85.94,USD,ACH,2023-01-25 18:39:34 +00,Delivered,1Z8131R99045281999,""
OFF-WHITE x Jordan T-shirt Sail,x Jordan,XS,DM0061-054,47136913-47036672,139,USD,124.41,USD,ACH,2023-01-21 18:37:42 +00,Delivered,1Z527Y0Y9083495135,""
Fear of God Essentials Shorts Wheat,Essentials,S,N/A,47140673-47040432,72,USD,60.84,USD,ACH,2023-01-21 20:49:06 +00,Delivered,1Z527Y0Y9083495135,""
Supreme Storm Bowling Ball White,Storm Bowling,M,N/A,47049858-46949617,219,USD,192.01,USD,ACH,2023-01-19 14:57:08 +00,Delivered,1Z527Y0Y9075693472,""
Supreme Hanes Boxer Briefs (2 Pack) Pink,Hanes Boxer,M,N/A,46872747-46772506,59,USD,44.23,USD,ACH,2023-01-14 00:15:13 +00,Delivered,1Z527Y0Y9076871045,""
Palm Angels Chest Logo-Print Track Jacket Black,Chest Logo-Print Track,M,PMBD001R21FAB0011001,47006132-46905891,295,USD,264.03,USD,ACH,2023-01-18 04:46:32 +00,Delivered,1Z527Y0Y9062128599,""
Eric Emanuel EE Basic Short Blue,EE Basic,L,N/A,46947190-46846949,190,USD,170.05,USD,ACH,2023-01-16 13:05:49 +00,Delivered,1Z527Y0Y9062128599,""
Supreme Hanes Boxer Briefs (2 Pack) Pink,Hanes Boxer,M,N/A,46965073-46864832,60,USD,45.2,USD,ACH,2023-01-16 23:28:04 +00,Delivered,1Z527Y0Y9077603163,""
Fear of God Essentials Hoodie Oak,Essentials,M,N/A,46775208-46674967,199,USD,178.11,USD,ACH,2023-01-11 03:59:19 +00,Delivered,1Z527Y0Y9044286827,""
Supreme Est. 1994 Tee White,Est. 1994,S,N/A,46839543-46739302,120,USD,107.4,USD,ACH,2023-01-13 01:13:38 +00,Delivered,1Z527Y0Y9044286827,""
Nike Killshot OG Sail Black,Sail Black,9,DC7627-100,46697590-46597349,78,USD,66.66,USD,ACH,2023-01-08 22:26:34 +00,In Transit,1Z45057R9059108788,""
Jordan 13 Retro SoleFly,SoleFly,11,DX5763-100,46640561-46540320,242,USD,216.59,USD,ACH,2023-01-07 02:01:10 +00,In Transit,1Z45057R9059108788,""
Jordan 5 Retro Dark Concord,Dark Concord,8.5,DD0587-141,46600246-46500005,169,USD,151.26,USD,ACH,2023-01-05 23:14:56 +00,In Transit,1Z45057R9059108788,""
Jordan 1 High Zoom Air CMFT PSG Paris Saint-Germain,PSG Paris Saint-Germain,9,DB3610-105,46681412-46581171,279,USD,249.71,USD,ACH,2023-01-08 12:21:12 +00,In Transit,1Z45057R9059108788,""
Nike Dunk Low Dark Marina Blue,Dark Marina Blue,9,DJ6188-400,46675666-46575425,169,USD,151.26,USD,ACH,2023-01-08 04:35:55 +00,In Transit,1Z45057R9059108788,""
Fear of God Essentials Hoodie Oak,Essentials,M,N/A,46723014-46622773,202,USD,180.79,USD,ACH,2023-01-09 18:10:36 +00,In Transit,1Z527Y0Y9080329838,""
Kith Rocky Creed Classic Logo Tee Torpedo,Rocky Creed Classic Logo,XL,N/A,46739451-46639210,130,USD,116.35,USD,ACH,2023-01-10 03:36:44 +00,In Transit,1Z527Y0Y9080329838,""
Kith Rocky Balboa Classic Logo Tee Black,Rocky Balboa Classic Logo,L,N/A,46713158-46612917,175,USD,156.63,USD,ACH,2023-01-09 09:26:33 +00,In Transit,1Z527Y0Y9080329838,""
Supreme Hanes Boxer Briefs (2 Pack) Pink,Hanes Boxer,S,N/A,46591510-46491269,55,USD,40.35,USD,ACH,2023-01-05 19:00:14 +00,In Transit,1Z527Y0Y9048985403,""
adidas NMD Hu Pharrell x Billionaire Boys Club Astronaut Blue,Pharrell x Billionaire Boys Club Astronaut Blue,9.5,GW3955,46515206-46414965,149,USD,133.36,USD,ACH,2023-01-03 17:10:47 +00,In Transit,1Z45057R9024417090,""
Nike LD Waffle sacai Undercover Black Bright Citron,sacai Undercover Black Bright Citron,14,DJ4877-001,46506052-46405811,143,USD,127.99,USD,ACH,2023-01-03 09:31:30 +00,In Transit,1Z45057R9024417090,""
Jordan 1 Mid Hyper Royal Tumbled Leather,Hyper Royal Tumbled Leather,14,554724-077,46516799-46416558,204,USD,182.58,USD,ACH,2023-01-03 18:02:43 +00,In Transit,1Z45057R9024417090,""
UGG Tazzette Slipper Chestnut (Women's),Chestnut (Women's),6W,1134810-CHE,46412131-46311890,154,USD,136.29,USD,ACH,2022-12-31 03:11:54 +00,In Transit,1Z45057R9024417090,""
Jordan 1 Mid University Gold (GS),University Gold (GS),4.5Y,554725-170,46410875-46310634,85,USD,73.45,USD,ACH,2022-12-31 02:26:25 +00,In Transit,1Z45057R9024417090,""
Jordan 4 Retro White Oreo (2021) (PS),White Oreo (2021) (PS),3Y,BQ7669-100,46413291-46313050,239,USD,211.52,USD,ACH,2022-12-31 03:57:28 +00,In Transit,1Z45057R9024417090,""
Nike x Drake Certified Lover Boy Rose T-Shirt White,x Drake Certified Lover Boy Rose,XL,N/A,46353574-46253333,56,USD,45.32,USD,ACH,2022-12-29 19:10:46 +00,In Transit,1Z527Y0Y9082338146,""
