source,target,group_membership
103,180,1
93,15,1
107,72,1
189,21,0
103,122,1
75,88,0
117,100,0
104,152,1
131,150,1
53,2,0
88,158,0
38,130,0
192,188,0
21,161,1
58,22,0
89,49,1
59,170,0
188,15,0
175,190,1
51,108,0
55,64,0
131,51,1
135,21,0
73,167,0
18,132,1
89,60,1
14,9,0
90,53,1
130,84,1
92,111,1
188,199,0
172,8,0
175,35,1
81,164,0
50,104,1
132,2,0
134,54,0
106,4,1
54,191,1
146,44,0
162,190,0
14,95,0
48,15,0
200,190,0
40,82,0
111,53,1
24,154,1
188,124,0
41,157,0
15,45,1
65,89,0
71,9,1
88,129,0
136,63,0
139,81,0
136,163,0
163,33,1
123,5,1
41,28,0
135,72,0
12,162,0
33,48,1
151,62,0
37,99,1
172,104,0
35,193,1
101,175,0
131,1,1
5,142,0
103,27,1
137,15,0
90,42,1
124,179,0
63,96,0
52,96,1
132,151,0
143,171,1
29,36,1
13,160,0
71,187,1
86,28,0
66,170,1
45,62,1
185,134,0
108,44,1
84,30,1
190,75,1
128,92,0
190,129,1
121,27,1
190,121,1
116,3,1
103,198,1
200,155,0
137,62,0
165,51,1
172,152,0
59,118,0
160,96,1
180,113,0
62,186,0
52,12,1
39,130,0
131,113,1
101,113,0
184,81,0
187,113,1
2,130,1
54,87,1
129,147,1
126,130,1
53,172,0
160,198,1
160,68,1
183,184,1
123,145,1
38,24,0
69,116,1
98,198,1
139,144,0
97,124,1
187,70,1
93,3,1
148,187,0
164,147,1
90,195,1
147,148,0
96,199,1
52,161,1
168,128,0
39,82,0
104,129,1
11,185,0
178,151,0
159,42,0
99,7,1
144,90,1
112,60,0
113,2,1
129,48,1
140,197,0
37,160,1
9,99,0
147,48,0
131,148,1
152,54,0
120,161,0
152,116,0
75,113,0
200,164,0
166,104,0
84,112,1
99,153,1
93,146,1
128,110,0
82,194,1
54,163,1
189,169,0
161,68,0
33,142,1
21,48,1
148,128,0
136,135,0
195,145,0
128,33,0
176,187,1
115,119,0
22,158,0
38,109,0
51,182,0
8,27,0
27,21,1
30,97,1
28,111,1
192,197,0
61,48,0
147,4,0
35,192,1
49,17,1
172,158,0
46,117,1
6,99,1
124,37,0
24,93,1
46,181,1
95,99,1
188,116,0
191,160,0
161,67,0
128,18,0
25,54,1
58,67,0
104,174,1
24,114,1
32,175,0
86,151,0
194,127,0
155,130,0
17,104,1
161,137,0
43,176,1
39,170,0
26,99,1
50,153,1
152,13,0
60,135,0
57,36,1
173,20,0
65,8,0
144,142,1
115,143,0
92,98,1
66,32,1
191,86,0
51,153,0
186,63,0
190,125,1
150,58,1
58,86,0
49,180,1
170,70,1
15,54,1
188,101,0
8,53,0
60,108,0
5,103,0
196,6,1
109,116,1
94,47,1
99,55,1
168,52,0
144,13,1
114,124,1
106,158,1
147,145,0
120,63,0
19,92,1
58,183,0
90,117,1
62,23,0
127,137,1
140,129,0
58,122,0
1,34,0
96,126,1
118,48,1
89,117,1
129,16,1
189,192,0
191,69,0
22,93,0
195,76,0
154,144,0
179,86,0
185,29,0
69,47,1
94,190,1
197,144,1
176,85,1
39,100,0
33,101,1
23,10,1
69,100,1
34,180,1
138,147,0
186,96,0
1,69,0
4,16,0
24,80,1
2,128,1
160,84,1
152,140,0
178,163,0
124,33,0
161,189,0
179,171,0
101,12,0
67,65,1
161,168,0
74,43,1
44,29,1
141,12,1
95,46,1
130,35,1
81,90,0
8,93,0
154,90,0
162,115,0
105,135,1
196,58,1
114,75,1
157,120,0
164,21,1
164,138,1
101,152,0
192,177,0
99,36,1
96,152,1
151,190,0
37,12,1
113,183,1
13,23,0
99,105,1
30,17,1
113,62,1
86,141,0
187,19,1
177,100,0
140,189,0
147,76,0
9,199,0
28,128,1
52,83,1
111,144,1
117,69,0
99,140,1
25,180,1
123,53,1
151,144,0
57,39,1
109,181,1
42,186,0
167,142,1
122,133,0
163,75,1
146,76,0
9,74,0
186,145,0
7,174,0
141,168,1
170,137,1
178,27,0
122,194,0
5,29,0
165,166,1
83,136,0
109,65,1
86,145,0
71,45,1
132,36,0
70,159,1
19,189,1
108,182,1
167,91,1
90,19,1
39,126,0
195,173,0
141,126,1
58,148,0
200,61,0
127,105,1
167,1,1
131,92,1
190,191,1
113,153,1
56,161,1
166,117,0
134,58,0
44,173,1
160,173,1
61,47,0
149,80,0
118,164,1
147,20,0
185,146,0
47,49,1
14,143,0
159,1,0
117,54,0
118,3,1
144,185,1
12,74,0
16,200,0
102,152,1
156,117,1
8,122,0
92,164,1
90,136,1
186,60,0
178,28,0
101,41,0
192,155,0
191,145,0
161,157,0
141,46,1
35,134,1
82,115,1
197,47,1
153,194,0
10,56,1
30,109,1
5,119,0
33,118,1
65,146,0
177,11,0
85,26,0
63,86,0
59,27,0
177,161,0
98,105,1
99,129,1
149,55,0
6,197,1
95,133,1
102,3,1
181,23,0
53,165,0
83,145,0
85,78,0
110,1,0
51,173,0
4,190,0
193,113,0
32,34,0
92,95,1
72,39,1
154,162,0
182,118,0
3,123,0
50,12,1
193,54,0
133,57,0
145,112,1
47,151,1
85,142,0
66,75,1
179,103,0
166,192,0
38,50,0
98,82,1
30,79,1
91,179,1
191,52,0
166,79,0
30,106,1
51,81,0
133,29,0
132,138,0
184,145,0
74,17,1
84,69,1
34,6,1
53,194,0
126,43,1
115,111,0
151,183,0
80,95,1
118,144,1
8,132,0
104,132,1
184,25,0
195,96,0
195,155,0
93,160,1
178,61,0
122,51,0
147,21,0
5,92,0
170,61,1
22,149,0
70,1,1
133,12,0
90,46,1
34,177,1
78,45,1
155,73,0
26,47,1
121,56,1
94,107,1
63,48,0
61,81,0
26,36,1
1,8,0
113,99,1
180,47,0
127,56,1
14,28,0
78,130,1
109,154,1
14,187,0
56,115,1
7,3,0
111,151,1
107,18,1
38,115,0
15,192,1
119,28,1
39,185,0
17,86,1
126,44,1
25,145,1
13,25,0
68,138,0
67,109,1
146,111,0
111,34,1
111,8,1
168,113,0
83,42,0
169,101,0
6,180,1
26,64,1
187,184,1
59,109,0
198,121,1
33,181,1
150,21,1
198,70,1
112,4,0
94,75,1
190,62,1
94,95,1
152,55,0
137,131,0
31,40,0
36,152,0
6,66,1
75,4,0
79,134,0
118,113,1
94,179,1
62,185,0
194,79,0
136,26,0
179,173,0
44,133,1
70,154,1
118,68,1
19,20,1
113,140,1
47,1,1
