,game_end_time_utc,game_id,game_mode,game_outcome,game_start_time_utc,game_type,realm_id
0,2023-01-01 00:55:07,d275faf5-cce6-4707-9911-54c4a0a36d73,ShootingRange,Loss,2023-01-01 00:54:55,Not Applicable,na
1,2023-01-01 01:31:40,0a2e9864-ee1a-422c-b978-c08ab17d5cc8,ShootingRange,Loss,2023-01-01 01:24:53,Not Applicable,na
2,2023-01-01 01:40:26,e686cb29-7980-4321-a310-3dcc38711a06,Matchmaking,Loss,2023-01-01 01:32:51,Deathmatch,na
3,2023-01-01 01:50:13,4cc6ca4c-c14b-4d1b-8e94-4008cd141c0b,Matchmaking,Loss,2023-01-01 01:41:24,Deathmatch,na
4,2023-01-01 02:24:57,e558de92-b959-44e4-bffa-295f6ad2df8b,Matchmaking,Win,2023-01-01 01:51:52,Ranked,na
5,2023-01-01 02:34:23,d1ec1b12-6a6b-4693-8de0-8df6d7175c30,Matchmaking,Loss,2023-01-01 02:27:38,Deathmatch,na
6,2023-01-01 03:18:27,cc1f7275-3f45-45da-9928-1d9fda40c3f6,Matchmaking,Win,2023-01-01 02:35:29,Ranked,na
7,2023-01-01 04:02:29,30ad0d61-94dc-471c-b4df-9a535a73509a,Matchmaking,Loss,2023-01-01 03:22:05,Ranked,na
8,2023-01-01 04:38:44,ef271e4b-dde7-4e69-aa0c-539490bd1dde,Matchmaking,Win,2023-01-01 04:06:10,Ranked,na
9,2023-01-01 06:00:03,0e7ab363-0862-4709-93a1-7efbeccee65b,Matchmaking,Loss,2023-01-01 05:12:57,Ranked,na
10,2023-01-03 01:01:20,4277dbfc-4c5c-47d2-a9fa-27472fd97fb5,ShootingRange,Loss,2023-01-03 00:54:04,Not Applicable,na
11,2023-01-03 01:10:30,deecc2d1-c673-4601-8874-d50518920dd6,Matchmaking,Loss,2023-01-03 01:02:30,Deathmatch,na
12,2023-01-03 01:11:49,db56cf15-0037-47a2-84da-4d57d1aeafd7,Matchmaking,Loss,2023-01-03 01:03:55,Deathmatch,na
13,2023-01-03 01:19:57,725fbd32-4c81-4d7d-86a3-fb0e471394df,Matchmaking,Loss,2023-01-03 01:12:27,Deathmatch,na
14,2023-01-03 01:48:33,e5b8dbd0-a60b-4e37-96ff-01369de1982d,Matchmaking,Loss,2023-01-03 01:20:33,Ranked,na
15,2023-01-03 01:54:34,3f784bd6-c7dd-43a0-a7ab-91580434b323,ShootingRange,Loss,2023-01-03 01:53:50,Not Applicable,na
16,2023-01-03 01:59:57,5e5f7817-ea0c-44ed-814e-067bede35764,Matchmaking,Loss,2023-01-03 01:52:50,Deathmatch,na
17,2023-01-03 02:39:41,c271621f-4bc9-40bd-8a25-ca0af3eb4d97,Matchmaking,Loss,2023-01-03 02:03:41,Ranked,na
18,2023-01-03 04:55:43,900c76a7-75a6-4d41-adc2-5226fefe76be,Matchmaking,Win,2023-01-03 04:20:02,Ranked,na
19,2023-01-03 05:28:12,7afac6c5-590e-4565-9ef7-f1665ab5e5f2,Matchmaking,Loss,2023-01-03 04:59:19,Ranked,na
20,2023-01-07 11:13:08,c2620e21-a9df-4aed-afc5-09030a5380a5,ShootingRange,Loss,2023-01-07 11:05:02,Not Applicable,na
21,2023-01-07 11:22:12,5359912e-8f80-44e5-8542-44879336dfba,Matchmaking,Loss,2023-01-07 11:15:07,Deathmatch,na
22,2023-01-07 12:01:59,92a0d7b7-9980-491a-9773-54b42c61268d,Matchmaking,Win,2023-01-07 11:24:33,Ranked,na
23,2023-01-07 12:46:40,553d5e31-c740-4b50-9591-5fe0ca00f3bb,Matchmaking,Loss,2023-01-07 12:06:11,Ranked,na
24,2023-01-07 13:18:37,33737053-2b83-4c87-8cab-0d64d8b055cb,Matchmaking,Loss,2023-01-07 12:50:45,Ranked,na
25,2023-01-07 13:54:57,ea58edc9-c20c-4202-8efd-bca01aba490c,Matchmaking,Loss,2023-01-07 13:30:47,Ranked,na
26,2023-01-08 02:35:19,cb14c97c-7add-4d77-b0ee-1bb2802d2c78,ShootingRange,Loss,2023-01-08 02:34:54,Not Applicable,na
27,2023-01-08 02:43:38,e5148138-8328-4971-8e9b-1ef39d8dcaa6,Matchmaking,Loss,2023-01-08 02:35:50,Deathmatch,na
28,2023-01-08 03:22:11,a66e07ed-b994-49ce-99bc-a8d96bd3300b,Matchmaking,Win,2023-01-08 02:44:58,Ranked,na
29,2023-01-08 04:12:36,9e3ae66c-248e-4087-ae32-a7da71db499f,Matchmaking,Win,2023-01-08 03:26:40,Ranked,na
30,2023-01-08 04:46:53,14010f77-db0d-4efe-83a9-6f8fba49eed3,Matchmaking,Loss,2023-01-08 04:17:23,Ranked,na
31,2023-01-08 05:24:06,0c044417-64d0-4091-8aca-5526aff9d631,Matchmaking,Loss,2023-01-08 04:53:04,Ranked,na
32,2023-01-08 06:08:48,44b3ea8a-f4bd-4657-aa62-b825a05909a8,Matchmaking,Win,2023-01-08 05:28:06,Ranked,na
33,2023-01-08 06:54:50,03980a1a-6995-42b2-8ce4-157059e31001,Matchmaking,Win,2023-01-08 06:20:06,Ranked,na
